sensitivity: [0.29215008015824484, 0.2851065213701549]
specificity: [0.9661235280499202, 0.014763281523627839]
dice coefficient: [0.33576162231551077, 0.29271746391033676]
hausdorff distance: [23.747226421368985, 12.011212981719815]

sensitivity: [0.8525955364626857, 0.11472235555098023]
specificity: [0.9944182976725844, 0.0041417517755960335]
dice coefficient: [0.8923222368569818, 0.08210422625453166]
hausdorff distance: [5.173153394210794, 3.3870071292069452]

sensitivity: [0.914302440371929, 0.04867188400974211]
specificity: [0.9936923459131158, 0.006471825339431649]
dice coefficient: [0.9286053295039972, 0.04947075935102395]
hausdorff distance: [3.5059059719468477, 2.169936246959212]

sensitivity: [0.9495597016951709, 0.016083988449859178]
specificity: [0.9950518981386327, 0.0036799246294491957]
dice coefficient: [0.9594135191192465, 0.014449848140735909]
hausdorff distance: [2.6451420526028406, 1.2123902788370995]

sensitivity: [0.7770315828215273, 0.13693157351191076]
specificity: [0.9984757855843865, 0.0012378250390261488]
dice coefficient: [0.8574222217203137, 0.08630529325063124]
hausdorff distance: [7.608966169126345, 4.119502458277871]

sensitivity: [0.8683388728888228, 0.056529689637511156]
specificity: [0.9938179484503239, 0.002408602875269533]
dice coefficient: [0.9049477992922025, 0.03942856072858854]
hausdorff distance: [10.076533332914389, 5.059328940086675]

sensitivity: [0.5525046050214494, 0.1959646482595892]
specificity: [0.9953810656948807, 0.0029023320043424115]
dice coefficient: [0.6688689708128592, 0.14926679941306423]
hausdorff distance: [24.17280898800261, 14.425970988563423]

sensitivity: [0.22135270587351827, 0.3482752455075219]
specificity: [0.996080466627325, 0.006101373592856023]
dice coefficient: [0.2425518886938883, 0.36883560408025245]
hausdorff distance: [20.12136047002894, 18.565271729054178]

sensitivity: [0.31875968615887346, 0.3828986874989942]
specificity: [0.9963957582381391, 0.00530073790934482]
dice coefficient: [0.3533806218298762, 0.3943859113179261]
hausdorff distance: [27.770646465373105, 29.011483845113137]

sensitivity: [0.6190806821294246, 0.2033537425434792]
specificity: [0.9936408890403442, 0.004861564196483575]
dice coefficient: [0.7164245352510913, 0.15642287787940481]
