sensitivity: [0.187032339910094, 0.21703204337983675]
specificity: [0.9916383043030874, 0.014354227237799916]
dice coefficient: [0.2568473121182925, 0.231066600111705]
hausdorff distance: [53.572020277221334, 23.436694379049825]

sensitivity: [0.5108236301280957, 0.20571595284083838]
specificity: [0.9956800675311049, 0.0027352538751885336]
dice coefficient: [0.6348750494430029, 0.18273741084329997]
hausdorff distance: [19.303918505733066, 15.156694791104137]

sensitivity: [0.8801688767295277, 0.033225718809649564]
specificity: [0.9945306819951069, 0.005215380367832331]
dice coefficient: [0.9130359684502949, 0.032017510961899476]
hausdorff distance: [5.86674917263448, 1.6169686078356555]

sensitivity: [0.9078796338086208, 0.04648621827009244]
specificity: [0.9919674049440851, 0.006852241311751969]
dice coefficient: [0.9293104748659476, 0.03573866694269836]
hausdorff distance: [5.46020966136635, 3.849603068792275]

sensitivity: [0.24711698976349428, 0.3141488635086268]
specificity: [0.9969001535926126, 0.0018074333057141443]
dice coefficient: [0.30233871316257355, 0.3411545343053805]
hausdorff distance: [25.779780927298223, 13.256554177984718]

sensitivity: [0.9333219585247643, 0.019686884786792584]
specificity: [0.990746497964045, 0.00418626597484028]
dice coefficient: [0.9318465806973177, 0.01822643737987218]
hausdorff distance: [6.72231466379473, 3.2624866121202185]

sensitivity: [0.7838264185619583, 0.1559001161966507]
specificity: [0.9945989061003099, 0.0025104732804211737]
dice coefficient: [0.8397824593198021, 0.09619811099486304]
hausdorff distance: [9.76348312219465, 6.748411960549451]

sensitivity: [0.7891328786586927, 0.13118914180849647]
specificity: [0.9941351929795678, 0.003562804649352215]
dice coefficient: [0.8464329103115644, 0.08817844636564687]
hausdorff distance: [7.991444703640446, 4.8788808363520975]

sensitivity: [0.3556595411113639, 0.25218592710815085]
specificity: [0.9977639596507101, 0.001661147417967819]
dice coefficient: [0.47331649162845907, 0.2321111053720451]
hausdorff distance: [46.49471540858818, 21.688125147364097]

sensitivity: [0.6084481167859176, 0.18469015345358947]
specificity: [0.997331741439621, 0.002092285642926561]
dice coefficient: [0.7272555794229398, 0.13370440363501263]
hausdorff distance: [14.696039182245139, 6.982819322254373]

sensitivity: [0.854373887341699, 0.10873902515323279]
specificity: [0.9932733716423761, 0.0034217243577459315]
dice coefficient: [0.8980410143739482, 0.06564475587882086]
hausdorff distance: [7.041113024791525, 5.377985438071691]

sensitivity: [0.7729485894504993, 0.11150304614700254]
specificity: [0.9906824757031888, 0.005855749228459982]
dice coefficient: [0.8419735633591483, 0.08078511117041179]
hausdorff distance: [10.037355973864974, 5.673166522080102]

sensitivity: [0.7162077026076774, 0.09556659453519518]
specificity: [0.9958967496214821, 0.0026201297685558133]
dice coefficient: [0.8160152690802641, 0.0664797839134125]
hausdorff distance: [14.305610855992317, 7.369950115406579]

sensitivity: [0.8069365980819405, 0.1122275290781694]
specificity: [0.9980512889197911, 0.001415810874014156]
dice coefficient: [0.8847571581049352, 0.06857201817631219]
hausdorff distance: [9.375390330382944, 6.733155982620282]

sensitivity: [0.5153739618082739, 0.23890970337850329]
specificity: [0.982567291113913, 0.011736139897396315]
dice coefficient: [0.6036593676187368, 0.21866540047222494]
hausdorff distance: [23.230429657974007, 17.513246545760396]

sensitivity: [0.9009369016390161, 0.05050786966398773]
specificity: [0.9977705557900727, 0.0008441848010014013]
dice coefficient: [0.9378090185421167, 0.024108631919002685]
hausdorff distance: [7.45121253905282, 4.652536766596123]

sensitivity: [0.8303476632411244, 0.10466748951624714]
specificity: [0.994469383823034, 0.004226105633599678]
dice coefficient: [0.8819396262687417, 0.07640882053336631]
hausdorff distance: [6.979597902140474, 3.9393586353326118]

sensitivity: [0.9057911629454671, 0.04299631871307418]
specificity: [0.9993103771608834, 0.0007931122958013286]
dice coefficient: [0.9453211070806248, 0.027900577611840137]
hausdorff distance: [2.869583491220484, 1.516187297218978]

sensitivity: [0.934172558901853, 0.02239808801606063]
specificity: [0.9992801697276162, 0.0008276508900129352]
dice coefficient: [0.9590884169720408, 0.013704292197502809]
hausdorff distance: [1.692861481799478, 0.40933279464637207]

sensitivity: [0.9013123971503695, 0.0622201348551534]
specificity: [0.992608683216478, 0.0037845441797126644]
dice coefficient: [0.9258912241504766, 0.035838066217151486]
hausdorff distance: [5.388032592007446, 3.060899342916316]

sensitivity: [0.8699786705589152, 0.12553897162754954]
specificity: [0.9962647323902636, 0.0014209708713494066]
dice coefficient: [0.9067820024179054, 0.07845568908000083]
hausdorff distance: [6.348239274006707, 6.134589754277961]

sensitivity: [0.4350607876018416, 0.21568070720429347]
specificity: [0.9962457279624506, 0.003658853883825099]
dice coefficient: [0.5619297942323576, 0.17080378544138908]
hausdorff distance: [39.97877454797483, 18.10241933118884]

sensitivity: [0.2372023764883785, 0.28244980638143236]
specificity: [0.997356259866249, 0.0023629151844032996]
dice coefficient: [0.30488882731381955, 0.30657738952207203]
hausdorff distance: [41.058163738840136, 25.71882500475794]

sensitivity: [0.7538665302951579, 0.10281130612756136]
specificity: [0.9981486618460553, 0.002142988367051049]
dice coefficient: [0.8356072035939575, 0.07149921608414873]
hausdorff distance: [6.277417299336453, 2.9429065083108044]

sensitivity: [0.9631088776277567, 0.01001310726593981]
specificity: [0.9978494875345519, 0.0012286884421778058]
dice coefficient: [0.9718595690067797, 0.007209040013312351]
hausdorff distance: [2.4064490038930715, 1.2944766735359545]

sensitivity: [0.9343924994144757, 0.020564488610479728]
specificity: [0.998553543442029, 0.0007079224557758298]
dice coefficient: [0.9604668859594835, 0.01071993713480985]
hausdorff distance: [2.8531650794925336, 1.2080765824915105]

sensitivity: [0.9338073783147536, 0.015291351051619414]
specificity: [0.9982019536086604, 0.0009714053569131737]
dice coefficient: [0.9587092800779439, 0.0066184315417543455]
hausdorff distance: [2.9996530776441412, 0.9497796659120643]

sensitivity: [0.8622829046962258, 0.09741572865526969]
specificity: [0.9976429864460362, 0.0013331062439833937]
dice coefficient: [0.9011584872799305, 0.060450394044872784]
hausdorff distance: [3.743079030169984, 2.2706884507938123]

sensitivity: [0.6079114325261961, 0.23673480394827273]
specificity: [0.9942545523370819, 0.005552436820602418]
dice coefficient: [0.6991959636923677, 0.18619137928181023]
hausdorff distance: [12.608306510564695, 7.507592175190741]

sensitivity: [0.48248744771339214, 0.19216184379351908]
specificity: [0.9973845406654289, 0.001867463977258442]
dice coefficient: [0.6175295888741469, 0.1453923161497803]
hausdorff distance: [41.18175375849522, 19.848505167257947]

sensitivity: [0.5843925904751376, 0.23185467711898072]
specificity: [0.9884242690696831, 0.0076272505838088514]
dice coefficient: [0.6623381960696678, 0.20784247230421657]
hausdorff distance: [10.893855742469553, 6.705016062292203]

sensitivity: [0.2976097963708586, 0.3340854623353445]
specificity: [0.9935694961493823, 0.005814563371662843]
dice coefficient: [0.35274249380053224, 0.35225999158141613]
hausdorff distance: [37.09636503565377, 28.162943166654138]

sensitivity: [0.6908685205568378, 0.14183387939533273]
specificity: [0.997023648450157, 0.0021386304698283935]
dice coefficient: [0.7922299241564821, 0.08844366969461238]
hausdorff distance: [16.363083965540415, 8.486232957168973]

sensitivity: [0.8872687929753699, 0.06497580054472506]
specificity: [0.9904119058173565, 0.004926205155735888]
dice coefficient: [0.908931579531847, 0.046325205108182936]
hausdorff distance: [5.87778286641227, 3.1440422879859127]

sensitivity: [0.4067616823801302, 0.2666287795654466]
specificity: [0.9955579673203486, 0.0025644326838606315]
dice coefficient: [0.5103121416927021, 0.247008217406913]
hausdorff distance: [21.27764954813222, 10.672158312178555]

sensitivity: [0.3679051167128968, 0.20717476956172987]
specificity: [0.9967082542280908, 0.005184164285749835]
dice coefficient: [0.4932921404784947, 0.1803941449586719]
hausdorff distance: [50.62952220773282, 29.892331475090568]

sensitivity: [0.46010026289045053, 0.21274553715857314]
specificity: [0.9919796186684492, 0.006919197300807402]
dice coefficient: [0.5764957172078814, 0.18591890323038265]
hausdorff distance: [40.470265970324355, 31.165540355086733]

sensitivity: [0.6223154532035784, 0.196927848897355]
specificity: [0.9916366560571749, 0.003955797542999519]
dice coefficient: [0.720516002448567, 0.15834232230355935]
hausdorff distance: [22.028853323962448, 13.510352372582615]

sensitivity: [0.8909365898383007, 0.07168440717717213]
specificity: [0.9973137465183863, 0.0009278686138160343]
dice coefficient: [0.9216153863785977, 0.04098334686776598]
hausdorff distance: [3.7615022096519706, 1.5762088884778807]

sensitivity: [0.9377818397503719, 0.027641922846837537]
specificity: [0.9978160621011956, 0.0016052936612264324]
dice coefficient: [0.9564574851047418, 0.015292911084800622]
hausdorff distance: [2.1546819373982387, 0.8107686159748493]

sensitivity: [0.45074962403923347, 0.16706865277411376]
specificity: [0.9982030505244356, 0.0013669141454188986]
dice coefficient: [0.6012513373732736, 0.1313164203560423]
hausdorff distance: [61.86252603401844, 29.627035052865534]

sensitivity: [0.29723538933608135, 0.2844429299804321]
specificity: [0.9957837702348645, 0.0021086562825548614]
dice coefficient: [0.3759737278853547, 0.31477074614419115]
hausdorff distance: [27.333533844449153, 19.45377485594457]

sensitivity: [0.4956771258443017, 0.15172904346687197]
specificity: [0.993290168235214, 0.008733829699679086]
dice coefficient: [0.6238160085020101, 0.15495187910772842]
hausdorff distance: [46.82640696548582, 16.886511699263647]

sensitivity: [0.4912005421125309, 0.2627152789947551]
specificity: [0.9889868942496908, 0.006948941314184084]
dice coefficient: [0.5872894699632963, 0.23186867765487681]
hausdorff distance: [22.348224974266735, 12.302716793438785]

sensitivity: [0.9492495118832903, 0.044983088586917644]
specificity: [0.9974892273279025, 0.001400970845904703]
dice coefficient: [0.9551242166684274, 0.019664940459768396]
hausdorff distance: [3.723335275669028, 2.033906198662722]

sensitivity: [0.4123376939061983, 0.2625933847106516]
specificity: [0.9903983460730242, 0.005322558046419014]
dice coefficient: [0.5161150392497752, 0.24658401135395883]
hausdorff distance: [21.11067666724414, 10.443785902842286]

sensitivity: [0.15964034485474746, 0.2573044358418866]
specificity: [0.9907238352938788, 0.011576015085624879]
dice coefficient: [0.20245276281193114, 0.27247410534857275]
hausdorff distance: [60.57085583740677, 35.39887729904971]

sensitivity: [0.7122429682602982, 0.1744912668037012]
specificity: [0.9977444830186342, 0.001890387005871697]
dice coefficient: [0.8105345244738762, 0.11979664796067555]
hausdorff distance: [13.42543395283399, 8.20514410871369]

sensitivity: [0.879553079245939, 0.07800003406796531]
specificity: [0.9994222375749718, 0.00045053807716944694]
dice coefficient: [0.9261565947383243, 0.04398426934674621]
hausdorff distance: [3.02545115391862, 1.7549867944192121]

sensitivity: [0.5523168904144566, 0.1987347923422309]
specificity: [0.9941379293142517, 0.004482402270080601]
dice coefficient: [0.670030898099894, 0.1639706266687254]
hausdorff distance: [30.075885477387803, 18.900823070730365]

sensitivity: [0.434850114012413, 0.18418166514374934]
specificity: [0.9969431866795548, 0.0018913625411868288]
dice coefficient: [0.574256480790188, 0.16851111414190356]
hausdorff distance: [28.651415869723788, 16.440692462914694]

sensitivity: [0.932133041903849, 0.02229413221924477]
specificity: [0.9903450211489655, 0.0067353267290286515]
dice coefficient: [0.9312426827625002, 0.031081989569668345]
hausdorff distance: [4.095852291749723, 1.7580274943342629]

sensitivity: [0.19942211999315468, 0.2887889939030507]
specificity: [0.9784268370430664, 0.017310792203532033]
dice coefficient: [0.24028392675959095, 0.29471946029379575]
hausdorff distance: [39.22613921677483, 19.716575145788717]

sensitivity: [0.6672370674459135, 0.18910911442615852]
specificity: [0.9843611461429348, 0.009116057166093986]
dice coefficient: [0.7428067381028014, 0.150733226557219]
hausdorff distance: [15.783554886880532, 9.559257038746766]

sensitivity: [0.34975428435470113, 0.315099074525665]
specificity: [0.9992052042934905, 0.0005302728590854514]
dice coefficient: [0.4313858786397002, 0.33953104295778525]
hausdorff distance: [15.287683464421393, 9.3981485320311]

sensitivity: [0.35679988223499426, 0.3067445280181805]
specificity: [0.989878627164678, 0.006671214840640466]
dice coefficient: [0.43248809236505764, 0.32739031908685723]
hausdorff distance: [29.711751766628954, 21.65129265482521]

sensitivity: [0.29514620063223834, 0.27610629651401974]
specificity: [0.971288601034576, 0.02393197609936969]
dice coefficient: [0.36190866146069567, 0.3005339171324339]
hausdorff distance: [36.89881456269371, 20.08508942477667]

sensitivity: [0.5234578777638356, 0.2570468507330688]
specificity: [0.9950870776020747, 0.005062761391941049]
dice coefficient: [0.6245589646561893, 0.21852323978843094]
hausdorff distance: [19.11938922353747, 11.298183735400974]

sensitivity: [0.2782223586105708, 0.29908977616717697]
specificity: [0.9959269662956679, 0.0033897898170100176]
dice coefficient: [0.3434927476040731, 0.3148175367505617]
hausdorff distance: [28.555110021073123, 22.0854180780987]

