sensitivity: [0.19392881561970293, 0.24725897758566395]
specificity: [0.9954830917639542, 0.00592732112609168]
dice coefficient: [0.2616195893038821, 0.2547165997473922]
hausdorff distance: [53.85843245242164, 26.720826841646737]

sensitivity: [0.8725812208816779, 0.11500384636808339]
specificity: [0.995883176383801, 0.002873695855021347]
dice coefficient: [0.9090659892166449, 0.07206395441427213]
hausdorff distance: [4.0408506455182245, 2.5439194288764226]

sensitivity: [0.7866319488012211, 0.12399281418594467]
specificity: [0.9941062215185476, 0.0046207075492844234]
dice coefficient: [0.85126453183598, 0.08884411362002585]
hausdorff distance: [10.37861424787742, 6.251749058763938]

sensitivity: [0.929354338747167, 0.022395118216521445]
specificity: [0.9979447791699043, 0.0010470832990298767]
dice coefficient: [0.9570904836625563, 0.011950167665194463]
hausdorff distance: [2.7239366214477374, 1.4537890547356644]

sensitivity: [0.4371940385732257, 0.3493757721080326]
specificity: [0.9981066341061021, 0.0014303340722446561]
dice coefficient: [0.5158638610336898, 0.3458512590163617]
hausdorff distance: [17.177676970290737, 12.580172782504878]

sensitivity: [0.8888020166055929, 0.043275086656362705]
specificity: [0.9931432889301566, 0.003276471408544171]
dice coefficient: [0.9153907680978125, 0.030607741672852736]
hausdorff distance: [6.085808039718957, 2.7011615718104403]

sensitivity: [0.967087883955316, 0.01876528797975239]
specificity: [0.9944451791445045, 0.002427048289892203]
dice coefficient: [0.9507275488521094, 0.01690931498941755]
hausdorff distance: [2.467605271998291, 0.8818111409326297]

sensitivity: [0.7722642298230226, 0.1199254960699487]
specificity: [0.9938464605776769, 0.003989411378824484]
dice coefficient: [0.8347385029492941, 0.08798703940582323]
hausdorff distance: [17.26256519153481, 9.210709871738667]

sensitivity: [0.8809521039024543, 0.06369158665280718]
specificity: [0.9979139562229615, 0.0011192111045729546]
dice coefficient: [0.9276599368386081, 0.032115804978062726]
hausdorff distance: [5.76598700449106, 2.5599597387537596]

sensitivity: [0.6865713800631351, 0.20260156865892534]
specificity: [0.9988686875079567, 0.0008380975917562076]
dice coefficient: [0.7899586442396329, 0.14607522630461128]
hausdorff distance: [8.159730443041987, 4.6639181414586535]

sensitivity: [0.7319038243281122, 0.16342436277450878]
specificity: [0.9938752429809201, 0.00376640170880884]
dice coefficient: [0.8173406680345209, 0.1160010239341494]
hausdorff distance: [10.55102536578139, 5.314370178798646]

sensitivity: [0.8419260642302231, 0.05623624292460052]
specificity: [0.9946427196275901, 0.003530911383158804]
dice coefficient: [0.8977943076556368, 0.03336781350608151]
hausdorff distance: [11.969730887640386, 5.137334828890787]

sensitivity: [0.513870756235318, 0.24607854141997604]
specificity: [0.995465060400489, 0.00259751346213417]
dice coefficient: [0.6284985166496325, 0.22581028263412134]
hausdorff distance: [20.31348621636717, 11.558356763432863]

sensitivity: [0.9243082536394528, 0.029229181872069084]
specificity: [0.998235555996841, 0.0010112110170996745]
dice coefficient: [0.9567147770890646, 0.01683334631622447]
hausdorff distance: [4.198439454348024, 2.2597432335349974]

sensitivity: [0.1405719912256801, 0.27083997421441663]
specificity: [0.9942004935469082, 0.007644640405634159]
dice coefficient: [0.1671034205364447, 0.28620864063920376]
hausdorff distance: [61.704368372666515, 29.618196947095523]

sensitivity: [0.8914691996204146, 0.06249005458651765]
specificity: [0.9977333640699295, 0.000511588208447563]
dice coefficient: [0.9323509862877893, 0.03334312477297807]
hausdorff distance: [7.688300020177295, 5.088225899047897]

sensitivity: [0.9258045963652831, 0.03826219865468129]
specificity: [0.9991746285742167, 0.0007160263820408415]
dice coefficient: [0.9573379351588814, 0.02018433064906313]
hausdorff distance: [2.4700147859997386, 0.948170320640054]

sensitivity: [0.774030290210349, 0.12842273444426983]
specificity: [0.9945067866494894, 0.003579234548519434]
dice coefficient: [0.8335610541557347, 0.10057197266268272]
hausdorff distance: [40.48007617228696, 21.751553961786573]

sensitivity: [0.9327407358191965, 0.030549844815885612]
specificity: [0.9995708983854967, 0.00035237134652122077]
dice coefficient: [0.9609715889588345, 0.01516487201398132]
hausdorff distance: [1.4733352672119144, 0.44266223811870736]

sensitivity: [0.9302013024167392, 0.052889728771598664]
specificity: [0.9922809395786392, 0.005704944779771801]
dice coefficient: [0.9406039168162788, 0.0442958382765401]
hausdorff distance: [3.315802409884135, 1.9075606705790242]

sensitivity: [0.6806627133039638, 0.2518513161590889]
specificity: [0.9973152417464443, 0.0014878250859075507]
dice coefficient: [0.7651912894579763, 0.20119867893074803]
hausdorff distance: [10.569690865044073, 7.142476345829732]

sensitivity: [0.4567678979684067, 0.2877824007654149]
specificity: [0.9975634866632295, 0.0009337439893415294]
dice coefficient: [0.5636913315291637, 0.26367756631657974]
hausdorff distance: [20.25639637285697, 12.252009603287139]

sensitivity: [0.5383443349257762, 0.2932346570196918]
specificity: [0.9949229078300811, 0.0033811427909211]
dice coefficient: [0.6338157138901258, 0.27795045493997755]
hausdorff distance: [15.25517487695546, 10.518854792237303]

sensitivity: [0.7866305605071091, 0.09488299665063465]
specificity: [0.9991596795543973, 0.0006103111744311538]
dice coefficient: [0.8679120630068738, 0.05727198260748701]
hausdorff distance: [4.604386938122997, 1.9320854684448263]

sensitivity: [0.729605684880359, 0.1690011133097119]
specificity: [0.9973304085505625, 0.0019251049764102746]
dice coefficient: [0.8226802521520616, 0.11439618597798705]
hausdorff distance: [7.718015501481678, 4.983195432540103]

sensitivity: [0.8207940102888381, 0.09599602499835426]
specificity: [0.995696848520312, 0.002638703712528914]
dice coefficient: [0.8835818076963691, 0.063246483481426]
hausdorff distance: [5.903560423076149, 3.598329380572179]

sensitivity: [0.9234789259310818, 0.02497687357857662]
specificity: [0.9982495960836985, 0.0012445226008249324]
dice coefficient: [0.9536364612179732, 0.016252486360886872]
hausdorff distance: [2.4666166203726294, 1.024273294309112]

sensitivity: [0.8522086730794981, 0.09955169217952858]
specificity: [0.9987197297740705, 0.0010915806097151768]
dice coefficient: [0.9041312269396322, 0.04943250435155068]
hausdorff distance: [3.9954762124655585, 2.009022109291452]

sensitivity: [0.6295975802340465, 0.25236862224295087]
specificity: [0.9990507973713072, 0.0009086426329261977]
dice coefficient: [0.7379111643294591, 0.18672582590670958]
hausdorff distance: [10.018483064273232, 7.044856073112525]

sensitivity: [0.8862930666474059, 0.08400222201582724]
specificity: [0.9969340508636716, 0.0020965213188687084]
dice coefficient: [0.9195382395457077, 0.05404462071437069]
hausdorff distance: [3.575203934661293, 1.8487608892397116]

sensitivity: [0.5476985453381872, 0.24403462071314172]
specificity: [0.9893415647624304, 0.010546919381638032]
dice coefficient: [0.6362925613460029, 0.2250980410799487]
hausdorff distance: [14.589689409714158, 11.659372321359093]

sensitivity: [0.3187558845508736, 0.3397136421382638]
specificity: [0.9836851768181399, 0.008730911363385505]
dice coefficient: [0.37013052066256896, 0.35756997574714083]
hausdorff distance: [48.91633545095192, 36.89343382477806]

sensitivity: [0.781115481846308, 0.15993031782142508]
specificity: [0.9948559182369583, 0.0028858084432574257]
dice coefficient: [0.8395569964575802, 0.1053602734674669]
hausdorff distance: [6.401754178026251, 3.814561151358931]

sensitivity: [0.6773589152230997, 0.18462111652372373]
specificity: [0.9907195302242786, 0.007977809315189505]
dice coefficient: [0.766232019321435, 0.13392611683788158]
hausdorff distance: [18.7857207212414, 14.446338532082148]

sensitivity: [0.8660294349249349, 0.07903126566792455]
specificity: [0.9967213262719633, 0.001846163707626917]
dice coefficient: [0.9028258143813287, 0.047438019575198685]
hausdorff distance: [3.8919061453899966, 1.6891022927802741]

sensitivity: [0.7508379663410639, 0.1385887737562195]
specificity: [0.994656846725444, 0.0027451102439847485]
dice coefficient: [0.8213058467005411, 0.09451169710226756]
hausdorff distance: [8.610148835965804, 4.753805881170377]

sensitivity: [0.7205774332263647, 0.14887301806176093]
specificity: [0.9980391085956813, 0.0010852344862888575]
dice coefficient: [0.8202818978644077, 0.09609183032584677]
hausdorff distance: [9.942354500693199, 5.981882673195705]

sensitivity: [0.4782156784743893, 0.2812064947775886]
specificity: [0.9932582249897323, 0.0030702098208844884]
dice coefficient: [0.5725110300343754, 0.27438615541186073]
hausdorff distance: [23.431702102848362, 16.582782332790387]

sensitivity: [0.8542287605350384, 0.10624882735859861]
specificity: [0.9978549576751242, 0.001144399557495522]
dice coefficient: [0.9022847707100736, 0.06006433518730135]
hausdorff distance: [4.934170609919528, 3.5242910008784767]

sensitivity: [0.8864396913982152, 0.05001245240750786]
specificity: [0.9988284998547922, 0.0010106095330877475]
dice coefficient: [0.9328909265433508, 0.02681838117072871]
hausdorff distance: [3.171783311688338, 1.2934929288669084]

sensitivity: [0.9359807460632807, 0.019703483097098486]
specificity: [0.9978354413299465, 0.0011742885844382173]
dice coefficient: [0.9601935135595909, 0.009863168425842355]
hausdorff distance: [2.801785524064541, 0.6708188109634259]

sensitivity: [0.38141429707211877, 0.28204680086704226]
specificity: [0.9956861067205303, 0.002049608559436179]
dice coefficient: [0.4780018310783953, 0.29965743023399044]
hausdorff distance: [23.837364780158246, 12.12078271692898]

sensitivity: [0.4416611452216792, 0.20296893533243124]
specificity: [0.9951921370220841, 0.003233401825907884]
dice coefficient: [0.5676065742985912, 0.1605263452396309]
hausdorff distance: [36.466430280839454, 22.681110993644218]

sensitivity: [0.8961859889184312, 0.04277380093997272]
specificity: [0.9980565488636397, 0.0013226144202711134]
dice coefficient: [0.9362954241315614, 0.025769629085857594]
hausdorff distance: [3.543491719077436, 1.2424437358808795]

sensitivity: [0.9746030384929817, 0.007426037683598235]
specificity: [0.997921123036031, 0.0009088970700389498]
dice coefficient: [0.9719035117409976, 0.00692278378128269]
hausdorff distance: [1.9167605132909615, 0.5410136794529656]

sensitivity: [0.42428288296034794, 0.2907050902536602]
specificity: [0.9950042464233243, 0.0019903572122468367]
dice coefficient: [0.5260910828544745, 0.2823509352767044]
hausdorff distance: [23.39459072205946, 12.952211842538551]

sensitivity: [0.7125331065528989, 0.19963878180373693]
specificity: [0.9973293839664801, 0.0016335700463587562]
dice coefficient: [0.805870480243314, 0.14892365759419196]
hausdorff distance: [15.302925853082447, 9.308801945921626]

sensitivity: [0.6162755213536646, 0.22091420070528403]
specificity: [0.9985188863278763, 0.001613275966744584]
dice coefficient: [0.7321656656264303, 0.18197835010919164]
hausdorff distance: [16.4132303438293, 9.70940453102392]

sensitivity: [0.8124866911546651, 0.15547194094623698]
specificity: [0.998546802722023, 0.0013938091200173782]
dice coefficient: [0.8696381889019904, 0.10527756638884414]
hausdorff distance: [3.8164744997520788, 2.5168477094854422]

sensitivity: [0.8821458695320835, 0.053434408745994096]
specificity: [0.997644142745807, 0.0008739272348541354]
dice coefficient: [0.9263032977426028, 0.029298121036531788]
hausdorff distance: [4.998563926956484, 2.629516812672884]

sensitivity: [0.7659137378669356, 0.13458184366214343]
specificity: [0.992217396502735, 0.004682711578018573]
dice coefficient: [0.8331798505519641, 0.09889557542671604]
hausdorff distance: [8.25377534537907, 4.424386121035619]

sensitivity: [0.856824596615734, 0.07114233618558977]
specificity: [0.9862969506290385, 0.007945391736976818]
dice coefficient: [0.8761268404581223, 0.06484171629473116]
hausdorff distance: [8.332337178165506, 4.3786021912661655]

sensitivity: [0.7137120754312599, 0.18633233351472103]
specificity: [0.9956449198661868, 0.0028829030493735916]
dice coefficient: [0.803004072118679, 0.1326829011472499]
hausdorff distance: [11.402295408599295, 6.305103177720573]

sensitivity: [0.8203845202668757, 0.08362386904133133]
specificity: [0.9921235803587353, 0.0027908125822897504]
dice coefficient: [0.8737548767366021, 0.0482532838744982]
hausdorff distance: [10.26581059971348, 5.047751915207111]

sensitivity: [0.8593945581287983, 0.10089252047495331]
specificity: [0.9989798606370929, 0.0006986380388892589]
dice coefficient: [0.9062349815129663, 0.06223582795132378]
hausdorff distance: [3.745111330888105, 2.274673848984406]

sensitivity: [0.5220464115146822, 0.29967465609967947]
specificity: [0.9951013917871188, 0.0036891459754715837]
dice coefficient: [0.614741658526455, 0.26725381640668056]
hausdorff distance: [25.47773514592493, 20.521168221313204]

sensitivity: [0.8245096313191804, 0.17625730964190064]
specificity: [0.9982604512686866, 0.0010936404586190207]
dice coefficient: [0.8848246438364711, 0.1150332809120986]
hausdorff distance: [6.196040370510013, 4.772394618394085]

sensitivity: [0.5517643497405625, 0.26010172900592105]
specificity: [0.9953442850982515, 0.0046432073785298116]
dice coefficient: [0.6483431198263375, 0.2137144173373621]
hausdorff distance: [15.593855866068457, 9.659105853801845]

sensitivity: [0.49573610370847293, 0.26381236115027656]
specificity: [0.9901332426001861, 0.004344637809729168]
dice coefficient: [0.58067567109633, 0.22319443022633875]
hausdorff distance: [19.25616793278067, 11.794066158223359]

sensitivity: [0.3298993336321442, 0.28587399728691765]
specificity: [0.9969565625878779, 0.002468496906610373]
dice coefficient: [0.42251856778117236, 0.313436685166649]
hausdorff distance: [28.148455508761778, 16.140340960382858]

sensitivity: [0.933230983148087, 0.06935328974443192]
specificity: [0.9985587270173696, 0.0009058992755214216]
dice coefficient: [0.9496013294960055, 0.03948954151748444]
hausdorff distance: [2.3495371414314286, 1.6871105143709155]

sensitivity: [0.9213127198621546, 0.057876593446086914]
specificity: [0.9963452080857951, 0.0018292137887001376]
dice coefficient: [0.9431119354522758, 0.036251347095157954]
hausdorff distance: [5.791909208896455, 3.8842143413094194]

sensitivity: [0.655023932042098, 0.19529622651265735]
specificity: [0.9881458114705517, 0.00569120002699491]
dice coefficient: [0.7443756489208906, 0.14808417639235139]
hausdorff distance: [13.832497244622873, 7.196898867625828]

sensitivity: [0.4642734614156998, 0.2500117939388897]
specificity: [0.9947993139518887, 0.0031126207425287078]
dice coefficient: [0.5814625668915363, 0.217197345205215]
hausdorff distance: [19.262318305027993, 11.15929030818941]

sensitivity: [0.8259148157278837, 0.09757241585519369]
specificity: [0.9968548029096101, 0.0026901307361996063]
dice coefficient: [0.8834591992933601, 0.06815541021076837]
hausdorff distance: [5.505351372916919, 3.202775815974083]

sensitivity: [0.8394415813179594, 0.10834186176478737]
specificity: [0.9923240643018973, 0.004110733371080429]
dice coefficient: [0.867258133279594, 0.07306323425137089]
hausdorff distance: [5.059125582179448, 2.4910335894438407]

sensitivity: [0.5699853632252408, 0.18711071039008134]
specificity: [0.9953482442704262, 0.0030277142463397697]
dice coefficient: [0.6845006641755289, 0.1405880017077505]
hausdorff distance: [26.026278806277485, 14.594501641528494]

sensitivity: [0.5786212079134662, 0.2296455674168058]
specificity: [0.9896809896717874, 0.006950336195955973]
dice coefficient: [0.6753160171903256, 0.20348136536577602]
hausdorff distance: [22.984161846630784, 14.48084841694535]

sensitivity: [0.607008469975515, 0.16950899201829517]
specificity: [0.9971141533095377, 0.003604610312333653]
dice coefficient: [0.7249673102492207, 0.10934111244829611]
