sensitivity: [0.550178579905291, 0.1531101441567799]
specificity: [0.9782764513176032, 0.016039553044777364]
dice coefficient: [0.6249440017300202, 0.12867163622988978]
hausdorff distance: [16.979250884881566, 6.096860344055397]

sensitivity: [0.5498250002566961, 0.12371069660622015]
specificity: [0.9843087934291794, 0.007339158958212929]
dice coefficient: [0.6438524427843378, 0.09640773682934888]
hausdorff distance: [22.655247834054, 7.066805896414001]

sensitivity: [0.7103814152683084, 0.11864826762549371]
specificity: [0.931195299239762, 0.0410624192680158]
dice coefficient: [0.6365862843519982, 0.16219993218450715]
hausdorff distance: [25.68370859232751, 13.93725629183887]

sensitivity: [0.6867349135695757, 0.1665546042175057]
specificity: [0.9425253656489053, 0.03420529418915776]
dice coefficient: [0.6863301095134335, 0.16848725534213832]
hausdorff distance: [14.816170830386435, 7.466441494545631]

sensitivity: [0.7485596562749322, 0.17017284364927265]
specificity: [0.9954675334297314, 0.0022840227535282447]
dice coefficient: [0.8170912646417017, 0.1186813619323651]
hausdorff distance: [8.302365236450488, 4.973670490417023]

sensitivity: [0.7971307469420682, 0.12048730698882051]
specificity: [0.9547160703036277, 0.0296276182726248]
dice coefficient: [0.7555026457986926, 0.13823204181953516]
hausdorff distance: [11.42265769718035, 6.391887394688662]

sensitivity: [0.6223755122346801, 0.2446037799080595]
specificity: [0.9850891392611403, 0.006675524155976716]
dice coefficient: [0.6679322626514674, 0.21212485826116306]
hausdorff distance: [13.175098301051529, 5.41449764591593]

sensitivity: [0.5447442616411499, 0.18619283775326634]
specificity: [0.9864237028757309, 0.008499300034415364]
dice coefficient: [0.6298764258531596, 0.15608538783748854]
hausdorff distance: [37.19098623393619, 26.447379383986277]

sensitivity: [0.10151503870669444, 0.20266494332763552]
specificity: [0.9966370043210262, 0.006061651703120317]
dice coefficient: [0.13927776492035127, 0.20955269876759305]
hausdorff distance: [35.221636199363765, 17.733360023565247]

sensitivity: [0.8129985785229484, 0.10610084608094278]
specificity: [0.9852554590188097, 0.01050500767596248]
dice coefficient: [0.8239214264857753, 0.10029555142647893]
hausdorff distance: [13.38122600547357, 11.53008198541701]

sensitivity: [0.701010463314066, 0.08953075558468916]
specificity: [0.9436226238798084, 0.025896680739372846]
dice coefficient: [0.6891193107885993, 0.09998440296564327]
hausdorff distance: [23.289771489720962, 10.490624891933157]

sensitivity: [0.4749026649947293, 0.17723344433268892]
specificity: [0.9753582103765144, 0.009698228690182938]
dice coefficient: [0.570698091780466, 0.16202174277398543]
hausdorff distance: [33.16766355224024, 19.321130776571902]

sensitivity: [0.6712983221492858, 0.17242173945144082]
specificity: [0.8960439535439043, 0.07157833473516399]
