sensitivity: [0.6720390601958749, 0.1775665930453954]
specificity: [0.9659882952489153, 0.02082971124668516]
dice coefficient: [0.6840730924950349, 0.16257124091380556]
hausdorff distance: [12.321096089540147, 6.004769589167031]

sensitivity: [0.5497591106963274, 0.11545457974075977]
specificity: [0.9876912728512817, 0.005976942783589279]
dice coefficient: [0.6569404212740778, 0.0952264642684302]
hausdorff distance: [20.030677394818472, 6.730920920501275]

sensitivity: [0.5891592292453914, 0.27076054230813235]
specificity: [0.9410470318381828, 0.03674783474557563]
dice coefficient: [0.5650817086096531, 0.2614673447501789]
hausdorff distance: [22.97094386990701, 13.459906056838385]

sensitivity: [0.932945624603581, 0.04160659009963307]
specificity: [0.9447000290049937, 0.03843621077000269]
dice coefficient: [0.8384560291637678, 0.08389512279622688]
hausdorff distance: [14.895160984746873, 10.344121321076104]

sensitivity: [0.20917197888733138, 0.2798219520986247]
specificity: [0.9969075205336583, 0.0043812433687915025]
dice coefficient: [0.2663839078734909, 0.29960836983368866]
hausdorff distance: [23.16167903900196, 10.360338995141865]

sensitivity: [0.9300650117820772, 0.05349736679292409]
specificity: [0.9825374349553367, 0.012401721946588947]
dice coefficient: [0.9027696016761086, 0.052231500035765696]
hausdorff distance: [5.4525130088492615, 2.75743272296223]

sensitivity: [0.8353036675803517, 0.10045186092093397]
specificity: [0.9922670982097336, 0.0044553587056490734]
dice coefficient: [0.8642400242004249, 0.06527320002613626]
hausdorff distance: [5.702130978664542, 2.8552353613705495]

sensitivity: [0.7664121388188935, 0.1348717889809149]
specificity: [0.9844866178863644, 0.011097687701241855]
dice coefficient: [0.7896347981062455, 0.13063205011099605]
hausdorff distance: [15.06985747874457, 12.803621710424741]

sensitivity: [0.4633280422333191, 0.20712936961020054]
specificity: [0.9857281117353398, 0.007842559076600728]
dice coefficient: [0.5697831829943965, 0.175511535675938]
hausdorff distance: [31.99390075132883, 16.898431328995805]

sensitivity: [0.9394715056334876, 0.058834576875808155]
specificity: [0.9795247458448372, 0.01735852636128992]
dice coefficient: [0.8726553767235785, 0.0905960508617334]
hausdorff distance: [9.655093902878995, 8.796542600737453]

sensitivity: [0.6751954394400547, 0.1781720753444984]
specificity: [0.9381081744122901, 0.030961382208090988]
dice coefficient: [0.6606959182293565, 0.16401749975009966]
hausdorff distance: [17.032475947939012, 8.646469207112556]

sensitivity: [0.6710229879376552, 0.17615786392694321]
specificity: [0.9325516702446465, 0.03658415082167806]
dice coefficient: [0.6523070690855672, 0.17751746850776662]
hausdorff distance: [23.669534428030307, 13.543256869267255]

sensitivity: [0.9149410611128466, 0.0715337936388252]
specificity: [0.9150523290846287, 0.05782356591462625]
dice coefficient: [0.7331222008243657, 0.11657437339172023]
hausdorff distance: [35.16344056759423, 26.085739030792322]

sensitivity: [0.8726823388303402, 0.10195094302060287]
specificity: [0.952150878515324, 0.0372779292410522]
dice coefficient: [0.8486504404238813, 0.10719986429299613]
hausdorff distance: [11.64285461143726, 8.181927431659005]

sensitivity: [0.546738548140383, 0.15382457002408237]
specificity: [0.9528388639237796, 0.01759537998949008]
dice coefficient: [0.5723370543521168, 0.13532419533801324]
hausdorff distance: [23.841443420380887, 10.99479766220265]

sensitivity: [0.8877642484511475, 0.08260019459853926]
specificity: [0.9847812041771855, 0.012840630175751117]
dice coefficient: [0.8840635205628732, 0.07598992776839929]
hausdorff distance: [6.810028781683416, 4.877517263865926]

sensitivity: [0.7895911807875188, 0.11845785675259089]
specificity: [0.9779698232736346, 0.017358644815198603]
dice coefficient: [0.8006799566423914, 0.10908669709862638]
hausdorff distance: [11.855305220646136, 6.4149620517443795]

sensitivity: [0.9846283955378876, 0.03421187836405644]
specificity: [0.985182717622326, 0.015367720445906823]
dice coefficient: [0.9065945255897333, 0.07818755467283602]
hausdorff distance: [8.410840846979418, 7.453707550392794]

sensitivity: [0.9930831983046216, 0.007239342477326224]
specificity: [0.9837825847046056, 0.016985102333700212]
