sensitivity: [0.2768508359270541, 0.2732440406557297]
specificity: [0.976069492805617, 0.008518224799071389]
dice coefficient: [0.329972568880672, 0.2931270894991465]
hausdorff distance: [51.32999327172242, 33.257557397654196]

sensitivity: [0.08787458366518744, 0.24044819059104533]
specificity: [0.9972676639478618, 0.0062065401822642965]
dice coefficient: [0.0977452205338379, 0.2518975280814843]
hausdorff distance: [30.30175739711835, 26.17830205812026]

sensitivity: [0.5921769200070256, 0.21973160815323964]
specificity: [0.9375225355181163, 0.034138834302236326]
dice coefficient: [0.5643133457604586, 0.221439494575439]
hausdorff distance: [24.25010671526423, 14.026130054234368]

sensitivity: [0.6110110683936211, 0.2100814234031203]
specificity: [0.9063134079003723, 0.05927190736476785]
dice coefficient: [0.5836011175599158, 0.22115714690027116]
hausdorff distance: [33.633694480772384, 17.20681828735519]

sensitivity: [0.46695124347280353, 0.21035216817759517]
specificity: [0.963992119898727, 0.025364625568912124]
dice coefficient: [0.4953117325201845, 0.23237656963835582]
hausdorff distance: [37.19482374837257, 24.876597161338193]

sensitivity: [0.9263716959759839, 0.053543974978706596]
specificity: [0.9484167792231802, 0.033504703504115114]
dice coefficient: [0.813125490456443, 0.1063423946293589]
hausdorff distance: [12.835750937428001, 7.793811511212993]

sensitivity: [0.5730866482374137, 0.19324433938108018]
specificity: [0.9793292115518913, 0.014746587572393608]
dice coefficient: [0.6240979597036048, 0.17474474265008766]
hausdorff distance: [20.516451874010027, 12.373703400145164]

sensitivity: [0.642499891106691, 0.141676125665324]
specificity: [0.9690832743303849, 0.01583009963750451]
dice coefficient: [0.6521988743489117, 0.1454196082387736]
hausdorff distance: [17.672892881446604, 7.812523527489735]

sensitivity: [0.5825928417095972, 0.21747353467599279]
specificity: [0.9770648803987164, 0.010994720090996996]
dice coefficient: [0.6473251514149523, 0.17137914918885852]
hausdorff distance: [22.352405976251266, 14.270130123426119]

sensitivity: [0.48377257101171206, 0.20365045798321627]
specificity: [0.9645545364231721, 0.017201027856150117]
dice coefficient: [0.51189085798134, 0.20084556804039067]
hausdorff distance: [46.13097370486364, 29.85297190746419]

sensitivity: [0.6771484097207432, 0.1877816616128175]
specificity: [0.9296989052724637, 0.03488661856587772]
dice coefficient: [0.6397215608060417, 0.12438449463370542]
hausdorff distance: [45.09644820000823, 17.373649388580052]

sensitivity: [0.47211559093478345, 0.2283083755490437]
specificity: [0.9166268298982196, 0.04633685755994757]
dice coefficient: [0.4640959444989562, 0.1747301969970946]
hausdorff distance: [44.53028263922293, 16.02146252388506]

sensitivity: [0.6581610157580068, 0.15279502909041132]
specificity: [0.9369366900491205, 0.03577007926546954]
dice coefficient: [0.624742209291473, 0.17154532178749976]
hausdorff distance: [24.344398757856037, 19.39803037557759]

sensitivity: [0.9713197286703772, 0.024754278769571068]
specificity: [0.9627197850059096, 0.017279906637523493]
dice coefficient: [0.9134632892300206, 0.027159018628558084]
hausdorff distance: [11.276858005962652, 3.4155243882439743]

sensitivity: [0.3587548599373754, 0.23551013345585292]
specificity: [0.9445987170709624, 0.025294875779946328]
