sensitivity: [0.539816258557101, 0.20417862632931252]
specificity: [0.9725966796886522, 0.015333597021438553]
dice coefficient: [0.6025483882102449, 0.19220387923435775]
hausdorff distance: [20.361949245505226, 10.661036046751546]

sensitivity: [0.715483534550852, 0.1362537261703674]
specificity: [0.994505142454465, 0.004494711073463666]
dice coefficient: [0.8045691144437579, 0.10346748103629329]
hausdorff distance: [7.669942091080938, 3.2565812830018985]

sensitivity: [0.9115077593792508, 0.058728931220558916]
specificity: [0.9902711802365481, 0.009692106161135078]
dice coefficient: [0.9139719811441688, 0.054495524993063385]
hausdorff distance: [5.078894291712446, 3.147194428949493]

sensitivity: [0.6724017509486254, 0.19888192063801163]
specificity: [0.9545969483373462, 0.03360126804967465]
dice coefficient: [0.6987754086904286, 0.1969156466907418]
hausdorff distance: [16.624456590196466, 11.855833012235228]

sensitivity: [0.12478112480598505, 0.2770652757063483]
specificity: [0.9991066660889839, 0.0015092389853418738]
dice coefficient: [0.1418451633834198, 0.2994939280993664]
hausdorff distance: [17.062472073141645, 12.757235074782523]

sensitivity: [0.7476780635070399, 0.1087571157701781]
specificity: [0.9875043433616653, 0.006556181967913338]
dice coefficient: [0.8087710061699104, 0.08503913638017295]
hausdorff distance: [9.764310211370946, 4.474920419715164]

sensitivity: [0.8271824859330482, 0.08719609787710142]
specificity: [0.9937838265141894, 0.0031873137628315707]
dice coefficient: [0.86870357174373, 0.06440498706055509]
hausdorff distance: [6.7720001086511665, 3.401962354548023]

sensitivity: [0.6400367971078571, 0.1637776871865534]
specificity: [0.9869452026091972, 0.00970692059481586]
dice coefficient: [0.7120615092865746, 0.14134563977640893]
hausdorff distance: [12.333863966583172, 6.202886396978527]

sensitivity: [0.6506872506566415, 0.16515243200229512]
specificity: [0.9971046262895391, 0.0017615542206425568]
dice coefficient: [0.7665422964074333, 0.11910854771818419]
hausdorff distance: [10.399466948760308, 4.584512389372354]

sensitivity: [0.558602891236864, 0.17312037536740435]
specificity: [0.9920720323986184, 0.006752460611668386]
dice coefficient: [0.666388143552285, 0.1432742143383816]
hausdorff distance: [18.546207817421745, 7.255217129280464]

sensitivity: [0.5972771057068516, 0.19568931857530017]
specificity: [0.9837994974281723, 0.009715838278708349]
dice coefficient: [0.6915765867086667, 0.16521833714669162]
hausdorff distance: [14.0379869952376, 7.375743202430964]

sensitivity: [0.3376094226948342, 0.2420688383873451]
specificity: [0.9886270128225321, 0.010084975671924078]
dice coefficient: [0.44370524566000374, 0.22664946090395913]
hausdorff distance: [53.47147926242504, 29.257493151123672]

sensitivity: [0.7802097372700808, 0.12456775910264051]
specificity: [0.990894906295879, 0.007544001369805092]
dice coefficient: [0.8397315636546899, 0.09482244644857145]
hausdorff distance: [7.937164888495291, 4.875251808830412]

sensitivity: [0.8322243457853831, 0.08947571722868333]
specificity: [0.9740732937601386, 0.023458330627972448]
dice coefficient: [0.8606137257538754, 0.08682235433941603]
hausdorff distance: [10.26165153705155, 6.010976714766153]

sensitivity: [0.3204472275165807, 0.17546723748778412]
specificity: [0.9886685615462717, 0.009066583211401004]
dice coefficient: [0.4376509904227922, 0.15838398320548464]
hausdorff distance: [61.31704296433381, 22.58510369196271]

sensitivity: [0.7554701671317752, 0.10434359039690828]
specificity: [0.9983350559679832, 0.0017500766983235812]
dice coefficient: [0.8497672529396447, 0.060843895240127246]
hausdorff distance: [35.49738417242443, 18.973728773806645]

sensitivity: [0.9772405083048799, 0.010677310374808955]
specificity: [0.9937427632433481, 0.005081208666390154]
dice coefficient: [0.9629913462889161, 0.017997245285406874]
hausdorff distance: [3.3578440489866, 1.6607879684109599]

sensitivity: [0.9545228170220125, 0.020775096953545263]
specificity: [0.9971202584048096, 0.0029033720859839053]
dice coefficient: [0.9573769189996998, 0.026384564031964354]
hausdorff distance: [2.3503879714348006, 1.255259488605683]

sensitivity: [0.9538008092679087, 0.029565245762354465]
specificity: [0.9973252600432301, 0.002251094527810341]
dice coefficient: [0.9533537127363004, 0.027946905578165458]
hausdorff distance: [2.2068158879707855, 1.12396484372646]

sensitivity: [0.7980409640346617, 0.10111460662058941]
specificity: [0.9794491449825421, 0.012165268719990817]
dice coefficient: [0.8321114358784972, 0.08536759704710944]
hausdorff distance: [8.134551099879072, 4.265647086916924]

sensitivity: [0.8993096960817272, 0.06683466343410867]
specificity: [0.9964286694036711, 0.001811251939243474]
dice coefficient: [0.9274745517849327, 0.04057268676252521]
hausdorff distance: [4.268044283585539, 2.7173144818649173]

sensitivity: [0.7713729269443853, 0.15024097207656076]
specificity: [0.9966180805522705, 0.0021502238696487082]
dice coefficient: [0.8458847609460475, 0.1051659487726619]
