sensitivity: [0.37568824568943865, 0.2161904256178771]
specificity: [0.9689131281351706, 0.016302831327960423]
dice coefficient: [0.44780610164360074, 0.21630491247078582]
hausdorff distance: [24.65673269965659, 11.485303620033385]

sensitivity: [0.43125147638844724, 0.2364697612265603]
specificity: [0.9865386631075794, 0.010732062875461065]
dice coefficient: [0.5228631058354429, 0.20200112040836307]
hausdorff distance: [33.02204302755873, 27.099409728246716]

sensitivity: [0.9712562513484774, 0.02929828012235254]
specificity: [0.9797460106592576, 0.019286451486381518]
dice coefficient: [0.9084766217211431, 0.06116629773591017]
hausdorff distance: [5.169661313031899, 3.2976661305446466]

sensitivity: [0.5270952327642496, 0.2283790641889238]
specificity: [0.9693399365209731, 0.02195743912294641]
dice coefficient: [0.605490448947487, 0.22152886416453818]
hausdorff distance: [22.95006441331966, 19.594077593952]

sensitivity: [0.3766823754545431, 0.34021022424419556]
specificity: [0.9966997727018734, 0.0029499764156148195]
dice coefficient: [0.45207705288817174, 0.3625739136416053]
hausdorff distance: [21.595104008374417, 15.344428398200144]

sensitivity: [0.8774556261611818, 0.07756529524324436]
specificity: [0.98554564635701, 0.007879559978326489]
dice coefficient: [0.8833537646864446, 0.06317722170211487]
hausdorff distance: [5.1164345762451395, 2.82644014507116]

sensitivity: [0.6139385212728091, 0.18967114722505182]
specificity: [0.9937075033988597, 0.003477216942441304]
dice coefficient: [0.7130001378829509, 0.14760228246562548]
hausdorff distance: [11.85468969520962, 5.350981115361702]

sensitivity: [0.7746792426000021, 0.13338900261035547]
specificity: [0.9822455579583289, 0.01169817896566107]
dice coefficient: [0.7870300199587744, 0.11929170585413611]
hausdorff distance: [8.64014204667349, 4.591435368883912]

sensitivity: [0.5684030685187287, 0.23489278788813858]
specificity: [0.9966322897587804, 0.0017725526592642811]
dice coefficient: [0.68555732078848, 0.18785252458836008]
hausdorff distance: [14.719957723053033, 11.601271968978144]

sensitivity: [0.6958703718321014, 0.1723823269207781]
specificity: [0.9930352130312652, 0.006448315461196688]
dice coefficient: [0.7753483807583944, 0.1451818672857415]
hausdorff distance: [9.626457521449554, 4.799095288460871]

sensitivity: [0.8860421971304313, 0.048761804088715756]
specificity: [0.9834234531211138, 0.009990349762972183]
dice coefficient: [0.8924725912879075, 0.0455958096918805]
hausdorff distance: [6.158806519343208, 2.273565978214751]

sensitivity: [0.5321654734305017, 0.2005948434546425]
specificity: [0.9681856277403885, 0.02434494608815398]
dice coefficient: [0.6097830168612896, 0.1970833865390791]
hausdorff distance: [54.495025242448015, 29.9570618912851]

sensitivity: [0.8490304688976821, 0.07728808209357788]
specificity: [0.9905381742862571, 0.007452156383519563]
dice coefficient: [0.882772265131721, 0.06475319590249866]
hausdorff distance: [5.6712553267072865, 2.8231536183189814]

sensitivity: [0.9584748749318023, 0.019930152453979826]
specificity: [0.9930814045774092, 0.003267995744778392]
dice coefficient: [0.964629931545197, 0.015224872685621095]
hausdorff distance: [3.8979178708721984, 1.9251587653840785]

sensitivity: [0.5107101434451694, 0.23460742644791657]
specificity: [0.9676308427779914, 0.03532560927596249]
dice coefficient: [0.5841260733489435, 0.2660426237104325]
hausdorff distance: [34.06823462137479, 20.273678907628643]

sensitivity: [0.5732414651626695, 0.22889389206170252]
specificity: [0.9900834292246956, 0.006560638556584999]
dice coefficient: [0.6731165407161406, 0.18786146458929265]
hausdorff distance: [17.383254832898523, 10.80073075064106]

sensitivity: [0.9673164350853628, 0.01604744712123471]
specificity: [0.9882856832914029, 0.008955294436316326]
dice coefficient: [0.9386633795582296, 0.03729138040957316]
hausdorff distance: [6.083356369273798, 4.563563149310991]

sensitivity: [0.7934060478366463, 0.16517256131941227]
specificity: [0.992064288642239, 0.0077743039703073395]
dice coefficient: [0.8295420816552528, 0.15004057574877636]
hausdorff distance: [8.365437108084596, 6.62969043953144]

sensitivity: [0.9734075146412793, 0.015643007003006124]
specificity: [0.9974654851732174, 0.002641579925512416]
dice coefficient: [0.9645890055858607, 0.02271072941363443]
hausdorff distance: [2.017813159912608, 1.3766251190321062]

sensitivity: [0.6287913367791581, 0.19855807220270089]
specificity: [0.9671084428582216, 0.021064582077867457]
dice coefficient: [0.683657792587947, 0.18708062406927514]
hausdorff distance: [13.992193258994046, 8.450948337492166]

sensitivity: [0.13377410284762264, 0.26381145056981065]
specificity: [0.9970710000520756, 0.004657484304381027]
dice coefficient: [0.15601840457653615, 0.29199965611841644]
hausdorff distance: [29.214223022809215, 21.852440897381783]

sensitivity: [0.6362580069434737, 0.18357571220627913]
specificity: [0.9958488721523834, 0.00333867455683107]
dice coefficient: [0.7421323632136313, 0.14458761517422403]
hausdorff distance: [8.716100794143138, 4.206691528149408]

sensitivity: [0.1002893476369684, 0.23987348004746947]
specificity: [0.9983631153170741, 0.00397582208664447]
dice coefficient: [0.11784439893531012, 0.2719828133136319]
hausdorff distance: [17.925155027517903, 14.681483579549873]

sensitivity: [0.9132970169721045, 0.05118089515604526]
specificity: [0.9891085420287156, 0.008393133026347744]
dice coefficient: [0.8486973432775352, 0.0871121268872288]
hausdorff distance: [7.081249481703425, 4.801656566006672]

sensitivity: [0.957555353426235, 0.019119154707926866]
specificity: [0.9968687731747845, 0.0019719171418201864]
dice coefficient: [0.9650367801856525, 0.016019158258627004]
hausdorff distance: [2.4159850860887855, 1.0310267037262253]

sensitivity: [0.9099648769995102, 0.06927539292094265]
specificity: [0.9758543154151568, 0.01637945476339679]
dice coefficient: [0.8732058308118594, 0.06555302244814597]
hausdorff distance: [7.8102299490525375, 2.8983285084549664]

sensitivity: [0.9174150119866317, 0.0719282644256536]
specificity: [0.9717385229193075, 0.017924036862016327]
dice coefficient: [0.8653006519818086, 0.05963789000562114]
hausdorff distance: [15.68547897386094, 7.46987835870838]

sensitivity: [0.8327963730310431, 0.07940482581039539]
specificity: [0.9979205220478902, 0.0016441470678864934]
dice coefficient: [0.8872760321164791, 0.05307274719091482]
hausdorff distance: [5.410885397113934, 2.0949906648875176]

sensitivity: [0.8838430973727734, 0.09122945864561131]
specificity: [0.9955255932988255, 0.0032924458622372757]
dice coefficient: [0.9068967783985217, 0.07021709706559205]
hausdorff distance: [4.911412836745517, 2.7406855493443025]

sensitivity: [0.5988548234861228, 0.2777333217143348]
specificity: [0.9837711869139786, 0.010175311612385197]
dice coefficient: [0.6454437852749463, 0.26161420816992476]
hausdorff distance: [16.16238703331605, 11.475070604806632]

sensitivity: [0.31516623371474706, 0.2852762093610397]
specificity: [0.9924503697047677, 0.004339221084195082]
dice coefficient: [0.3880127405785476, 0.30671997188741323]
hausdorff distance: [51.72114576356062, 38.32174858011894]

sensitivity: [0.6118783371618491, 0.18611898155228102]
specificity: [0.9867022882244914, 0.006763793478466682]
dice coefficient: [0.7004875279281558, 0.15628046629198233]
hausdorff distance: [16.29366045546867, 8.397417993758346]

sensitivity: [0.5989184442562209, 0.24038658819324007]
specificity: [0.9953316422841157, 0.003485735172201631]
dice coefficient: [0.6985409539324864, 0.20587990411963367]
hausdorff distance: [12.98751365795306, 9.669082461699734]

sensitivity: [0.6820569104410314, 0.14852165421713975]
specificity: [0.9801432381991019, 0.013411427988890435]
dice coefficient: [0.7482827687621934, 0.13065680201342175]
hausdorff distance: [13.575601111585067, 6.544951320862793]

sensitivity: [0.7085137677387977, 0.14217033348449046]
specificity: [0.9880313140864664, 0.009581048345788776]
dice coefficient: [0.7478633872449802, 0.1523649422441638]
hausdorff distance: [13.24961097043551, 4.876591275209391]

sensitivity: [0.483137124526141, 0.21546830775828663]
specificity: [0.989965703479894, 0.0034438900923496243]
dice coefficient: [0.5811634161622834, 0.18794558437679637]
hausdorff distance: [16.884410065708458, 7.435278300081956]

sensitivity: [0.321740402817939, 0.3537794296918705]
specificity: [0.9868292123920198, 0.010105814232669834]
dice coefficient: [0.3632225326955418, 0.3753093150183375]
hausdorff distance: [35.65451084476921, 27.977158069782817]

sensitivity: [0.10865739322795855, 0.23729970935936134]
specificity: [0.9961235250093661, 0.006149540883216492]
dice coefficient: [0.1295035018223251, 0.2692249709057876]
hausdorff distance: [73.61042536946779, 44.78991913224871]

sensitivity: [0.2089710120551335, 0.36671536735753385]
specificity: [0.9971765044758235, 0.006310232776273605]
dice coefficient: [0.21815479433045368, 0.3771288222462116]
hausdorff distance: [15.863877803844106, 16.932247853971976]

sensitivity: [0.6058514847244911, 0.34732422485558956]
specificity: [0.9647324494483485, 0.029290087729289305]
dice coefficient: [0.6074508730683884, 0.3441576553141809]
hausdorff distance: [16.76384158795401, 12.719025717954334]

sensitivity: [0.9665545342659646, 0.01766352167020883]
specificity: [0.9888049479171456, 0.006701618615763961]
dice coefficient: [0.9527198116519977, 0.024074235002200024]
hausdorff distance: [4.5047469559722275, 3.189658528639957]

sensitivity: [0.480346855319384, 0.214543720056374]
specificity: [0.995002256198799, 0.002796375443491235]
dice coefficient: [0.6002061158553177, 0.19237436852897485]
hausdorff distance: [15.426341781155632, 7.99132733557482]

sensitivity: [0.7292169087426417, 0.15012159318870125]
specificity: [0.9869553504016148, 0.00790864757789474]
dice coefficient: [0.777736702716435, 0.12787466530566913]
hausdorff distance: [7.928494000880147, 4.239376865925092]

sensitivity: [0.5753180812909839, 0.2371927169745632]
specificity: [0.9758384271189373, 0.015396233106505538]
dice coefficient: [0.6322713998557907, 0.2139714681136901]
hausdorff distance: [14.159208328325423, 8.37755848572522]

sensitivity: [0.9803085860775845, 0.019046875832121616]
specificity: [0.9956555293777509, 0.001603545914433435]
dice coefficient: [0.9586885888649572, 0.017327262852579458]
hausdorff distance: [2.4661076727440427, 0.6964047767639352]

sensitivity: [0.2740836385958009, 0.30470465417672216]
specificity: [0.942591990995746, 0.026297542587994008]
dice coefficient: [0.295101334795614, 0.3157669435845882]
hausdorff distance: [43.402141099533466, 20.104414473182782]

sensitivity: [0.23952767020589671, 0.3128807143208372]
specificity: [0.9950064985153707, 0.005804025551692174]
dice coefficient: [0.2875388469110766, 0.3412635450180056]
hausdorff distance: [34.827462839791345, 23.2878854755156]

sensitivity: [0.17202913751756743, 0.32210664260702704]
specificity: [0.9924377244030854, 0.01076230115517109]
dice coefficient: [0.18922610799713696, 0.34392513661765695]
hausdorff distance: [52.12778786914352, 35.33764688579488]

sensitivity: [0.5483091686712072, 0.15491208623356564]
specificity: [0.9996318409686569, 0.0006030393819057972]
dice coefficient: [0.6908552534552841, 0.11764844998536961]
hausdorff distance: [8.481723311915005, 3.1401225549518865]

sensitivity: [0.9009399729864243, 0.06331610109991502]
specificity: [0.9881236540744314, 0.006750922472987321]
dice coefficient: [0.8999700733396437, 0.04898107943596817]
hausdorff distance: [5.174529284836246, 2.8327101299589574]

sensitivity: [0.467201209988345, 0.1651385704911111]
specificity: [0.966071264153315, 0.028373501045870574]
dice coefficient: [0.5409582811537857, 0.18738721267067127]
hausdorff distance: [55.62913106784774, 21.6117200449868]

sensitivity: [0.6274204670758323, 0.1758682713927117]
specificity: [0.9591162191452578, 0.023366084858486465]
dice coefficient: [0.6526321220197746, 0.17449163373233859]
hausdorff distance: [17.302054320334108, 9.022504251197363]

sensitivity: [0.7210797131453727, 0.12700315807670756]
specificity: [0.9918288472091776, 0.006857532105157197]
dice coefficient: [0.8062514291028527, 0.09719729845764645]
hausdorff distance: [9.123865205352315, 4.584948241935563]

sensitivity: [0.8618712421834147, 0.04237090888117533]
specificity: [0.9476348550628303, 0.0204628310645434]
dice coefficient: [0.7846915031980145, 0.052994383363382046]
hausdorff distance: [17.17564287414319, 6.441839167496684]

sensitivity: [0.08480655942030886, 0.23075018880148807]
specificity: [0.9989996140046979, 0.0024865038943165042]
