sensitivity: [0.421410638799595, 0.29023278790948687]
specificity: [0.9794413077658363, 0.009002901284992988]
dice coefficient: [0.49195781659622334, 0.2619977796885106]
hausdorff distance: [22.7118026808326, 12.96176501562416]

sensitivity: [0.7717118547361034, 0.12090797803156689]
specificity: [0.9983398032221437, 0.0019520226223518728]
dice coefficient: [0.8578958367053737, 0.0699561496223094]
hausdorff distance: [5.702133732216209, 2.5071240296247925]

sensitivity: [0.9251416905824902, 0.026588497064143964]
specificity: [0.9877850448388951, 0.008375273096324142]
dice coefficient: [0.9133008744350714, 0.03698698534216455]
hausdorff distance: [4.42861444900255, 1.911554531985029]

sensitivity: [0.8979923179260436, 0.0365430772694643]
specificity: [0.9850436520256901, 0.008723974004960116]
dice coefficient: [0.9061769717788939, 0.03366526818372808]
hausdorff distance: [6.3000088278332695, 2.8711012003334555]

sensitivity: [0.8581233973370668, 0.10275815323317537]
specificity: [0.9988229269585542, 0.00085650461190408]
dice coefficient: [0.9122835259311842, 0.05920915718014379]
hausdorff distance: [5.506352587828166, 3.9429364495493346]

sensitivity: [0.8522484930736082, 0.0581046860740485]
specificity: [0.9831448634759961, 0.00545760633751385]
dice coefficient: [0.8602071854706962, 0.04498756054954865]
hausdorff distance: [6.789780177280183, 2.3163660787707423]

sensitivity: [0.8392268528815799, 0.12603446704319166]
specificity: [0.9930908624842107, 0.0034116340719932796]
dice coefficient: [0.8685512686652354, 0.07579592501271457]
hausdorff distance: [7.406648273803137, 5.17122435678138]

sensitivity: [0.833026581901691, 0.10367316716907647]
specificity: [0.9884153234270039, 0.004625172947574324]
dice coefficient: [0.848589634596134, 0.07373139359586561]
hausdorff distance: [8.768858284319979, 5.526342164836179]

sensitivity: [0.6171817403467571, 0.1749358366177773]
specificity: [0.9929678097121581, 0.003708836334800181]
dice coefficient: [0.7245228054767455, 0.13005744135587696]
hausdorff distance: [15.30424819549042, 7.853660749664973]

sensitivity: [0.8938678644757554, 0.051169160637071213]
specificity: [0.9967115867414655, 0.004538877860602055]
dice coefficient: [0.9256818192934207, 0.03409795777314607]
hausdorff distance: [3.783574980540599, 1.3106844395050006]

sensitivity: [0.7539510627573965, 0.08920320868532869]
specificity: [0.9892012637769763, 0.0034891239244004275]
dice coefficient: [0.8257444199218186, 0.05746455314400434]
hausdorff distance: [9.571815309843934, 4.751878752055572]

sensitivity: [0.6804982071474183, 0.16313658478785883]
specificity: [0.9828728717308371, 0.007549852995629508]
dice coefficient: [0.7549402895888999, 0.12772999634095855]
hausdorff distance: [12.739763751313308, 9.25914428519487]

sensitivity: [0.8704630211097226, 0.07507292088553019]
specificity: [0.9887093545514525, 0.0047855935278514556]
dice coefficient: [0.8885867651254428, 0.054322841477485076]
hausdorff distance: [6.171709315672541, 2.81247295504166]

sensitivity: [0.9676491772245654, 0.00791032203886043]
specificity: [0.9944979461406805, 0.0027382121715675755]
dice coefficient: [0.9718162974787643, 0.006294027336008166]
hausdorff distance: [3.0903126113388533, 1.396412533673355]

sensitivity: [0.5811333563485513, 0.2666674419072859]
specificity: [0.9900844602605069, 0.00891293110482439]
dice coefficient: [0.6696112235944962, 0.23972149033591128]
hausdorff distance: [18.944229944258325, 19.70404743072853]

sensitivity: [0.8730616693817983, 0.0624905411009586]
specificity: [0.9969507366358958, 0.0012250772158990532]
dice coefficient: [0.9188031413126211, 0.034572460861691766]
hausdorff distance: [8.384416154540238, 5.141488022043618]

sensitivity: [0.8456638338941599, 0.1077519755995036]
specificity: [0.99095452718185, 0.0076536761011699985]
dice coefficient: [0.8786607197141006, 0.08591180058108693]
hausdorff distance: [13.614661637722541, 11.319937653994662]

sensitivity: [0.9673821379990124, 0.01284219209658206]
specificity: [0.9975591390211961, 0.0026816559024089863]
dice coefficient: [0.9667254270808753, 0.014835720351729621]
hausdorff distance: [1.7059581693573542, 0.6755541362981727]

sensitivity: [0.9174877602436496, 0.04274574906063781]
specificity: [0.9994856970017495, 0.0003919952160879533]
dice coefficient: [0.9515912402664506, 0.02278757387767471]
hausdorff distance: [1.9107491837076627, 0.8459930399401435]

sensitivity: [0.8765507813484441, 0.060637933705183944]
specificity: [0.9877220360087513, 0.006702724501682681]
dice coefficient: [0.8987431123438181, 0.04925436571071969]
hausdorff distance: [5.4466964121744885, 2.2583544585100466]

sensitivity: [0.838790885413366, 0.06308545577626692]
specificity: [0.9960722144277578, 0.001056274963966703]
dice coefficient: [0.890961187421755, 0.037356831616562725]
hausdorff distance: [5.431654109272344, 3.038168357836379]

sensitivity: [0.7939818075288517, 0.10904708834485331]
specificity: [0.9878738767951407, 0.005602915927951176]
dice coefficient: [0.825929348570393, 0.08398870134699542]
hausdorff distance: [9.91318526421912, 4.979500435177766]

sensitivity: [0.7122555120391616, 0.11774563061230137]
specificity: [0.9956423795670012, 0.0023021507352838405]
dice coefficient: [0.8111700304156302, 0.07193416259729887]
hausdorff distance: [7.89146050705109, 3.654885004892259]

sensitivity: [0.9798679452532199, 0.01871054189107686]
specificity: [0.9948875085749773, 0.003957820964878537]
dice coefficient: [0.9354298485594467, 0.03281962345476775]
hausdorff distance: [3.152549707418049, 1.7305385507383837]

sensitivity: [0.9503732097623665, 0.021084355238982458]
specificity: [0.9952193979850962, 0.003425471714210266]
dice coefficient: [0.9547126137625042, 0.022063029697677438]
hausdorff distance: [2.6895851809841753, 1.048553712293107]

sensitivity: [0.9165246712660077, 0.03789522451065752]
specificity: [0.9888837400824086, 0.0046790389653452]
dice coefficient: [0.9179827351260695, 0.029637212273286865]
hausdorff distance: [4.801429687534304, 2.728785985683787]

sensitivity: [0.9022540453837055, 0.050535940738434565]
specificity: [0.9880815031802749, 0.005921037984226835]
dice coefficient: [0.9075903919547541, 0.03959682984772411]
hausdorff distance: [5.816430207904167, 3.4257563111299296]

sensitivity: [0.5185221481796065, 0.2660919627278693]
specificity: [0.9892128321314649, 0.012391187608565777]
dice coefficient: [0.5942401157858898, 0.25876694365798764]
hausdorff distance: [48.18985772997243, 46.371732898016845]

sensitivity: [0.9667931955387985, 0.018062699520052686]
specificity: [0.9912411430245598, 0.009527288458997026]
dice coefficient: [0.9311305328541206, 0.058693921596031505]
hausdorff distance: [4.140713477016443, 3.452703081343813]

sensitivity: [0.815914662073327, 0.10066943728862883]
specificity: [0.9950865724417696, 0.003497279385153831]
dice coefficient: [0.8678859799770121, 0.07226336478792653]
hausdorff distance: [5.817109716625883, 2.999094509692894]

sensitivity: [0.5892789467615759, 0.24967242045456436]
specificity: [0.9905357121026083, 0.006075468766991713]
dice coefficient: [0.669186344313052, 0.2114196581774951]
hausdorff distance: [22.464839041815264, 21.44444776996288]

sensitivity: [0.6817885200708277, 0.15003745154768697]
specificity: [0.9917848317137011, 0.002555502604622576]
dice coefficient: [0.7720872012139763, 0.1064990505727121]
hausdorff distance: [14.024965938289599, 7.503354611759761]

sensitivity: [0.7169167226914417, 0.1351986693898697]
specificity: [0.993921007697592, 0.0017404649325668037]
dice coefficient: [0.7953309139178756, 0.09008234981130306]
hausdorff distance: [7.737764467601532, 4.0571337637865135]

sensitivity: [0.8527453739286756, 0.06693833059814716]
specificity: [0.9872017394203779, 0.007229577330877704]
dice coefficient: [0.8794346555726283, 0.04855576832222729]
hausdorff distance: [9.919138402983641, 4.561873884979188]

sensitivity: [0.3125117894763558, 0.4077386969426221]
specificity: [0.9969457417636927, 0.00384497489003401]
dice coefficient: [0.3320847672800189, 0.41339489191762036]
hausdorff distance: [14.520285980973394, 14.0393187691332]

sensitivity: [0.6374371790469077, 0.16562409490152727]
specificity: [0.9965381816487099, 0.002610646895455984]
dice coefficient: [0.7473387212292971, 0.11360199870524086]
hausdorff distance: [8.171847362908776, 3.939658700613657]

sensitivity: [0.6805362135570334, 0.2117114210011602]
specificity: [0.9949603107372713, 0.004059630775012801]
dice coefficient: [0.7687190327586291, 0.15455304928351038]
hausdorff distance: [9.309760473225385, 5.69166290268819]

sensitivity: [0.5725919139002632, 0.21053182517497768]
specificity: [0.988549111033276, 0.0038844015615471595]
dice coefficient: [0.6684194419296859, 0.17134000700224905]
hausdorff distance: [19.028466888266525, 15.273641168654285]

sensitivity: [0.6106054767828177, 0.20641910532069663]
specificity: [0.9952676598138931, 0.0030002119731398122]
dice coefficient: [0.7080895518456402, 0.1552679802732871]
hausdorff distance: [16.173799177610512, 11.194115425629914]

sensitivity: [0.9095830521959177, 0.033957765088468095]
specificity: [0.9963943622914403, 0.0036923362333360493]
dice coefficient: [0.9345933198786691, 0.01973513925244997]
hausdorff distance: [3.4483117587026557, 1.2945318387199563]

sensitivity: [0.9436782244813293, 0.03001892075267764]
specificity: [0.9905362927205099, 0.0047313731343036946]
dice coefficient: [0.9436884957579605, 0.01967799111499649]
hausdorff distance: [3.959229120224946, 1.9385144071933371]

sensitivity: [0.4550967030163252, 0.22108584505554987]
specificity: [0.997954133219692, 0.0018132137432278852]
dice coefficient: [0.5868061468359712, 0.17438334057484045]
hausdorff distance: [12.475793583452088, 5.149877778138279]

sensitivity: [0.7575788358948585, 0.07356954189679024]
specificity: [0.9968329896647634, 0.0014794263559615084]
dice coefficient: [0.8434126681138019, 0.04349864140590232]
