sensitivity: [0.6694724944429712, 0.19071554559622217]
specificity: [0.9531215585829466, 0.02320344426861588]
dice coefficient: [0.648245778254812, 0.17200674609340952]
hausdorff distance: [21.225203689707957, 15.086110444061038]

sensitivity: [0.772514581610492, 0.13348361112979848]
specificity: [0.9935361024235625, 0.00415611651129739]
dice coefficient: [0.8378260835099931, 0.08148936852638178]
hausdorff distance: [7.731736733583941, 3.766551970863461]

sensitivity: [0.8354981624561989, 0.08900036009340587]
specificity: [0.9949432268657945, 0.0016277837859063607]
dice coefficient: [0.8862908022883754, 0.05137039233557492]
hausdorff distance: [8.391309090928386, 5.405484721450606]

sensitivity: [0.626946143189559, 0.23039146113989473]
specificity: [0.9621634481574067, 0.026767571293185095]
dice coefficient: [0.6727750555505659, 0.20482466913990544]
hausdorff distance: [18.247162831569675, 11.73489306576113]

sensitivity: [0.9884526721788738, 0.0191912159870925]
specificity: [0.992615537454734, 0.003562205943217211]
dice coefficient: [0.9481605178466638, 0.025195067098005224]
hausdorff distance: [15.646094023700192, 22.927416087910995]

sensitivity: [0.7986167821044426, 0.11781359633634661]
specificity: [0.9700333917794862, 0.015199633738640288]
dice coefficient: [0.7894907525049273, 0.10497105444347796]
hausdorff distance: [12.320032823072156, 6.320611091639639]

sensitivity: [0.8699021173828773, 0.09104770528738927]
specificity: [0.9953190271307655, 0.0015046218820781456]
dice coefficient: [0.900930136488136, 0.053493034908416434]
hausdorff distance: [4.305348902348485, 3.0106429261947842]

sensitivity: [0.7630151476273022, 0.13031611179287092]
specificity: [0.9757481386019403, 0.012824878211519886]
dice coefficient: [0.7553086812720278, 0.12295335171239312]
hausdorff distance: [16.675008925737988, 11.590689251574224]

sensitivity: [0.8374628352835303, 0.08664924519692566]
specificity: [0.9927946495099351, 0.002850456798522497]
dice coefficient: [0.8842498146400292, 0.05663108356238691]
hausdorff distance: [8.493588793942829, 4.898191781947918]

sensitivity: [0.8891244275913173, 0.06959268936328651]
specificity: [0.9980994247896761, 0.0015388808519178853]
dice coefficient: [0.9285727515304211, 0.035357521542671036]
hausdorff distance: [5.148169144853311, 3.577199247453284]

sensitivity: [0.46622218223257245, 0.38448438008470404]
specificity: [0.9613262388455405, 0.023684447687728052]
dice coefficient: [0.4913926546069919, 0.37109061958696615]
hausdorff distance: [24.04201003746309, 20.86740089290448]

sensitivity: [0.577691007020928, 0.22962134023815328]
specificity: [0.9536160951113156, 0.02159559438413659]
dice coefficient: [0.612039600347683, 0.20011222896459863]
hausdorff distance: [24.83148769781059, 16.92130467921474]

sensitivity: [0.7652304087828175, 0.20787802302009056]
