sensitivity: [0.5738144489046556, 0.24340593731918025]
specificity: [0.9800785234873135, 0.012449940870296262]
dice coefficient: [0.6409682176821242, 0.20914013598152584]
hausdorff distance: [24.783600774619952, 20.726950233393975]

sensitivity: [0.7448015139341215, 0.10059918558653655]
specificity: [0.9968495437380376, 0.0024551063164659883]
dice coefficient: [0.8356707708055582, 0.0627798332567679]
hausdorff distance: [7.96337109500453, 2.8898767222691415]

sensitivity: [0.7721062508508676, 0.1453986281160882]
specificity: [0.9982660625253444, 0.0013789709571112932]
dice coefficient: [0.8557155263769761, 0.08706895658801776]
hausdorff distance: [9.474745112928906, 7.094307932774682]

sensitivity: [0.7200503241532666, 0.1616625943639234]
specificity: [0.9794920202972857, 0.013165192685558906]
dice coefficient: [0.779090360319337, 0.13263274395148258]
hausdorff distance: [18.709613637907683, 12.271254656861796]

sensitivity: [0.9778646660899037, 0.023009825555442318]
specificity: [0.9964382625336562, 0.002160034088858478]
dice coefficient: [0.9655758034093505, 0.022337327277419838]
hausdorff distance: [1.8064319034632548, 0.7979998609963048]

sensitivity: [0.6926480529692107, 0.14886127212055209]
specificity: [0.9749255554090557, 0.016723631214687826]
dice coefficient: [0.7355559672138914, 0.13922516815514197]
hausdorff distance: [15.714156405637153, 7.767364747830472]

sensitivity: [0.8719251180074554, 0.07642611338694569]
specificity: [0.9940616676173716, 0.0018640956530015065]
dice coefficient: [0.8955830165091723, 0.04248653396296195]
hausdorff distance: [4.708101867716647, 2.442766901801389]

sensitivity: [0.73319279930627, 0.13537269712436467]
specificity: [0.9917136384468015, 0.004482564368549787]
dice coefficient: [0.7998728450224596, 0.10533287930073328]
hausdorff distance: [14.502157523306229, 6.2546591036239345]

sensitivity: [0.8382516035338212, 0.06468277518929177]
specificity: [0.9947983978788438, 0.0014775136847175899]
dice coefficient: [0.891316712485396, 0.033480651001799505]
hausdorff distance: [8.716677965367063, 3.4282442417974908]

sensitivity: [0.6528951022612179, 0.16172161546804784]
specificity: [0.9998444854415164, 0.00031123313325123097]
dice coefficient: [0.7771313477131333, 0.12083415869579842]
hausdorff distance: [8.814468805670108, 4.899504023252618]

sensitivity: [0.6592470785335596, 0.2053323705163236]
specificity: [0.9680032543994734, 0.01716273032813605]
dice coefficient: [0.7032611125210927, 0.17179947186344846]
hausdorff distance: [14.2536782766666, 8.824170721298179]

sensitivity: [0.7081586387520814, 0.16186839887901527]
