sensitivity: [0.4404891711428623, 0.29502777840442973]
specificity: [0.9836294532264155, 0.006335750404867918]
dice coefficient: [0.5144233854939778, 0.2600698561683109]
hausdorff distance: [23.584346022093317, 14.235353503753881]

sensitivity: [0.5391080740492964, 0.2602315181532328]
specificity: [0.9944758021209613, 0.0040545024006762576]
dice coefficient: [0.6445575031259251, 0.22182653698900087]
hausdorff distance: [14.017530952416259, 8.668457725073445]

sensitivity: [0.6603810019389695, 0.2347352501530812]
specificity: [0.9940970745702253, 0.004346237258245093]
dice coefficient: [0.7499601339048816, 0.18795605619029349]
hausdorff distance: [9.58425271134627, 6.03948948988116]

sensitivity: [0.5451229284725589, 0.2742495016509653]
specificity: [0.9874493821050719, 0.007266316555688504]
dice coefficient: [0.6352246610461125, 0.2341211036623195]
hausdorff distance: [29.46265129300799, 22.677128980243825]

sensitivity: [0.8181481558246219, 0.16250090386095428]
specificity: [0.9987136175006277, 0.0013358982115680535]
dice coefficient: [0.8813282462324689, 0.09963927370188827]
hausdorff distance: [6.336642067468491, 5.132929700355212]

sensitivity: [0.5637662298092848, 0.2768117973470746]
specificity: [0.9804546235310484, 0.009102545334521059]
dice coefficient: [0.6265331157613727, 0.24277262373073608]
hausdorff distance: [18.086049504904047, 11.571292637651165]

sensitivity: [0.6632016392765194, 0.22797150192547946]
specificity: [0.9957844560533646, 0.0018958968499085173]
dice coefficient: [0.7498135968477044, 0.15727779987505058]
hausdorff distance: [11.295400872594582, 6.95082147140822]

sensitivity: [0.5962393988613546, 0.17925997778458924]
specificity: [0.9927945888675146, 0.0019966226456395128]
dice coefficient: [0.6971154909433507, 0.14077715097389665]
hausdorff distance: [26.64297656914484, 13.731416516004417]

sensitivity: [0.6412553825503526, 0.24696759788653067]
specificity: [0.9943310242104781, 0.002666252082007622]
dice coefficient: [0.7332110258049921, 0.17240893545940683]
hausdorff distance: [17.547138384641137, 13.986824794912781]

sensitivity: [0.575251599632948, 0.2670217411096758]
specificity: [0.998838960776084, 0.0015647810339623912]
dice coefficient: [0.6875410342853773, 0.20809628081116227]
hausdorff distance: [10.762219399269549, 7.092810933284457]

sensitivity: [0.5419144172965902, 0.28645278466227475]
specificity: [0.9807928220337285, 0.005466129873709723]
dice coefficient: [0.6144222528610181, 0.2381053688597844]
hausdorff distance: [26.156193255831248, 19.04434004361772]

sensitivity: [0.41777678747212593, 0.32901472746253824]
specificity: [0.9762982710909426, 0.009705572010046763]
dice coefficient: [0.4763359253894797, 0.30476014413640223]
hausdorff distance: [34.86051661933274, 23.931382068319675]

sensitivity: [0.655233487277434, 0.22157779142303125]
specificity: [0.993635078438712, 0.0024382546985939235]
dice coefficient: [0.7477435352288566, 0.1711178913997726]
hausdorff distance: [13.241723694972132, 9.662129867995644]

sensitivity: [0.6072412938261074, 0.2383983531036245]
specificity: [0.9984965509117225, 0.002356172217204957]
dice coefficient: [0.7242773452156624, 0.18702944720794573]
hausdorff distance: [14.361322270471339, 8.43123691856641]

sensitivity: [0.409820749317725, 0.2726169158239815]
specificity: [0.9936625539243212, 0.0024426538967492776]
dice coefficient: [0.5173038530526365, 0.24149842051402343]
hausdorff distance: [33.44821620648488, 24.021868493886466]

sensitivity: [0.6874793901372083, 0.20600173222330803]
specificity: [0.9970769311657812, 0.0015906446877791815]
dice coefficient: [0.7848533981381591, 0.14204370801367694]
hausdorff distance: [16.40731117182121, 12.793232850913707]

sensitivity: [0.5993372167434102, 0.28475853622514874]
specificity: [0.9984206984440902, 0.001334741622523168]
dice coefficient: [0.6984398386648898, 0.25004563941232616]
hausdorff distance: [16.929842147609428, 24.07932262731576]

sensitivity: [0.8242609951285964, 0.12993133965831574]
specificity: [0.9990131575011884, 0.0019533656928883147]
dice coefficient: [0.8901351391793731, 0.07482250251590906]
hausdorff distance: [5.486961252767818, 4.350470037129086]

sensitivity: [0.845155353110494, 0.07926903619327126]
specificity: [0.9996361063847605, 0.0008164685432135248]
dice coefficient: [0.9102558322671066, 0.03997263412219719]
hausdorff distance: [3.263442277407437, 1.4999815005625092]

sensitivity: [0.4626655316628504, 0.25811920875978034]
specificity: [0.9907191024684517, 0.004216994612184432]
dice coefficient: [0.5702403562454976, 0.22757892410789615]
hausdorff distance: [28.349586337757778, 17.789536844580415]

sensitivity: [0.7677763637762699, 0.14768629065794786]
specificity: [0.9934530385062791, 0.0011980315641174609]
dice coefficient: [0.8275474853725291, 0.08669205876227336]
hausdorff distance: [11.660072833354969, 8.145102916529504]

sensitivity: [0.4628140491411127, 0.3293840982384775]
specificity: [0.9795832847912267, 0.012644235570270982]
dice coefficient: [0.515709894734256, 0.3107125922512284]
hausdorff distance: [17.747470272769768, 11.90912670673855]

sensitivity: [0.4971580201352529, 0.2779698255533525]
specificity: [0.9926944536737256, 0.003668658116480145]
dice coefficient: [0.5969565698395652, 0.22520528625549668]
hausdorff distance: [28.674721040111685, 19.60085984351476]

sensitivity: [0.7130098096755988, 0.14691560188011643]
specificity: [0.9995538138704243, 0.0005654489104077559]
dice coefficient: [0.8184354817236336, 0.09458972579869324]
hausdorff distance: [5.534950804587241, 3.119452877904348]

sensitivity: [0.669074826244792, 0.21774427796088044]
specificity: [0.9979764326079378, 0.0008807644588267134]
dice coefficient: [0.7723027697685768, 0.16028198043738245]
hausdorff distance: [8.964535858802002, 5.899471459624135]

sensitivity: [0.668385798976683, 0.2547729924951879]
specificity: [0.9932857424849769, 0.0035295194137987857]
dice coefficient: [0.7511697087414612, 0.202432537808392]
hausdorff distance: [12.313508005848005, 10.841779708912359]

sensitivity: [0.7557368948072762, 0.16079114477678394]
specificity: [0.996864079285993, 0.003086137143581133]
dice coefficient: [0.8388062573731729, 0.09914667537567037]
hausdorff distance: [9.12515023589101, 6.109961797950806]

sensitivity: [0.5162869718520703, 0.26418754434643116]
specificity: [0.9993285562584991, 0.0013360123983871435]
dice coefficient: [0.6342373848565727, 0.2146943152005277]
hausdorff distance: [9.201789037097692, 3.897915492082328]

sensitivity: [0.8259038448175708, 0.13067687784044518]
specificity: [0.9981989147799946, 0.0011772699034935492]
dice coefficient: [0.8860604628973303, 0.07643533296125164]
hausdorff distance: [6.134495020973419, 4.715361863560314]

sensitivity: [0.6194001744290054, 0.2970810304728809]
specificity: [0.9923366289594637, 0.0048510727426187995]
dice coefficient: [0.6856352810628377, 0.2512292930623498]
hausdorff distance: [18.555223570660548, 18.291264169254944]

sensitivity: [0.5210535828681446, 0.336459432585919]
specificity: [0.995807944670568, 0.0019453009298057006]
dice coefficient: [0.5980739887488716, 0.313822500023291]
hausdorff distance: [14.712255979493447, 13.362242476241006]

sensitivity: [0.5566742052938493, 0.2589308185059761]
specificity: [0.9952093333550868, 0.0013531042738483387]
dice coefficient: [0.6628630096450773, 0.21050476281699435]
hausdorff distance: [14.35746722975482, 9.348607815062614]

sensitivity: [0.7680719155779432, 0.1549929227078529]
specificity: [0.9939818983282449, 0.0015105397040377896]
dice coefficient: [0.8269661187801665, 0.09570710625649159]
hausdorff distance: [9.466522075830548, 6.235780607735722]

sensitivity: [0.5835363787140688, 0.27700168941069575]
specificity: [0.9855527745182747, 0.0069355328758589335]
dice coefficient: [0.6600959618771124, 0.22443695960323154]
hausdorff distance: [16.454096670422082, 13.075270657252378]

sensitivity: [0.5409132746985047, 0.24169637921111883]
specificity: [0.9982460658316955, 0.0011328035101013142]
dice coefficient: [0.6590343123566181, 0.19721127499467636]
hausdorff distance: [16.47629513878929, 10.353664335208821]

sensitivity: [0.3473235554192692, 0.3316862639756468]
specificity: [0.9892041722699058, 0.004000496396155222]
dice coefficient: [0.39746780340181687, 0.3207921525997841]
hausdorff distance: [25.56195266431616, 19.702451014715415]

sensitivity: [0.6010424270519025, 0.2811878899087894]
specificity: [0.990338717610966, 0.0053170901548106365]
dice coefficient: [0.6761435326398322, 0.23526252931036826]
hausdorff distance: [16.694868485533433, 13.797875425250899]

sensitivity: [0.5626162682432991, 0.26690012419650366]
specificity: [0.9921411611344343, 0.0020758506733756276]
dice coefficient: [0.6549992446877798, 0.21339633411589012]
hausdorff distance: [17.268756148246055, 11.833148119826241]

sensitivity: [0.732481008065837, 0.19343223132012]
specificity: [0.9969650086615549, 0.0013215195263755388]
dice coefficient: [0.8087082573023746, 0.12601990293800142]
