sensitivity: [0.7908881361773726, 0.11103145875172934]
specificity: [0.9886552264388406, 0.0056853260401123215]
dice coefficient: [0.8338642736616745, 0.07727000567106641]
hausdorff distance: [10.598797002371903, 4.785272765041267]

sensitivity: [0.8724794825960736, 0.06685418688722773]
specificity: [0.9942694746810736, 0.0019259548134908794]
dice coefficient: [0.9052325462551455, 0.033544585797525374]
hausdorff distance: [5.817926334176753, 2.6804974358178337]

sensitivity: [0.9341979191342579, 0.0398210203811863]
specificity: [0.9929412167448464, 0.001957381679809671]
dice coefficient: [0.9354727728290215, 0.02144856982350283]
hausdorff distance: [3.746663658431129, 1.6620804525026676]

sensitivity: [0.8093667172190228, 0.08291489793827389]
specificity: [0.9936788406722481, 0.0036268727459614343]
dice coefficient: [0.8752393753536466, 0.05534582782765454]
hausdorff distance: [8.104434675776918, 3.398745639114231]

sensitivity: [0.9932761413581549, 0.01808502095373583]
specificity: [0.9935147249513044, 0.002389666910322845]
dice coefficient: [0.9545286599454995, 0.020769095042447186]
hausdorff distance: [2.08520595414624, 0.7650159881508369]

sensitivity: [0.8605462792584496, 0.08864269589033799]
specificity: [0.9735595921819382, 0.014864971445901636]
dice coefficient: [0.8376267151513319, 0.08336911349410296]
hausdorff distance: [8.77028928131828, 5.242330199633906]

sensitivity: [0.9586349514621483, 0.02710127507646129]
specificity: [0.9917546924578763, 0.0022758101504495695]
dice coefficient: [0.9312212281320481, 0.014449204759713136]
hausdorff distance: [3.2987067587558356, 1.1188686487125712]

sensitivity: [0.9842775311443825, 0.005799467195727887]
specificity: [0.9853607074109452, 0.00537677681593886]
dice coefficient: [0.9192134644450175, 0.023347240908650844]
hausdorff distance: [4.849473228198817, 2.369798038296995]

sensitivity: [0.9316671384153066, 0.0434014637686445]
specificity: [0.9865011407558341, 0.0026715266180165295]
dice coefficient: [0.9164374693689601, 0.02339567217052061]
hausdorff distance: [5.9708623421068046, 2.9802912986726935]

sensitivity: [0.7990427870440467, 0.11966018148402711]
specificity: [0.9989604191507683, 0.0009270088283508104]
dice coefficient: [0.8770848409671945, 0.06836613287550561]
hausdorff distance: [7.228254699768345, 4.157603555969492]

sensitivity: [0.907701634165815, 0.06137297462334053]
specificity: [0.9847953950021232, 0.0027174972340865845]
dice coefficient: [0.9064942963942356, 0.03334120366477491]
