sensitivity: [0.700991262325374, 0.19469551978344585]
specificity: [0.9936763434123072, 0.005099988287359943]
dice coefficient: [0.7841115498589795, 0.1580241691882414]
hausdorff distance: [10.856179255282457, 8.786924299425907]

sensitivity: [0.7702160578018328, 0.1410839237482811]
specificity: [0.9976468453086518, 0.002534621206327372]
dice coefficient: [0.8514151940635266, 0.08068795447668584]
hausdorff distance: [7.482642121289089, 3.6437252299503853]

sensitivity: [0.8857694652071839, 0.07097532571103447]
specificity: [0.9980491548317032, 0.000916446841743021]
dice coefficient: [0.9292067181814716, 0.03806857206538727]
hausdorff distance: [5.528475317929137, 3.79068516133715]

sensitivity: [0.800166345477073, 0.11273187918933933]
specificity: [0.9973724925122017, 0.0013768004547312627]
dice coefficient: [0.8770072231033542, 0.06745165126118559]
hausdorff distance: [7.011849283130618, 4.366612298337693]

sensitivity: [0.9749825366315251, 0.026182677162326477]
specificity: [0.9957513833351291, 0.0020092039163594065]
dice coefficient: [0.9589988221947763, 0.022445702500325335]
hausdorff distance: [2.2204581125296747, 0.7091537942043943]

sensitivity: [0.7461883613696506, 0.1044825305085167]
specificity: [0.9929656520479494, 0.0020091000861989557]
dice coefficient: [0.8254735892565803, 0.07045039664922621]
hausdorff distance: [10.620833333304239, 5.495261532099593]

sensitivity: [0.937058913288551, 0.037986669445499055]
specificity: [0.9915372733618529, 0.0034416509931469563]
dice coefficient: [0.9197678488594977, 0.03153778629049723]
hausdorff distance: [3.4930092823824492, 1.6017343162512054]

sensitivity: [0.9542722021484078, 0.023905725039719074]
specificity: [0.9901123892112075, 0.0034500819138930253]
dice coefficient: [0.92607772403859, 0.02192366876311438]
hausdorff distance: [3.686870380428844, 1.3065170484599393]

sensitivity: [0.7300154538929848, 0.08057525830817476]
specificity: [0.9939043526413494, 0.0026248056813598744]
dice coefficient: [0.8208707649897217, 0.06069028768293837]
hausdorff distance: [12.779054368168401, 4.982880972763597]

sensitivity: [0.5509195230262447, 0.2845497981259411]
specificity: [0.9957234947926689, 0.002818085906339284]
dice coefficient: [0.651671763713658, 0.2254305355595666]
hausdorff distance: [49.03366101897657, 37.22051522672362]

sensitivity: [0.8277896615221018, 0.09569311738480847]
specificity: [0.9894776931486857, 0.002297973546586111]
dice coefficient: [0.8720154417152347, 0.05593031966591712]
hausdorff distance: [8.884265198791846, 4.431308897402969]

sensitivity: [0.7208639944755509, 0.09661256887018731]
specificity: [0.9824681828312822, 0.006272084808553847]
dice coefficient: [0.7874838235874215, 0.07513296968135257]
hausdorff distance: [12.95275101738708, 5.982717421727739]

sensitivity: [0.8906898945824786, 0.07199202910585115]
specificity: [0.9950276505374326, 0.0014556621912079739]
dice coefficient: [0.9215681723800456, 0.041930940878047225]
hausdorff distance: [5.56279746021133, 3.042249893855922]

sensitivity: [0.7894290329021167, 0.12870135440831384]
specificity: [0.998467466703973, 0.0018456567157190396]
dice coefficient: [0.8726391047240724, 0.08020320030487745]
hausdorff distance: [10.907096093672122, 5.180275552844881]

sensitivity: [0.6278352564009287, 0.1260639518360091]
specificity: [0.9977555573222462, 0.0022284308231822554]
dice coefficient: [0.755567865880724, 0.09560067668253078]
hausdorff distance: [10.331108027535354, 4.098968194159097]

sensitivity: [0.875575699075326, 0.07677090758930732]
specificity: [0.9954427480793397, 0.0029724725975189188]
dice coefficient: [0.9145059111472489, 0.04592096612285405]
hausdorff distance: [8.15460871057005, 5.154514860213493]

sensitivity: [0.8573041174501206, 0.06991647454232357]
specificity: [0.9997110751977993, 0.00046986189447374043]
dice coefficient: [0.9202282544697595, 0.038492284102901404]
hausdorff distance: [4.767521565860693, 2.4773786117022714]

sensitivity: [0.8973384399107905, 0.04889016279615249]
specificity: [0.9996798593300197, 0.0007127853565782645]
dice coefficient: [0.9426582006899852, 0.023194603081989784]
hausdorff distance: [2.3312088107168747, 0.815760676201061]

sensitivity: [0.8547696959351347, 0.0759745738578095]
specificity: [0.99953858439315, 0.0011844642283363204]
dice coefficient: [0.9150238952344397, 0.03531532786866565]
hausdorff distance: [2.4555526132902767, 0.8964344352470102]

sensitivity: [0.9049330871076419, 0.04437873422139565]
specificity: [0.9789018640499518, 0.011131442412754015]
dice coefficient: [0.8947572603688418, 0.04682717942272273]
hausdorff distance: [10.40790757140304, 5.9533290394364995]

sensitivity: [0.9589549911966774, 0.030637351155165415]
specificity: [0.9925323954711064, 0.0015629252002091938]
dice coefficient: [0.9412347597952028, 0.012700275118203808]
hausdorff distance: [3.6504887094323637, 2.123032151343962]

sensitivity: [0.8717994448100728, 0.07252265607211657]
specificity: [0.9917626220865299, 0.0029576031373532725]
dice coefficient: [0.8893332761766923, 0.04262433688779225]
hausdorff distance: [5.948464313425552, 3.1116617712356462]

sensitivity: [0.874607422597029, 0.07574570529574343]
specificity: [0.994302271952285, 0.001540590516240984]
dice coefficient: [0.9108528286741587, 0.04408570973046982]
hausdorff distance: [4.8461347196660585, 2.077252579453727]

sensitivity: [0.8580751336400271, 0.16319258877315795]
specificity: [0.9940874526067202, 0.0034556277409219503]
dice coefficient: [0.8544780073046893, 0.12442674237362468]
hausdorff distance: [5.607638902950938, 3.7176676291430173]

sensitivity: [0.8701218032114694, 0.06400444951454132]
specificity: [0.9981390695190975, 0.0008130444038250288]
dice coefficient: [0.9210551824609365, 0.032291188088692635]
hausdorff distance: [4.355230770051488, 2.016258483659786]

sensitivity: [0.7337054171906591, 0.0987357645922273]
specificity: [0.9994763115386831, 0.00040218190278456205]
dice coefficient: [0.8407833136883799, 0.06252610721506904]
hausdorff distance: [9.424880402327165, 4.6838334800135675]

sensitivity: [0.7317709924157723, 0.12253086816753131]
specificity: [0.9951350636313072, 0.004241074693250982]
dice coefficient: [0.8241871059225516, 0.08672652201100724]
hausdorff distance: [10.743785004191137, 5.811289339184345]

sensitivity: [0.4049831817709117, 0.3382452382196423]
specificity: [0.993746749099451, 0.005458340313984939]
dice coefficient: [0.4730291181718949, 0.34427960698754656]
hausdorff distance: [50.72447500638816, 44.64333808449254]

sensitivity: [0.9512620039338671, 0.027733713960897896]
specificity: [0.9962426668829119, 0.0016560249867793538]
dice coefficient: [0.9503604617561893, 0.02022239857673675]
hausdorff distance: [3.6072072598842415, 2.412755503065272]

sensitivity: [0.894652073797598, 0.07905093988399545]
specificity: [0.9910348875010985, 0.005698789369380577]
dice coefficient: [0.896327194594832, 0.06690883247505273]
hausdorff distance: [5.532015225970012, 3.898308292020522]

sensitivity: [0.6841274478809861, 0.19815020143600984]
specificity: [0.9955201248482517, 0.002442044867226737]
dice coefficient: [0.7676713454416599, 0.13898449859811662]
hausdorff distance: [10.768189998847474, 5.349088783651652]

sensitivity: [0.7674909395731595, 0.0786848118786017]
specificity: [0.9961512798904523, 0.0016171558679165955]
dice coefficient: [0.8517134206648689, 0.05191731249401565]
hausdorff distance: [9.386156701598285, 4.242648037846366]

sensitivity: [0.841218438093711, 0.08354166053318386]
specificity: [0.9897978497356255, 0.0032713713839327622]
dice coefficient: [0.8580918776756984, 0.057208020942949765]
hausdorff distance: [8.15633625530946, 4.684105630426274]

sensitivity: [0.8617895147137038, 0.061457801123682376]
specificity: [0.9915493021051713, 0.0022457668498244835]
dice coefficient: [0.8975408263184455, 0.03671430495639788]
hausdorff distance: [7.654573242041716, 3.200131530976863]

sensitivity: [0.595686853641483, 0.29461051528790827]
specificity: [0.9977248699522907, 0.001640018322175508]
dice coefficient: [0.6807807624463287, 0.2692815706167257]
hausdorff distance: [14.38644023999769, 14.789534719556771]

sensitivity: [0.7928303771913048, 0.12210985149443739]
specificity: [0.9946238661158048, 0.0035097822351355915]
dice coefficient: [0.8514480333969471, 0.09246055051921112]
hausdorff distance: [7.120676742111334, 4.534603555000304]

sensitivity: [0.8126483681519645, 0.11764827113490234]
specificity: [0.9988377526051267, 0.0006346213930947871]
dice coefficient: [0.8860740800576319, 0.07025577230761852]
hausdorff distance: [5.825839266333111, 3.590672663469146]

sensitivity: [0.8136121089073896, 0.08517603365698152]
specificity: [0.9902928339602691, 0.0031027077343350894]
dice coefficient: [0.8577552958870559, 0.05543865936793136]
hausdorff distance: [8.481021664647669, 4.408961123716508]

sensitivity: [0.9157179683175637, 0.043640844798130525]
specificity: [0.9941935132753773, 0.0021989357837412125]
dice coefficient: [0.9149990521301975, 0.024825786499581285]
hausdorff distance: [4.822891302200465, 2.471110307903265]

sensitivity: [0.7268825352542997, 0.19057277961666513]
specificity: [0.9958753998548588, 0.003572201652327334]
dice coefficient: [0.8079223820326926, 0.13847164202496665]
hausdorff distance: [8.216292564606059, 5.227415214628784]

sensitivity: [0.8574997849952233, 0.05233079693201957]
specificity: [0.9980359331016639, 0.0010580301053598057]
dice coefficient: [0.9167341777060815, 0.02987963984329815]
hausdorff distance: [6.398780489545176, 2.784889270081666]

sensitivity: [0.7687453455828283, 0.12257784185047998]
specificity: [0.9961566229401595, 0.0020321815139427305]
dice coefficient: [0.8418340931675835, 0.07088608375634249]
hausdorff distance: [8.622189425026587, 4.2494528493630455]

sensitivity: [0.93138812510144, 0.09081879143771171]
specificity: [0.9891428338550136, 0.006805902053922572]
dice coefficient: [0.9098059735921098, 0.07413597787563488]
hausdorff distance: [5.621295704251413, 3.605694746559199]

sensitivity: [0.8360182451424515, 0.12067618865987659]
specificity: [0.995863536328177, 0.0012166123395286248]
dice coefficient: [0.8885423493736783, 0.07467758744880686]
hausdorff distance: [6.326076199330044, 4.709645413432944]

sensitivity: [0.9439309641119206, 0.021608692759642906]
specificity: [0.9979116843744175, 0.0011953248169317562]
dice coefficient: [0.9556522451146119, 0.011257496211157231]
hausdorff distance: [2.6582844775235435, 0.8757036998270138]

sensitivity: [0.8539790857515737, 0.07137488480745903]
specificity: [0.9956065103997109, 0.0024483662566974354]
dice coefficient: [0.9029615690348246, 0.03949368150600577]
hausdorff distance: [7.23179360700525, 3.2661640945219927]

sensitivity: [0.47138745351799827, 0.26452314519534265]
specificity: [0.9987070243409003, 0.0014672216043016164]
dice coefficient: [0.593028286225914, 0.2368270832598185]
hausdorff distance: [26.37024019045729, 14.696159326989404]

sensitivity: [0.8548745560379019, 0.17089673751715712]
specificity: [0.9977097256286549, 0.0015800891985035567]
dice coefficient: [0.9002767629434234, 0.10713963157253042]
hausdorff distance: [5.773071965331743, 4.568549012881515]

sensitivity: [0.6913367697541266, 0.1782803975442767]
specificity: [0.9996754273592573, 0.00046184031793173024]
dice coefficient: [0.7991172541342489, 0.13171526707120862]
hausdorff distance: [7.3997987094951005, 4.112133962509163]

sensitivity: [0.7993521639119464, 0.11682317620196135]
specificity: [0.9954468570185355, 0.001256053122557784]
dice coefficient: [0.8643091362138698, 0.06772879655545926]
hausdorff distance: [9.671047305278524, 7.064288878039911]

sensitivity: [0.6366313835722145, 0.2161605596178717]
specificity: [0.998681092789672, 0.0008805705163702105]
dice coefficient: [0.7521339371866252, 0.1581840013253787]
hausdorff distance: [10.63677154274762, 7.112835192855784]

sensitivity: [0.8452045950600799, 0.07409813322859865]
specificity: [0.9922826020640412, 0.005211319678099029]
dice coefficient: [0.8884748394278233, 0.0549575703128238]
hausdorff distance: [7.1635210824848885, 4.104952176026074]

