sensitivity: [0.7943566620391203, 0.15493862169014608]
specificity: [0.9905878194619636, 0.004471680315119807]
dice coefficient: [0.8398495204992881, 0.10697195384766385]
hausdorff distance: [9.089612403587063, 5.2642454051734315]

sensitivity: [0.8843727450512265, 0.07258132086753542]
specificity: [0.9956109732965378, 0.002218209486504548]
dice coefficient: [0.9181672407896434, 0.04406698330472098]
hausdorff distance: [5.209787792626375, 2.142765616938669]

sensitivity: [0.9021458292602531, 0.07043429379948571]
specificity: [0.9971537775589995, 0.001145963483306322]
dice coefficient: [0.9341157239585803, 0.034805180076437764]
hausdorff distance: [4.37295216645862, 3.0785206430792154]

sensitivity: [0.8089624967985466, 0.12845399602749852]
specificity: [0.9942632419209357, 0.0024019602721802105]
dice coefficient: [0.8714726777339796, 0.06973314483941492]
hausdorff distance: [8.24143507736634, 5.450878938197856]

sensitivity: [0.9698184443657477, 0.02967020167519603]
specificity: [0.9955980978672796, 0.0019107678398145695]
dice coefficient: [0.9552552862308993, 0.020193416317087386]
hausdorff distance: [2.307108338152501, 0.7597704363998418]

sensitivity: [0.7320042747921913, 0.15542442953274715]
specificity: [0.9758730244443855, 0.010161171501221441]
dice coefficient: [0.7591607635303547, 0.123376084153082]
hausdorff distance: [18.367108823225006, 10.327115447975308]

sensitivity: [0.7865089300839564, 0.1426209731063124]
specificity: [0.9904766400246703, 0.002607778424184982]
dice coefficient: [0.8220944461057763, 0.09473427831892077]
hausdorff distance: [10.774979172916892, 6.801947551243976]

sensitivity: [0.950094348596576, 0.03317608474239177]
specificity: [0.9843313435110954, 0.005448708430892522]
dice coefficient: [0.8970717633155513, 0.03399325579272042]
hausdorff distance: [6.238889382815145, 3.436508781063972]

sensitivity: [0.6525946086822684, 0.20394022107599963]
specificity: [0.9954491102283882, 0.0019907452723358482]
dice coefficient: [0.7547083887263387, 0.14535581108425288]
hausdorff distance: [10.24883602257981, 5.504061547221632]

sensitivity: [0.6233926462111715, 0.2725944557237582]
specificity: [0.9994047265887033, 0.00120393231515439]
dice coefficient: [0.7276141044323515, 0.2138711324251843]
hausdorff distance: [9.607250872260094, 6.675881765289457]

sensitivity: [0.8474690382644319, 0.09951496726907853]
specificity: [0.9877382445883818, 0.004183887344766005]
dice coefficient: [0.8781908862160265, 0.052687413629132304]
