sensitivity: [0.7098230218459264, 0.1817813341249654]
specificity: [0.9647728512484862, 0.016285475822478548]
dice coefficient: [0.7040280782795661, 0.15799890976647696]
hausdorff distance: [16.239798606868476, 8.199732183127654]

sensitivity: [0.8208372709135331, 0.10969677175257161]
specificity: [0.994758993130097, 0.0029218009245802314]
dice coefficient: [0.874625347421614, 0.06509852187356235]
hausdorff distance: [7.546627127679092, 4.341476591642297]

sensitivity: [0.675856457283288, 0.14797203626147892]
specificity: [0.9977871275443508, 0.0016205078597599535]
dice coefficient: [0.788201730631654, 0.10456302924268714]
hausdorff distance: [11.981167801767688, 5.152826225081263]

sensitivity: [0.6964960643652929, 0.17458774574888897]
specificity: [0.9752594656787231, 0.01527863473001702]
dice coefficient: [0.7521474320664182, 0.1440688837586801]
hausdorff distance: [13.35759771271857, 7.914622543864128]

sensitivity: [0.9914274793949056, 0.01877015416919632]
specificity: [0.9944651505485508, 0.0024418301194417858]
dice coefficient: [0.9599851893801545, 0.021767790762357173]
hausdorff distance: [2.0636928906318635, 0.7796398654649268]

sensitivity: [0.7322620454278203, 0.16769090071126935]
specificity: [0.969597380522799, 0.018528827156193355]
dice coefficient: [0.7455273206726397, 0.14983511734400862]
hausdorff distance: [12.891008856682882, 6.893612308283914]

sensitivity: [0.7874991406193025, 0.10807941207181744]
specificity: [0.9927675187953225, 0.0034686156780539454]
dice coefficient: [0.8373697267451019, 0.07228367047761763]
hausdorff distance: [8.681884120526112, 4.8433688122101435]

sensitivity: [0.7615995900346626, 0.10587665324536924]
specificity: [0.9920204060239427, 0.0035563703448090907]
dice coefficient: [0.8214069915886669, 0.08149356507485463]
hausdorff distance: [12.614487987915188, 4.34066348262684]

sensitivity: [0.791711043369641, 0.045739425283183005]
specificity: [0.9931775479284857, 0.0016028273021136885]
dice coefficient: [0.859049214958165, 0.02971427170116774]
hausdorff distance: [9.612896549340837, 3.053776885269186]

sensitivity: [0.7478291686861801, 0.14906959157268437]
specificity: [0.9967462984454357, 0.0037913300620423256]
dice coefficient: [0.8301326973545572, 0.09981270437024832]
hausdorff distance: [35.786779199107784, 37.26177354726477]

sensitivity: [0.6491362863417646, 0.23299473302915902]
specificity: [0.9510429420656289, 0.025704266362272094]
dice coefficient: [0.6602386217609398, 0.20486322900093212]
hausdorff distance: [15.264385019400601, 9.584634403364861]

sensitivity: [0.6721644884719603, 0.15621722993200704]
specificity: [0.9701848972596159, 0.013183394763157304]
dice coefficient: [0.721572259320151, 0.1303445694147613]
hausdorff distance: [15.389886890779998, 9.010256090829568]

sensitivity: [0.8253259622617162, 0.09444903414874653]
specificity: [0.9968854986194906, 0.001139365229378842]
dice coefficient: [0.8887210624259885, 0.05245655841791081]
hausdorff distance: [7.613853155599262, 4.2421582704606635]

sensitivity: [0.8160183658334178, 0.08793940175655934]
specificity: [0.999202712242413, 0.0019147054058153328]
dice coefficient: [0.8940795005850822, 0.04990340366191179]
hausdorff distance: [10.722837728216712, 6.249326714748208]

sensitivity: [0.6747410906756701, 0.1782390119791262]
specificity: [0.9794450306025997, 0.006981827672295231]
dice coefficient: [0.7282922819975347, 0.13287434146473015]
hausdorff distance: [11.32142915341434, 5.015832459079261]

sensitivity: [0.8564131009223765, 0.08958808303679143]
specificity: [0.9895702613059509, 0.008135266445360959]
dice coefficient: [0.8839686260785699, 0.0722709728549652]
hausdorff distance: [9.422736158441532, 6.267272928081655]

sensitivity: [0.6592293228195084, 0.13283549442382953]
specificity: [0.9984453219230739, 0.0015825886215029587]
dice coefficient: [0.7798669786779655, 0.0897847776279257]
hausdorff distance: [14.907968248033653, 4.268389553717796]

sensitivity: [0.9173807836522136, 0.039502206832120364]
specificity: [0.9991912500665953, 0.001734130301437961]
dice coefficient: [0.9499580435671784, 0.013853395669639442]
hausdorff distance: [2.1620433623700364, 0.43844630902578346]

sensitivity: [0.914276656906418, 0.04732947786668555]
specificity: [0.9993204476096434, 0.0012811931992604423]
dice coefficient: [0.9475619723292538, 0.018001557835926996]
hausdorff distance: [2.169839151532508, 0.6259377416937604]

sensitivity: [0.7759677045657304, 0.1422877313202846]
specificity: [0.9894837345321167, 0.00454657959796847]
dice coefficient: [0.8380561829871269, 0.09995380136392117]
hausdorff distance: [7.765985096757928, 5.005611065953929]

sensitivity: [0.9165089666058827, 0.05150132317530951]
specificity: [0.9923525485286814, 0.0021060100659928563]
dice coefficient: [0.9176681452072526, 0.028902742175680216]
hausdorff distance: [5.548713402753635, 3.3632989123927386]

sensitivity: [0.9031147472823374, 0.06634902027406415]
specificity: [0.9911808784506825, 0.002189365560380544]
dice coefficient: [0.904569496928311, 0.03948312796879133]
hausdorff distance: [5.6263983663674475, 2.88276049813445]

sensitivity: [0.8221634316703048, 0.09868599934922165]
specificity: [0.9901778626826356, 0.0028077403100923823]
dice coefficient: [0.8646683591180763, 0.0565657160398374]
hausdorff distance: [9.528133527308496, 4.4438727276006755]

sensitivity: [0.9029271869785248, 0.08026241341053589]
specificity: [0.9981220377629813, 0.0013347345293565915]
dice coefficient: [0.9239343562451201, 0.03440862101634553]
hausdorff distance: [2.928656694259559, 1.0753154423247189]

sensitivity: [0.825170480069919, 0.12086935350514574]
specificity: [0.9984431110600821, 0.0012183182619012925]
dice coefficient: [0.8921634367893384, 0.0685529516101729]
hausdorff distance: [6.06446808039841, 4.141927116109379]

sensitivity: [0.5889899801514351, 0.22675624913580386]
specificity: [0.9909511036477215, 0.007045754168959768]
dice coefficient: [0.6921696728109287, 0.19271361773987525]
hausdorff distance: [14.109515511684558, 10.328999888285386]

sensitivity: [0.6970108385403603, 0.16647382159429489]
specificity: [0.991791618183354, 0.007230679085399369]
dice coefficient: [0.7859884076761, 0.1319044683643793]
hausdorff distance: [9.418436730315486, 6.220373747375969]

sensitivity: [0.540659630109672, 0.13648447813899606]
specificity: [0.999762809006981, 0.0005434816934430215]
dice coefficient: [0.6894983037355904, 0.10352343403837369]
hausdorff distance: [7.990047700593674, 1.9981168823597526]

sensitivity: [0.9480136637947819, 0.015682877825398265]
specificity: [0.9975801861020023, 0.0019093006581929156]
dice coefficient: [0.9571020732159666, 0.012335934476703933]
hausdorff distance: [2.6303390398748947, 0.9563732893820037]

