sensitivity: [0.45117348235492194, 0.23691798723701266]
specificity: [0.9845103195238184, 0.008276219799805572]
dice coefficient: [0.5468199452042638, 0.21468681081992302]
hausdorff distance: [20.797057955936427, 10.663757016678256]

sensitivity: [0.7258485692093469, 0.13983512333338086]
specificity: [0.9958805935958029, 0.0027485101495906797]
dice coefficient: [0.8152559305365256, 0.08785653712067269]
hausdorff distance: [10.276650567182191, 4.5007910178879245]

sensitivity: [0.624074315788088, 0.24469280449949815]
specificity: [0.9831101349546043, 0.012989572318835223]
dice coefficient: [0.6896198670292067, 0.2222747589932859]
hausdorff distance: [17.823875435466043, 15.457774671482424]

sensitivity: [0.6432149528855108, 0.21979457274525951]
specificity: [0.9594798094951326, 0.02569520254969075]
dice coefficient: [0.6796994745288506, 0.19912736704711614]
hausdorff distance: [14.681470139228297, 9.807536280038999]

sensitivity: [0.9572952785211044, 0.030390091083252718]
specificity: [0.997227434821037, 0.0015396554772866087]
dice coefficient: [0.9589618527739762, 0.017177267717786264]
hausdorff distance: [2.928034811371496, 0.8717485169072668]

sensitivity: [0.6339465388470571, 0.1438887176916155]
specificity: [0.9861760306253264, 0.0052653853740537125]
dice coefficient: [0.7221307523896245, 0.11221695741028381]
hausdorff distance: [20.476236953932734, 12.006542114186459]

sensitivity: [0.7385914495762171, 0.1464771908650544]
specificity: [0.9946798897055501, 0.0021449781934128075]
dice coefficient: [0.8128369868283715, 0.10098852781780254]
hausdorff distance: [10.736100936604537, 6.34844889289548]

sensitivity: [0.7926963627119908, 0.1589444241488652]
specificity: [0.9875271353033607, 0.005758231119469268]
dice coefficient: [0.8156493529255833, 0.12184530292702646]
hausdorff distance: [11.182201746576698, 7.304680971737031]

sensitivity: [0.8920395910457829, 0.06331390110699871]
specificity: [0.9919202676968256, 0.0014557152583749076]
dice coefficient: [0.9123709128693964, 0.031781016190558446]
hausdorff distance: [6.70521668109812, 3.3476463263299125]

sensitivity: [0.6707727408985508, 0.19578867493175164]
specificity: [0.9911351517420742, 0.00776862746194819]
dice coefficient: [0.7488608611126165, 0.16326016190163004]
hausdorff distance: [46.105809348296745, 39.82864560847103]

sensitivity: [0.6270710176610834, 0.20381678945422452]
specificity: [0.9868041652378581, 0.0026516572182139764]
dice coefficient: [0.7164545455312292, 0.1573859851715954]
hausdorff distance: [15.705528328115436, 9.864230664447694]

sensitivity: [0.6504024387227179, 0.189276068465206]
specificity: [0.9673609482144516, 0.015663243657262668]
dice coefficient: [0.6969113368449827, 0.16019192040495953]
hausdorff distance: [19.00676909513288, 12.037831832641968]

sensitivity: [0.8136754330666381, 0.08526742778464491]
specificity: [0.9977649760367542, 0.0014142564596649704]
dice coefficient: [0.885468303959777, 0.044689287774254356]
hausdorff distance: [5.961993077380762, 2.6810393280586537]

sensitivity: [0.8354989151226124, 0.07544471150869249]
specificity: [0.9964336023836994, 0.002071918593402354]
dice coefficient: [0.9012013502670738, 0.044789749779053506]
hausdorff distance: [10.783619205751878, 6.4843573435362565]

sensitivity: [0.6529035010785814, 0.20143845074573982]
specificity: [0.9913986661505678, 0.005972660703231253]
dice coefficient: [0.7437134685646567, 0.15348706906361942]
hausdorff distance: [13.819504369777151, 9.305265479306701]

sensitivity: [0.8571414893639723, 0.08351674025994293]
specificity: [0.9868675921414005, 0.0078064236827123734]
dice coefficient: [0.8747714784223495, 0.06839817380517385]
hausdorff distance: [10.057837957323677, 6.419233777553653]

sensitivity: [0.6458351952725153, 0.16977640870085467]
specificity: [0.9989159075272891, 0.00150558004983458]
dice coefficient: [0.767050551494862, 0.11991665576181244]
hausdorff distance: [16.204023067890184, 7.5870264101699405]

sensitivity: [0.8967933165246725, 0.03169510448935227]
specificity: [0.9999433400499935, 8.345699647485648e-05]
dice coefficient: [0.9448876729835516, 0.01734046257765615]
hausdorff distance: [2.322681092692062, 0.45293767965450704]

sensitivity: [0.8827357466714891, 0.05355319895369584]
specificity: [0.999617096824066, 0.0009521184873504155]
dice coefficient: [0.932785079971109, 0.023883117296846425]
hausdorff distance: [2.3419542204603285, 0.6942024891447182]

sensitivity: [0.6388673388091575, 0.2392113709008054]
specificity: [0.9755700136195666, 0.0216379156105679]
dice coefficient: [0.7048981532848928, 0.2190084588227685]
hausdorff distance: [13.782031586023212, 9.735961107933406]

sensitivity: [0.7718874803530414, 0.09546620219044806]
specificity: [0.9956707505592838, 0.0017435031266855225]
dice coefficient: [0.8465100940401266, 0.05977811861204385]
hausdorff distance: [11.492069515357333, 6.5088917326629465]

sensitivity: [0.8391398369450853, 0.09314885190399332]
specificity: [0.9936820764708839, 0.0013623936686266548]
dice coefficient: [0.8778105273686659, 0.05183817765263568]
hausdorff distance: [8.25633658238546, 5.128310921251779]

sensitivity: [0.7711260876063204, 0.15181256332503754]
specificity: [0.9902115957221564, 0.004246074712562749]
dice coefficient: [0.8292259339726361, 0.10265495784942519]
hausdorff distance: [9.90861150441383, 5.696731640856114]

sensitivity: [0.7355500438995638, 0.185616946964187]
specificity: [0.9984341906698141, 0.0016065448268082992]
dice coefficient: [0.8157846373830634, 0.11755657339676419]
hausdorff distance: [6.693054349172803, 3.8647583122819427]

sensitivity: [0.7919115081956836, 0.12162282596090425]
specificity: [0.9975599733679547, 0.00165697200002776]
dice coefficient: [0.8690159068762969, 0.07856730619255561]
hausdorff distance: [8.053483208578088, 5.060442162085983]

sensitivity: [0.6669923254817665, 0.1897168145478307]
specificity: [0.9981088853127154, 0.0011308646015026323]
dice coefficient: [0.7773578609830268, 0.13667643529073306]
hausdorff distance: [10.022205144593796, 6.214665775916214]

sensitivity: [0.6574981054100391, 0.1912176912752693]
specificity: [0.9925641353638769, 0.005676018308214603]
dice coefficient: [0.7554316889686116, 0.1562265830616758]
hausdorff distance: [11.749558595428516, 8.847666706308804]

sensitivity: [0.6395431089384044, 0.23448589209931336]
specificity: [0.9936279032294311, 0.004792413272365133]
dice coefficient: [0.7085626249797687, 0.18796442349055284]
hausdorff distance: [43.38382788972139, 39.41713008707889]

sensitivity: [0.9180881586195387, 0.04529989343625101]
specificity: [0.997806153247131, 0.001682322705803427]
dice coefficient: [0.940779720764004, 0.02068302805869409]
hausdorff distance: [3.0183610383289956, 1.2474627485276555]

sensitivity: [0.860465926588061, 0.11792721568911611]
specificity: [0.9876399429617418, 0.00552596131523674]
dice coefficient: [0.8557841608275337, 0.082347699625754]
hausdorff distance: [6.5518734564226735, 3.536422987194452]

sensitivity: [0.5634660948108373, 0.16710127598586436]
specificity: [0.983962466678933, 0.006986033491024009]
