sensitivity: [0.3267408264854588, 0.3527051956270213]
specificity: [0.9938605368320709, 0.0029210746390626583]
dice coefficient: [0.3819231299279304, 0.36382840321211113]
hausdorff distance: [29.440097355550755, 20.78574834742209]

sensitivity: [0.3607273713949735, 0.2969985471646824]
specificity: [0.9972924504470851, 0.002236147099097601]
dice coefficient: [0.45553172788147595, 0.2993779087646354]
hausdorff distance: [19.818965085413083, 11.189665899533246]

sensitivity: [0.4452290688641694, 0.18137728461771419]
specificity: [0.9994550762919251, 0.0011226874612034919]
dice coefficient: [0.5927075701640739, 0.1657394098243742]
hausdorff distance: [17.358738445841215, 6.028338596623512]

sensitivity: [0.5855422255986281, 0.2480676397269635]
specificity: [0.9916139632932056, 0.0033657556652460646]
dice coefficient: [0.6869499715612692, 0.19955514330597737]
hausdorff distance: [22.682646009139805, 16.28488778051768]

sensitivity: [0.541894779836321, 0.306075870832435]
specificity: [0.9989461055223597, 0.0013520152201755775]
dice coefficient: [0.6454545169179688, 0.24346401645088947]
hausdorff distance: [12.291233494889186, 8.10713137762761]

sensitivity: [0.5652085361221537, 0.2554357859192057]
specificity: [0.9900691458539804, 0.002886508747902466]
dice coefficient: [0.6553670167927506, 0.20736221683635014]
hausdorff distance: [18.49570781003715, 10.913697476370269]

sensitivity: [0.37426490063281914, 0.33584644420524784]
specificity: [0.9950746685539626, 0.001952361196815015]
dice coefficient: [0.4474176358295129, 0.32260789667025996]
hausdorff distance: [20.42778729862598, 15.466269947278656]

sensitivity: [0.31673192288801383, 0.306669063715003]
specificity: [0.9872379220109877, 0.004792743477150121]
dice coefficient: [0.3759909790878577, 0.3057156968214116]
hausdorff distance: [36.91135651410169, 24.1657835300703]

sensitivity: [0.57893891729286, 0.2511407302830823]
specificity: [0.9950249623516579, 0.001593630032583862]
dice coefficient: [0.6857638454356826, 0.194572709966389]
hausdorff distance: [12.212979959854671, 7.2071575881333585]

sensitivity: [0.5119459657307476, 0.2815864129731665]
specificity: [0.9987236426551396, 0.0016242817733737027]
dice coefficient: [0.6263942532428004, 0.231753770358304]
hausdorff distance: [11.887047880085913, 7.082708476508944]

sensitivity: [0.38899022852260023, 0.280816076314196]
specificity: [0.985198391699743, 0.004041495348728073]
dice coefficient: [0.4762422568607555, 0.26576258894315014]
hausdorff distance: [24.309524466293862, 13.774869154466048]

sensitivity: [0.42563999405425157, 0.3013695709436176]
specificity: [0.9871532035070101, 0.003670960321805169]
dice coefficient: [0.5095713145851419, 0.26952583857041285]
hausdorff distance: [29.991457260666817, 19.225308616029952]

sensitivity: [0.6019892321539936, 0.24823248309719434]
specificity: [0.9975076822838546, 0.0027960900542003675]
dice coefficient: [0.7117038556495806, 0.18450991482076715]
hausdorff distance: [11.794563278517552, 7.159255808791294]

sensitivity: [0.5188784670337147, 0.2654120161928082]
specificity: [0.9991871331060925, 0.0006648170619966686]
dice coefficient: [0.640760948396149, 0.2360087044872319]
hausdorff distance: [29.641158335180517, 17.65318854717447]

