sensitivity: [0.9536809382087656, 0.05272143438696589]
specificity: [0.9848533219494426, 0.01224363460155079]
dice coefficient: [0.9167074242015676, 0.06019549178744588]
hausdorff distance: [8.039104790150834, 13.331896370720878]

sensitivity: [0.9807021160551302, 0.04785833352852741]
specificity: [0.98732731136807, 0.003968452773560823]
dice coefficient: [0.9355904202828357, 0.031675305763035226]
hausdorff distance: [4.232090160271512, 7.288535258106831]

sensitivity: [0.9840209854885658, 0.022060768823114876]
specificity: [0.9915696775446482, 0.003950686716005905]
dice coefficient: [0.9553179089472833, 0.01246959987764097]
hausdorff distance: [2.4007533520743105, 1.0660128247370946]

sensitivity: [0.9608920236535052, 0.037247141245259456]
specificity: [0.9941497796912877, 0.00452746369872866]
dice coefficient: [0.9633582162507747, 0.01130454955198421]
hausdorff distance: [3.8984944199457074, 7.983424991254412]

sensitivity: [0.9924881514128778, 0.019761753371865722]
specificity: [0.9905440837034477, 0.0061841532377559846]
dice coefficient: [0.9370799174382621, 0.04069566543321325]
hausdorff distance: [10.09569000252252, 18.187276964212284]

sensitivity: [0.9561986885331387, 0.029230493079948485]
specificity: [0.9885985924131966, 0.002752346166942131]
dice coefficient: [0.9341548999156226, 0.013561709880512519]
hausdorff distance: [6.067752625885507, 1.8571603963379681]

sensitivity: [0.9996803952743822, 0.0006765387929275563]
specificity: [0.9854015894245636, 0.005450459264203547]
dice coefficient: [0.9201994972794281, 0.026936637660416818]
hausdorff distance: [3.168146304699173, 1.3402172679660205]

sensitivity: [0.9753962462185674, 0.025420066410440558]
specificity: [0.9890439922508852, 0.004789868470890829]
dice coefficient: [0.9303033277033489, 0.03263698904870254]
hausdorff distance: [3.856043728009348, 3.30619521015922]

sensitivity: [0.9906249534810548, 0.025612500173345255]
specificity: [0.9646431265998511, 0.023208613928110085]
dice coefficient: [0.8825448865786382, 0.07623673196375004]
hausdorff distance: [34.076691955486105, 31.957978639210612]

sensitivity: [0.9535615723260032, 0.055967296935456705]
specificity: [0.9823268002820599, 0.017225594283626293]
dice coefficient: [0.8904615837737393, 0.10020023599977164]
hausdorff distance: [53.70338144890961, 42.96487116571215]

sensitivity: [0.9769254942376556, 0.04450241011900134]
specificity: [0.9799516177037376, 0.006584820384875857]
dice coefficient: [0.9308892702273666, 0.03505452443500606]
hausdorff distance: [11.110857132878627, 16.0514439778096]

sensitivity: [0.9835094766363421, 0.024761871908478755]
specificity: [0.9870504181128547, 0.003851833776706055]
dice coefficient: [0.9537756808621434, 0.007375643610785189]
hausdorff distance: [4.069425813009584, 2.7336983896810234]

sensitivity: [0.9240354318487543, 0.10843917959618828]
specificity: [0.9937064063776505, 0.004370012763535632]
dice coefficient: [0.9323479503196388, 0.058344848789761865]
hausdorff distance: [6.168449999752783, 10.693466444542196]

sensitivity: [0.9546501902547024, 0.019045494693366825]
specificity: [0.9981706652511748, 0.0010042376253546115]
dice coefficient: [0.9724150206385439, 0.008869078062494932]
hausdorff distance: [2.1854131230961085, 0.5977481198068695]

sensitivity: [0.9374530772836884, 0.0870603803598441]
specificity: [0.9846004481959122, 0.0059818398512775945]
dice coefficient: [0.912444009865258, 0.05970517949786512]
hausdorff distance: [4.045934073871025, 3.1828316747653203]

sensitivity: [0.9764896742979083, 0.018042576723754863]
specificity: [0.9898876195745957, 0.0066699234410460126]
dice coefficient: [0.9485000667821585, 0.0253207865210505]
hausdorff distance: [5.398086989315371, 4.226187035116183]

sensitivity: [0.9449070638128378, 0.02656065200903014]
specificity: [0.9985054850824954, 0.0006332893319475529]
dice coefficient: [0.965008252136767, 0.013306209036694557]
hausdorff distance: [1.8326443253574094, 0.5241642014375071]

sensitivity: [0.9284126764104891, 0.03848636269658732]
specificity: [0.9997930052243726, 0.000354380480773244]
dice coefficient: [0.9609697336373885, 0.018928502900180597]
hausdorff distance: [1.7712585738912368, 0.5124871358549233]

sensitivity: [0.9106654039989392, 0.060509107945418084]
specificity: [0.9995185477741066, 0.0006197409695340944]
dice coefficient: [0.9478481301511799, 0.029022885659072274]
hausdorff distance: [1.638144330878553, 0.5321182367454852]

sensitivity: [0.9896589741885392, 0.013436973329571314]
specificity: [0.9909608842754613, 0.001958142279904716]
dice coefficient: [0.9679750976978881, 0.00838568981243611]
hausdorff distance: [2.3532789414243642, 1.3020797046194814]

sensitivity: [0.9732373834504832, 0.029225724398622425]
specificity: [0.9934029397297321, 0.005076066531461362]
dice coefficient: [0.954330165143502, 0.019477919821320695]
hausdorff distance: [14.434627467692847, 26.66223665040614]

sensitivity: [0.9728110540671955, 0.03228415507502114]
specificity: [0.9943075336037271, 0.0017477074805213183]
dice coefficient: [0.956992639935698, 0.012337757720618429]
hausdorff distance: [2.17729474559291, 1.37576194312346]

sensitivity: [0.9811280115553196, 0.028823528369334165]
specificity: [0.990034532167067, 0.005084614189392829]
dice coefficient: [0.955519239913008, 0.027165104189224274]
hausdorff distance: [2.7998878808888796, 4.574635998756431]

sensitivity: [0.9296270923058735, 0.06165727410900479]
specificity: [0.9983617635630874, 0.0010607480209351317]
dice coefficient: [0.9435948253102386, 0.023860568967194823]
hausdorff distance: [2.400421733899096, 0.9511267876006457]

sensitivity: [0.9555686005555908, 0.047384805396741315]
specificity: [0.9973939326783684, 0.0017797242767212125]
dice coefficient: [0.9653498617842993, 0.020412921247324564]
hausdorff distance: [1.778295325588836, 1.1850453162877626]

sensitivity: [0.9549231685884173, 0.03978954717072469]
specificity: [0.996793716153272, 0.003524428643161412]
dice coefficient: [0.9643683884267431, 0.012683826971683122]
hausdorff distance: [2.4516592158828185, 1.9207725240581832]

sensitivity: [0.9462567855955815, 0.04475787341123999]
specificity: [0.9975587573124903, 0.003081107023217021]
dice coefficient: [0.9622056039613092, 0.01628420770475073]
hausdorff distance: [2.267616171370121, 1.670703514293918]

sensitivity: [0.9182628857508064, 0.09953777701766205]
specificity: [0.9824708978907587, 0.01266853170067852]
dice coefficient: [0.8129742593824402, 0.11217577097777878]
hausdorff distance: [55.30137241581477, 39.98822587871787]

sensitivity: [0.986790348224213, 0.01405940236992674]
specificity: [0.9943342280516018, 0.0029635993432923103]
dice coefficient: [0.9552219930406258, 0.02381050343381788]
hausdorff distance: [4.844004636271941, 7.29855824235919]

sensitivity: [0.9880580190095818, 0.017542410416101908]
specificity: [0.9900773013045095, 0.00585318340869637]
dice coefficient: [0.9399808946115292, 0.03034818167858842]
hausdorff distance: [5.233637584127836, 3.3628912616979676]

sensitivity: [0.917753809625212, 0.06855127347379665]
specificity: [0.9877135193254553, 0.014526429664871108]
dice coefficient: [0.8907921976266632, 0.0866999273195639]
hausdorff distance: [27.674721902696184, 37.196905349886684]

sensitivity: [0.9620922376064496, 0.029034333790829918]
specificity: [0.9924001896076615, 0.002479022343803317]
dice coefficient: [0.9507630971117783, 0.01616290769996967]
hausdorff distance: [7.688734924715051, 14.89798717693547]

sensitivity: [0.9925936063579291, 0.010950030141313082]
specificity: [0.9912428794088392, 0.0039898488453678944]
dice coefficient: [0.9478743361994613, 0.024623166692986604]
hausdorff distance: [2.1825385794913985, 0.9677423980748526]

sensitivity: [0.9642838078906885, 0.04582345624282291]
specificity: [0.9844578552301754, 0.007307577812477733]
dice coefficient: [0.9315526122883437, 0.037411506797641776]
hausdorff distance: [22.76397444340239, 27.580212729541977]

sensitivity: [0.9421425372574252, 0.11246976992581766]
specificity: [0.9734148233682135, 0.019388745310400638]
dice coefficient: [0.8146486490396218, 0.1432082271174041]
hausdorff distance: [39.2987125665363, 32.40439050416]

sensitivity: [0.9728657444179398, 0.027360148996880114]
specificity: [0.990679899666716, 0.0017863946847100681]
dice coefficient: [0.9344828519979373, 0.018443995489239046]
hausdorff distance: [2.7216572641912635, 1.2881181634235233]

sensitivity: [0.9926605459016974, 0.01007517638966756]
specificity: [0.9936823523913498, 0.0025889632738571046]
dice coefficient: [0.9667856799590027, 0.007391395605908148]
hausdorff distance: [1.912077855884194, 0.6663019383412481]

sensitivity: [0.9852724718247194, 0.032200808369938334]
specificity: [0.9772999869489849, 0.011670143823263313]
dice coefficient: [0.9082730232467686, 0.04831589626547141]
