sensitivity: [0.9571115787873197, 0.05588035029173096]
specificity: [0.9875357680990756, 0.006080488792085701]
dice coefficient: [0.9263475528712444, 0.043267384650971935]
hausdorff distance: [5.393649061869283, 8.379054230484286]

sensitivity: [0.979763461557752, 0.04086125893845851]
specificity: [0.9870386600247405, 0.005314692361745227]
dice coefficient: [0.9339450327576061, 0.03196055174408281]
hausdorff distance: [9.657400595336005, 15.864045734759372]

sensitivity: [0.9829315966905388, 0.02535662730700591]
specificity: [0.9907148803834306, 0.0042964279961023154]
dice coefficient: [0.9511791837624732, 0.012873598569373366]
hausdorff distance: [2.7020552458423692, 1.3900470429985694]

sensitivity: [0.9591654413111723, 0.03902518291863904]
specificity: [0.9948474697950623, 0.005145549429042595]
dice coefficient: [0.9632420712203228, 0.013270109718456664]
hausdorff distance: [2.3150488571907286, 1.344327138566565]

sensitivity: [0.9982872736136162, 0.0039023318281787736]
specificity: [0.9908675695455788, 0.005017555179740071]
dice coefficient: [0.9417924444000986, 0.0326496674529241]
hausdorff distance: [10.294561357683811, 18.596290126067707]

sensitivity: [0.9364351976000346, 0.018081859941212974]
specificity: [0.9931426371174847, 0.001275995401091222]
dice coefficient: [0.941141035098619, 0.007029766777638242]
hausdorff distance: [5.975886656349464, 2.3569992229805816]

sensitivity: [1.0, 0.0]
specificity: [0.9843517117222624, 0.0054712792569721344]
dice coefficient: [0.915053736225791, 0.02734342440776474]
hausdorff distance: [3.5369912931692533, 1.3986991308753853]

sensitivity: [0.9798636344205288, 0.018699177023365956]
specificity: [0.9885019485554921, 0.004352441951983566]
dice coefficient: [0.93026203651356, 0.026351410356670105]
hausdorff distance: [3.888198632461284, 2.64863072697187]

sensitivity: [0.9950131423738974, 0.009975717614470858]
specificity: [0.9530541873898125, 0.01867782179549763]
dice coefficient: [0.8492077230321139, 0.06009391386653963]
hausdorff distance: [48.668615536760356, 28.201640526779205]

sensitivity: [0.9599548444875461, 0.06487130465567872]
specificity: [0.9836299873442049, 0.01292287692606336]
dice coefficient: [0.8948209032802215, 0.08572255918660764]
hausdorff distance: [36.467578938705806, 41.643114913303435]

sensitivity: [0.9768746674713795, 0.042873469550013435]
specificity: [0.9783608720092406, 0.008206749713178358]
dice coefficient: [0.9260658816110466, 0.03173234671330539]
hausdorff distance: [13.448566560109958, 15.789323105977623]

sensitivity: [0.9763628794805583, 0.035469214558255496]
specificity: [0.9881768874461216, 0.004767932931518215]
dice coefficient: [0.9528327331712887, 0.013177429142344547]
hausdorff distance: [3.664567759640416, 2.490838507076955]

sensitivity: [0.939273976321417, 0.08752662400948848]
specificity: [0.9956352438952363, 0.0033180232845636845]
dice coefficient: [0.9493599893147878, 0.0424421201282381]
hausdorff distance: [5.147151429022645, 10.80926294897314]

sensitivity: [0.9522231736844458, 0.018526746655894925]
specificity: [0.9975783624920886, 0.0012139191567807342]
dice coefficient: [0.9697943555142181, 0.007682825943244416]
hausdorff distance: [2.0966322244590456, 0.686148658839016]

sensitivity: [0.93002562491295, 0.08900632427735676]
specificity: [0.9858681567171543, 0.0074556422256789046]
dice coefficient: [0.9125863191399852, 0.0681201284934948]
hausdorff distance: [4.2885100847795945, 3.25709705915309]

sensitivity: [0.9825760810663408, 0.017667438071313945]
specificity: [0.9853477636792316, 0.011742491359925122]
dice coefficient: [0.9373391601274157, 0.037134426852818606]
hausdorff distance: [12.868446060660292, 17.21732933172883]

sensitivity: [0.932796532923162, 0.05255448120390496]
specificity: [0.9987879930028235, 0.0006893973220137551]
dice coefficient: [0.9591513921924498, 0.026506963109945658]
hausdorff distance: [2.85724077718728, 2.074329242874644]

sensitivity: [0.9390484305091177, 0.03906616844654296]
specificity: [0.9995643908857678, 0.0006991819294940365]
dice coefficient: [0.9647737018266885, 0.017342244306767687]
hausdorff distance: [8.592823006693656, 18.069220406784837]

sensitivity: [0.9201396285853672, 0.05886825075834196]
specificity: [0.9992658236355133, 0.001093314644849381]
dice coefficient: [0.9510538930252789, 0.024609065209002613]
hausdorff distance: [1.6810582528954456, 0.5837035352289537]

sensitivity: [0.9891092646935102, 0.01664276467222061]
specificity: [0.9884108392805914, 0.0028341232876460272]
dice coefficient: [0.9609714731866484, 0.008691454544429832]
hausdorff distance: [2.5275058805479986, 1.47593383674945]

sensitivity: [0.9773351851234497, 0.029863512973165144]
specificity: [0.9928505054685828, 0.004222338180254607]
dice coefficient: [0.9527296523891373, 0.026855158693734192]
hausdorff distance: [6.602024391754897, 18.234032483171134]

sensitivity: [0.982191431795934, 0.026526165698481794]
specificity: [0.9936839051585462, 0.0016518214022017334]
dice coefficient: [0.9588510117296901, 0.009419305061184855]
hausdorff distance: [1.8835731268574232, 0.9757829040214575]

sensitivity: [0.9876120688507408, 0.018634587141255536]
specificity: [0.9852881991692025, 0.007203497618367227]
dice coefficient: [0.9430179932575755, 0.02944587339580736]
hausdorff distance: [4.625493587585804, 7.028855459546926]

sensitivity: [0.9173966468961537, 0.05902440918896966]
specificity: [0.9988163179621993, 0.0008124158459217168]
dice coefficient: [0.9422062631443099, 0.02655209660482198]
hausdorff distance: [2.5438157999559037, 1.0306961284627194]

sensitivity: [0.9650283616685288, 0.03800390161975254]
specificity: [0.9971312686960834, 0.0025046942181277416]
dice coefficient: [0.9693857713496091, 0.011755318186437543]
hausdorff distance: [1.6812499371580665, 0.8206087062699233]

sensitivity: [0.9511353934734148, 0.045071288775767715]
specificity: [0.9966291032320268, 0.0036485643236287856]
dice coefficient: [0.9616778260916307, 0.01488990780369842]
hausdorff distance: [2.342372417906717, 1.65729441837085]

sensitivity: [0.9491454960683733, 0.042566349370552974]
specificity: [0.9970919985813758, 0.003370992888418512]
dice coefficient: [0.9620924106652138, 0.014839367476058638]
hausdorff distance: [1.9928614817994779, 1.558365526556587]

sensitivity: [0.9493096955797132, 0.0693629920967521]
specificity: [0.9914410609557844, 0.006981810200821714]
dice coefficient: [0.8963880770312493, 0.06291367175482286]
hausdorff distance: [30.473326609006275, 38.86227432074492]

sensitivity: [0.9844781856238586, 0.01435365597510615]
specificity: [0.9884362345322549, 0.012248007633907813]
dice coefficient: [0.9219322041640731, 0.07342083249774915]
hausdorff distance: [13.431022859918937, 18.657642534262873]

sensitivity: [0.9854943572947652, 0.015958353823271793]
specificity: [0.9866995466366569, 0.008574187190055762]
dice coefficient: [0.9213863120066039, 0.04542224489670437]
hausdorff distance: [14.164731677481274, 18.026657385798362]

sensitivity: [0.896412400182571, 0.07719618052618112]
specificity: [0.9720911087500762, 0.019878939709681326]
dice coefficient: [0.8113019645977252, 0.11253751646356688]
hausdorff distance: [61.438971760854706, 40.727379189380265]

sensitivity: [0.9456218215162105, 0.04229512692580949]
specificity: [0.9918218055373473, 0.0034378038035126563]
dice coefficient: [0.9398385675997286, 0.03213875658210732]
hausdorff distance: [8.013297694976801, 17.429488232638374]

sensitivity: [0.9955921839996501, 0.008934750368178085]
specificity: [0.9886588011433669, 0.00603650445024771]
dice coefficient: [0.936620394416487, 0.02929962405922475]
hausdorff distance: [4.614844648141807, 12.650555015763151]

sensitivity: [0.9656663025644942, 0.03643053008268908]
specificity: [0.9774415172716111, 0.013613837325452115]
dice coefficient: [0.9124820451621467, 0.046420697100389284]
hausdorff distance: [25.813169065821953, 28.988163724400103]

sensitivity: [0.9470998216645248, 0.10834599233203382]
specificity: [0.9772182099743553, 0.02278085951087398]
dice coefficient: [0.8416409586436233, 0.15152165354199426]
hausdorff distance: [22.358846712084034, 28.800150006071075]

sensitivity: [0.9682312661021193, 0.038969945580261935]
specificity: [0.9908065256690514, 0.0035142222073323535]
dice coefficient: [0.9328897803379952, 0.029789562680788043]
hausdorff distance: [3.1092395436360167, 2.5624134704655734]

sensitivity: [0.9869114565099738, 0.015246394064711113]
specificity: [0.9947069406076571, 0.003143888574529584]
dice coefficient: [0.9688438935908905, 0.007877126860090284]
hausdorff distance: [1.7733352672119145, 0.5052544211211297]

sensitivity: [0.9856685024310131, 0.028211895274977226]
specificity: [0.9780899207061446, 0.016487508250128215]
dice coefficient: [0.9142524026692269, 0.054262571260647346]
hausdorff distance: [17.021691523543844, 23.40645247954751]

sensitivity: [0.9874842750665191, 0.019269552267218357]
specificity: [0.9930249766831163, 0.0036828025076054917]
dice coefficient: [0.9461482438076273, 0.025705380074331707]
hausdorff distance: [3.640128262769058, 7.126205130637432]

sensitivity: [0.9616255161035654, 0.03806914745631173]
specificity: [0.9952395973436996, 0.0028727360928085957]
dice coefficient: [0.9559188103013229, 0.008971234679331329]
hausdorff distance: [2.348271574095848, 0.7203845831406587]

sensitivity: [0.96641787874543, 0.021650102019557214]
specificity: [0.998117629141196, 0.001342444955156172]
dice coefficient: [0.9772107049146942, 0.008142537234812479]
hausdorff distance: [1.4714045207910318, 0.41024635224343886]

sensitivity: [0.9800119904148962, 0.03108416769194129]
specificity: [0.9825943360658448, 0.007055284970254036]
dice coefficient: [0.9019185971384369, 0.048087221757668046]
hausdorff distance: [12.120594839506936, 21.314889492320884]

sensitivity: [0.9777273761921254, 0.029335864373478286]
specificity: [0.9890740096178355, 0.0035534292254704725]
dice coefficient: [0.933063824798606, 0.02726913960420733]
hausdorff distance: [4.179407379139477, 7.080434588299966]

sensitivity: [0.9745546831345896, 0.029029365581380077]
specificity: [0.9928097601834011, 0.0038372203459995967]
dice coefficient: [0.95638837271713, 0.00966944346240383]
hausdorff distance: [5.17596055584622, 11.361166268961597]

sensitivity: [0.9770062568727879, 0.011043836106556923]
specificity: [0.995840723792996, 0.002335621280873524]
dice coefficient: [0.9589827336513411, 0.020053202247639144]
hausdorff distance: [4.654370071265662, 12.775112755133444]

sensitivity: [0.9824903445547988, 0.01619459778633083]
specificity: [0.9876660806816112, 0.011147992579590272]
dice coefficient: [0.9478010010124723, 0.02991258601237521]
hausdorff distance: [5.551874348342439, 9.388469411298303]

sensitivity: [0.9497355621512912, 0.09398069824656861]
specificity: [0.9931394353419011, 0.0023788853715755415]
dice coefficient: [0.9478725387884133, 0.04820665598799428]
hausdorff distance: [4.043981459598067, 6.406731924657618]

sensitivity: [0.9164717349751901, 0.12726697189057992]
specificity: [0.9919294776101262, 0.00987863707977651]
dice coefficient: [0.9163534612572162, 0.0942944031763695]
hausdorff distance: [19.305546095087834, 25.843681819168857]

sensitivity: [0.9738003571119851, 0.046059365426027954]
specificity: [0.9946119897681226, 0.002273158048530222]
dice coefficient: [0.9218198665065479, 0.038004544564688325]
hausdorff distance: [2.461427124970044, 1.7247347163535136]

sensitivity: [0.9611360976150389, 0.0380819244833999]
specificity: [0.990816168256556, 0.003166382828671324]
