sensitivity: [0.9590014839371581, 0.04690541415865841]
specificity: [0.9880770478347904, 0.007381757265380022]
dice coefficient: [0.9309126836182892, 0.04958466734106771]
hausdorff distance: [3.9292375298682884, 2.8215407907514902]

sensitivity: [0.9931800060246173, 0.014612943441426248]
specificity: [0.9888450063384637, 0.0050806674670915465]
dice coefficient: [0.9485828669945165, 0.023158400752191412]
hausdorff distance: [2.2257443579220557, 1.0548595735190545]

sensitivity: [0.9807933259095356, 0.024766165976140776]
specificity: [0.992190717236779, 0.0038807318113302652]
dice coefficient: [0.9572716270875467, 0.010987416433133912]
hausdorff distance: [2.831291280689441, 1.4202545607127195]

sensitivity: [0.9587416027316541, 0.03760998460814754]
specificity: [0.9950014524596394, 0.005048767399411052]
dice coefficient: [0.9637625689058427, 0.011266779437228777]
hausdorff distance: [8.592537114150831, 14.110338028384504]

sensitivity: [0.9959801152288789, 0.010060724476840015]
specificity: [0.9906320731455077, 0.007990763873379091]
dice coefficient: [0.9402763846710379, 0.046824243027229366]
hausdorff distance: [18.406385976357623, 23.67991318866433]

sensitivity: [0.9303692718915311, 0.025524994744290718]
specificity: [0.992639849645412, 0.0017341523303561202]
dice coefficient: [0.9361261979150246, 0.011609978419828046]
hausdorff distance: [6.072700784399342, 2.6874346844445527]

sensitivity: [1.0, 0.0]
specificity: [0.9823021240521265, 0.0065985931570558785]
dice coefficient: [0.9052871963840342, 0.0310533827407671]
hausdorff distance: [5.936070535328014, 11.771281434050016]

sensitivity: [0.9848745493271651, 0.019233990025568352]
specificity: [0.9915136712741792, 0.002346234929376813]
dice coefficient: [0.9474706071711848, 0.017791703975241453]
hausdorff distance: [2.949199538638438, 1.9413626008454712]

sensitivity: [0.9965352974007384, 0.005982084155333279]
specificity: [0.9623207470769699, 0.016062859266828648]
dice coefficient: [0.8762987244980256, 0.05151653124537697]
hausdorff distance: [50.05944715285134, 26.802084820977694]

sensitivity: [0.9151904500488462, 0.11044903061376508]
specificity: [0.9953175902580378, 0.006443363370268629]
dice coefficient: [0.9262412052099182, 0.07811724770495351]
hausdorff distance: [14.13853985846543, 27.98693190289445]

sensitivity: [0.9805160758321049, 0.03784245086357869]
specificity: [0.9811986926858638, 0.0068933444260870945]
dice coefficient: [0.9359789217327388, 0.031628823626748466]
hausdorff distance: [9.806789971774315, 13.383828691727444]

sensitivity: [0.9805128378028389, 0.03197439188130268]
specificity: [0.9878831252651825, 0.004750212001864794]
dice coefficient: [0.9547963806856079, 0.01097001829184084]
hausdorff distance: [5.807703073678813, 5.805507586879463]

sensitivity: [0.949632894973341, 0.06737986313210645]
specificity: [0.9953645059620281, 0.00370351845051964]
dice coefficient: [0.9556196095380317, 0.02926418486404851]
hausdorff distance: [5.636603204057422, 12.598758046728637]

sensitivity: [0.9656127854335377, 0.016583206281695063]
specificity: [0.9969828539490091, 0.000998183203951178]
dice coefficient: [0.9757071302206545, 0.006968123242335282]
hausdorff distance: [2.1018274229520064, 0.8055980081862123]

sensitivity: [0.9323747912127746, 0.07785764959611026]
specificity: [0.9885104112811677, 0.005617938826069735]
dice coefficient: [0.9223171447693258, 0.05760048681460676]
hausdorff distance: [3.9104302557662782, 2.7884048991232158]

sensitivity: [0.981579358793597, 0.018475914696249533]
specificity: [0.9916716392486563, 0.00518967982996991]
dice coefficient: [0.9576848368649071, 0.016093538960624824]
hausdorff distance: [4.544802598640162, 3.422197540478969]

sensitivity: [0.9511347603330376, 0.03471729075444162]
specificity: [0.9981135467434237, 0.0008067257130960342]
dice coefficient: [0.9665063356896675, 0.016547225814384923]
hausdorff distance: [1.9349595701815319, 0.9251656401763424]

sensitivity: [0.933558579705091, 0.04288658165260966]
specificity: [0.9991384030566518, 0.0013887166037258403]
dice coefficient: [0.9589610129252708, 0.021843642248069197]
hausdorff distance: [8.114741214952833, 16.260923764688542]

sensitivity: [0.915541261140072, 0.059307328380835606]
specificity: [0.9995215682232964, 0.0006819210237286809]
dice coefficient: [0.9507994120844605, 0.02813982988550015]
hausdorff distance: [1.5888540420579171, 0.5557662875432005]

sensitivity: [0.9817017282747529, 0.03228057662446715]
specificity: [0.9894303130020778, 0.0030691036612530164]
dice coefficient: [0.9595385929026347, 0.01873811814667234]
hausdorff distance: [2.801341796659391, 1.8218536727618388]

sensitivity: [0.9845985402322206, 0.020075726350179235]
specificity: [0.99406761782757, 0.0012462385948534792]
dice coefficient: [0.9616362750818221, 0.008076006141072688]
hausdorff distance: [1.7793695344867193, 0.8758866325466151]

sensitivity: [0.9848376897073606, 0.015718454209849485]
specificity: [0.9942304986848751, 0.0011190626477589924]
dice coefficient: [0.9625380705918452, 0.005401418927279241]
hausdorff distance: [1.7724964958855693, 0.5985450459851607]

sensitivity: [0.9845635236081374, 0.024840311863195037]
specificity: [0.9873617058352131, 0.006521577065412812]
dice coefficient: [0.9477240182418575, 0.032987690338889035]
hausdorff distance: [2.5123897764447296, 2.3211845276099865]

sensitivity: [0.9227478028129418, 0.06216253102333728]
specificity: [0.9985312184093774, 0.0011980666915973874]
dice coefficient: [0.9414729807974002, 0.024834386788926542]
hausdorff distance: [2.5734261343430074, 0.6909977793599665]

sensitivity: [0.9585291213377027, 0.04117711974343277]
specificity: [0.9977494899670041, 0.0020445083756799307]
dice coefficient: [0.9687941433953426, 0.014846063826959474]
hausdorff distance: [1.6707022370097098, 0.8805797532974612]

sensitivity: [0.9488919737985443, 0.04203046941224992]
specificity: [0.998252387782815, 0.002061938707122102]
dice coefficient: [0.9664993246228438, 0.016565130622678934]
hausdorff distance: [2.114318442807924, 1.6113113259295797]

sensitivity: [0.9442194082658618, 0.04661897022902816]
specificity: [0.998103711030564, 0.0022211491358609045]
dice coefficient: [0.9634639642244242, 0.018300714282649164]
hausdorff distance: [2.147432685820608, 1.804217150604649]

sensitivity: [0.9437995441960898, 0.06873321892227614]
specificity: [0.9910575330583633, 0.008345957841231296]
dice coefficient: [0.8894847591308969, 0.0890394381877894]
hausdorff distance: [30.643554288365944, 37.4282323998338]

sensitivity: [0.9801316456183844, 0.01941893741421169]
specificity: [0.994929892359061, 0.0022911949627100496]
dice coefficient: [0.9556974381265938, 0.023436607403235932]
hausdorff distance: [5.066810632368314, 7.621948352120084]

sensitivity: [0.9826750991275071, 0.01915143035196439]
specificity: [0.9900630775507667, 0.007138260731778512]
dice coefficient: [0.9373582375787207, 0.033223091476627886]
hausdorff distance: [9.105257857060575, 13.49299618406169]

sensitivity: [0.9219769497989916, 0.08405754730999723]
specificity: [0.9869512446256548, 0.01268081125887285]
dice coefficient: [0.8870119520127264, 0.09033220912346607]
hausdorff distance: [28.064407274952497, 37.07769829658065]

sensitivity: [0.9579020720076403, 0.028812975781464592]
specificity: [0.9938168632390795, 0.0018856746782302065]
dice coefficient: [0.9535663448668152, 0.01823329702711871]
hausdorff distance: [3.4454001728968024, 2.441833528710755]

sensitivity: [0.9888391565837247, 0.015751705001076255]
specificity: [0.9914285957950104, 0.004285678577338315]
dice coefficient: [0.9468386541570543, 0.02621126077990688]
hausdorff distance: [2.4121686060663916, 0.9737090338362829]

sensitivity: [0.9455398376024038, 0.05566376221182301]
specificity: [0.9847536188293873, 0.008993192105575339]
dice coefficient: [0.922907304924431, 0.04549745092835207]
hausdorff distance: [22.424077288044106, 27.73795398210109]

sensitivity: [0.9407922372033617, 0.11152623926698708]
