sensitivity: [0.953255104677334, 0.06048314705001619]
specificity: [0.9861289513761979, 0.006790529221881777]
dice coefficient: [0.9188183665411962, 0.05302428864245758]
hausdorff distance: [6.97744150447937, 11.398039746007584]

sensitivity: [0.9823684866982046, 0.03819521826915571]
specificity: [0.9861177546184418, 0.0062259421179160866]
dice coefficient: [0.9322807690595221, 0.027264957859675087]
hausdorff distance: [2.8322071662219868, 1.394729089919431]

sensitivity: [0.9843150408919474, 0.022266825565218324]
specificity: [0.9880423785745243, 0.007711825355848789]
dice coefficient: [0.942370108862562, 0.027394115637149725]
hausdorff distance: [4.171530245508935, 3.983089514117256]

sensitivity: [0.9701493805466243, 0.02890794415395521]
specificity: [0.9902086925886059, 0.004456143361342169]
dice coefficient: [0.95613636490471, 0.01038520895220103]
hausdorff distance: [16.49199805471532, 19.31874737562625]

sensitivity: [0.9920752470046755, 0.019090789893903243]
specificity: [0.9901069630251766, 0.0074320800405539705]
dice coefficient: [0.9343629491862226, 0.047201524243977125]
hausdorff distance: [13.099690319153664, 21.691736834002135]

sensitivity: [0.9704566418655977, 0.0268720747905978]
specificity: [0.9800447409271762, 0.010783225131857713]
dice coefficient: [0.9127427662474118, 0.03511331192217722]
hausdorff distance: [8.687369856726225, 2.4623034552584926]

sensitivity: [1.0, 0.0]
specificity: [0.9791252532055492, 0.007115854340776507]
dice coefficient: [0.8898722141637365, 0.03291897972327427]
hausdorff distance: [3.9929455110607193, 1.3624926222552731]

sensitivity: [0.9828834907225549, 0.02413520382052445]
specificity: [0.9864766893084636, 0.00552575992554216]
dice coefficient: [0.9223380210198486, 0.033312633011955854]
hausdorff distance: [3.8759979849815545, 3.363030323049773]

sensitivity: [0.9956390854500222, 0.009468429147815843]
specificity: [0.9569971393842055, 0.020866382498932474]
dice coefficient: [0.8593402402517286, 0.06895006207067]
hausdorff distance: [44.231269411753665, 27.80338359909091]

sensitivity: [0.8703791622367002, 0.26876448696908045]
specificity: [0.9790697007905914, 0.016844943980460807]
dice coefficient: [0.8096569080266193, 0.2454236408464881]
hausdorff distance: [60.633459967917474, 37.79969398887089]

sensitivity: [0.9511475355814796, 0.10009721950666557]
specificity: [0.9792726459631591, 0.005189489755687483]
dice coefficient: [0.9121197241328641, 0.06505658704198272]
hausdorff distance: [7.466162302454534, 12.910838617484929]

sensitivity: [0.975716305132865, 0.0399785918615286]
specificity: [0.9829923645884868, 0.004680633418742217]
dice coefficient: [0.9376979015486271, 0.01843827880329783]
hausdorff distance: [6.5387051114777055, 6.507329365041801]

sensitivity: [0.9431360023021168, 0.09081471373474959]
specificity: [0.9915842776512122, 0.005779112944806202]
dice coefficient: [0.9365289159028772, 0.04150442106216022]
hausdorff distance: [15.704736617127189, 20.989550919127936]

sensitivity: [0.9615394282448194, 0.01659293993703536]
specificity: [0.9967260480972373, 0.0013932072925345064]
dice coefficient: [0.9728803078266738, 0.005770346965131549]
hausdorff distance: [2.2466087465273374, 1.0890741358420915]

sensitivity: [0.8794609939335376, 0.18049173124014367]
specificity: [0.9860673529519929, 0.0046513156502212575]
