sensitivity: [0.9423070746627219, 0.0697954772859609]
specificity: [0.9867029820707685, 0.00553965466566809]
dice coefficient: [0.9147775337477557, 0.05067207645752361]
hausdorff distance: [6.036048454713886, 8.280466113229744]

sensitivity: [0.9794643960291348, 0.05504588989532688]
specificity: [0.9861869205796232, 0.006010832441281291]
dice coefficient: [0.9310230373052856, 0.03873883372661199]
hausdorff distance: [2.843786769199886, 2.139986793882228]

sensitivity: [0.9799408019392299, 0.030928542101364167]
specificity: [0.9896720955083971, 0.0072923197044301715]
dice coefficient: [0.9467087641907709, 0.025421401323394082]
hausdorff distance: [3.6345876599436817, 3.8673555834512783]

sensitivity: [0.9520369953657052, 0.04678730762121646]
specificity: [0.991587734835104, 0.002961341126384505]
dice coefficient: [0.950443550506742, 0.02595694203779202]
hausdorff distance: [23.381673589679853, 22.108007753127243]

sensitivity: [0.9930004169861059, 0.025779600931734818]
specificity: [0.9912681515058428, 0.004462069802448011]
dice coefficient: [0.9411246857563007, 0.03423413191279726]
hausdorff distance: [11.080099712805628, 19.64259123319234]

sensitivity: [0.9454628400215603, 0.05324394282373954]
specificity: [0.9847754101709214, 0.010013697186963077]
dice coefficient: [0.9177778033523665, 0.03259161562927369]
hausdorff distance: [7.965507756961535, 3.0194954612405485]

sensitivity: [1.0, 0.0]
specificity: [0.9823933267170961, 0.006563552629485394]
dice coefficient: [0.9052140797955432, 0.03177813122101575]
hausdorff distance: [3.8616413793714757, 1.2467527917725445]

sensitivity: [0.9651313028937888, 0.053262890510121126]
specificity: [0.9875768019448141, 0.007784899008403715]
dice coefficient: [0.9178949167365155, 0.05432171173087985]
hausdorff distance: [4.898682275830277, 4.4984714397003405]

sensitivity: [0.9947689386159174, 0.009411970701010878]
specificity: [0.9616867746056141, 0.020869710173871667]
dice coefficient: [0.8750748669535666, 0.06473850223735932]
hausdorff distance: [40.25526881735452, 29.020337680826366]

sensitivity: [0.9176084200023819, 0.15661592757548262]
specificity: [0.9846728475994844, 0.014403571697666293]
dice coefficient: [0.8746959004867637, 0.14261608553987387]
hausdorff distance: [34.19137285775868, 40.67083339161358]

sensitivity: [0.978867795912407, 0.03764743104569661]
specificity: [0.9795843687362876, 0.003744017150720948]
dice coefficient: [0.9298420882435798, 0.023792097803172606]
hausdorff distance: [4.4405107542659605, 3.422747080136316]

sensitivity: [0.9875507532261781, 0.021392851884454393]
specificity: [0.9824075506984988, 0.004336396082807998]
dice coefficient: [0.9427646760660783, 0.007374555263186751]
hausdorff distance: [7.104018337316583, 5.890635800126877]

sensitivity: [0.9351222581239853, 0.10031950342239415]
specificity: [0.9938716361034445, 0.004456305861700351]
dice coefficient: [0.940302736370255, 0.04639265016953753]
hausdorff distance: [5.275006327118531, 8.654920079480389]

sensitivity: [0.946889285157034, 0.020885253039499167]
specificity: [0.9975317259637924, 0.0010228368619934873]
dice coefficient: [0.9670468039016719, 0.00853716977531192]
hausdorff distance: [3.1616481246398886, 0.9507792256675973]

sensitivity: [0.9375895152819332, 0.08478866798472409]
specificity: [0.9844482907340618, 0.007294311357863196]
dice coefficient: [0.9111120220771973, 0.0616451597873694]
hausdorff distance: [3.983546509537854, 2.8103423053100562]

sensitivity: [0.9850199937072665, 0.01532430680029004]
specificity: [0.9863469677108991, 0.0064275100197467685]
dice coefficient: [0.9399447827819536, 0.025870793696955777]
hausdorff distance: [13.250594748618889, 17.426657897443796]

sensitivity: [0.9458406294510521, 0.0301487547906358]
specificity: [0.9986380278838741, 0.0008735346172048748]
dice coefficient: [0.965897147424798, 0.01587090654898226]
hausdorff distance: [1.978423665727288, 0.8864760565803231]

sensitivity: [0.9339400622237448, 0.028110655422041362]
specificity: [0.9956111376123052, 0.0028402997148770153]
dice coefficient: [0.935504298892404, 0.022661899011265762]
hausdorff distance: [41.524230157284805, 21.782370008292787]

sensitivity: [0.9152987934816329, 0.06854760000390779]
specificity: [0.999471643707522, 0.0006586797287375728]
dice coefficient: [0.9495871265644449, 0.03352390416318475]
hausdorff distance: [1.5929346252203327, 0.5737821419675107]

sensitivity: [0.9860609967126265, 0.02208137153693217]
specificity: [0.9839517444963835, 0.004652933519364607]
dice coefficient: [0.9472324853437313, 0.01557357638351673]
hausdorff distance: [3.355967034860213, 2.0258706591483606]

sensitivity: [0.9741843425676108, 0.03223095626596165]
specificity: [0.9933913266742608, 0.0016811449170400896]
