sensitivity: [0.97112672951362, 0.04841635353311443]
specificity: [0.985875212598489, 0.00477765539296316]
dice coefficient: [0.9275085253455958, 0.03884720167563124]
hausdorff distance: [4.96517058571673, 6.267408905446232]

sensitivity: [0.9870709835169664, 0.03339801918809683]
specificity: [0.9831466969543855, 0.00951194060245982]
dice coefficient: [0.9240051174037018, 0.044865822727644604]
hausdorff distance: [3.171115397987365, 2.326089808952805]

sensitivity: [0.9857366563956269, 0.020816505796675537]
specificity: [0.9874503239350042, 0.0090289250118985]
dice coefficient: [0.9409400026386936, 0.03568805644562994]
hausdorff distance: [4.236636419376159, 4.330232309012479]

sensitivity: [0.9632017191681134, 0.036802131232963387]
specificity: [0.9913653256650831, 0.009647260876481665]
dice coefficient: [0.9565280654625639, 0.028943933712433985]
hausdorff distance: [9.54278948098642, 14.897488678350285]

sensitivity: [0.9900463654297883, 0.02650204185413964]
specificity: [0.9843564564054315, 0.010824420153981858]
dice coefficient: [0.9006859113590109, 0.06701332883540316]
hausdorff distance: [31.669448004795793, 26.116011622595366]

sensitivity: [0.91206604072835, 0.042515393032794044]
specificity: [0.9911471566756312, 0.002389892809464564]
dice coefficient: [0.9206690281951599, 0.02205551631611345]
hausdorff distance: [9.578254863743183, 6.54398200118603]

sensitivity: [1.0, 0.0]
specificity: [0.9817953734822759, 0.007393258966670751]
dice coefficient: [0.9026467896520328, 0.035772519862722674]
hausdorff distance: [3.886821247520921, 1.458065129942159]

sensitivity: [0.9818818216296727, 0.025585730436605197]
specificity: [0.987702584315359, 0.005615262330746264]
dice coefficient: [0.927797632800514, 0.037171256925428164]
hausdorff distance: [4.194923593314545, 3.6151462920495563]

sensitivity: [0.9931427693606039, 0.016015502971720687]
specificity: [0.964888403123662, 0.016878326736185837]
dice coefficient: [0.8822667653330782, 0.05327117059670515]
hausdorff distance: [46.47975050710079, 28.618748973315796]

sensitivity: [0.9532429739364124, 0.07906588720682092]
specificity: [0.9816963889369844, 0.015265246216622492]
dice coefficient: [0.8822222143374945, 0.1017241761678399]
hausdorff distance: [57.52484504358339, 39.40379257607554]

sensitivity: [0.9474867604693749, 0.09468651567352834]
specificity: [0.9798508452835362, 0.004618251844774952]
dice coefficient: [0.9124042004740054, 0.05877935861594691]
hausdorff distance: [10.779186268624395, 17.889731041008766]

sensitivity: [0.9865768360205546, 0.022913223353759976]
specificity: [0.9840614391153272, 0.003979953570481481]
dice coefficient: [0.946794366962057, 0.011604111910927336]
hausdorff distance: [7.453637256632479, 6.509733095901365]

sensitivity: [0.9278257319651411, 0.10826220285374516]
specificity: [0.976616083470429, 0.021425057380415356]
dice coefficient: [0.8785025903015596, 0.08993348360128683]
hausdorff distance: [25.666363506443144, 22.55373844151911]

sensitivity: [0.9500947252837503, 0.022591448064863823]
specificity: [0.9978513515577899, 0.0010222433870996472]
dice coefficient: [0.9694216061261595, 0.009248168875479582]
hausdorff distance: [2.185865433990039, 0.7886648873175073]

sensitivity: [0.9156864801929271, 0.10641763594973762]
specificity: [0.9853782788526051, 0.006062063313102932]
dice coefficient: [0.9003217137175229, 0.07549824092264093]
hausdorff distance: [6.789195376196526, 11.226760863096937]

sensitivity: [0.9756908981861606, 0.024940401884178804]
specificity: [0.9865029845864909, 0.007876768580077591]
dice coefficient: [0.9354600872373624, 0.03379064332740377]
hausdorff distance: [8.210284865969495, 8.891450336491733]

sensitivity: [0.945748570575779, 0.03410733877207924]
specificity: [0.9972813403782282, 0.0026042727278618896]
dice coefficient: [0.9602469404990003, 0.023840027867852165]
hausdorff distance: [4.780452106192462, 13.082326920712543]

sensitivity: [0.9383503055461382, 0.04002837771965385]
specificity: [0.9995372258106404, 0.0007096483048603209]
dice coefficient: [0.9640702157264103, 0.017280508007698436]
hausdorff distance: [1.9785860023643873, 0.7200908030110136]

sensitivity: [0.9103801366406036, 0.0615187196530944]
specificity: [0.9996139299551371, 0.00048356485788429796]
dice coefficient: [0.9483621856475941, 0.0303703352113782]
hausdorff distance: [1.653444015403906, 0.6050808937034846]

sensitivity: [0.9824707300406333, 0.02524315452070981]
specificity: [0.9840696817795258, 0.004690324713690869]
dice coefficient: [0.9457580996504521, 0.019203505491120005]
hausdorff distance: [4.0966802759047445, 3.1649977436031493]

sensitivity: [0.9724364067300914, 0.04063151141187168]
specificity: [0.992542347328246, 0.0017681453896740407]
dice coefficient: [0.9474089185753283, 0.015419923730079537]
hausdorff distance: [2.78376704917132, 1.945244033349373]

sensitivity: [0.9663779517155382, 0.05295975649446935]
specificity: [0.9920411278250398, 0.0018356152703434766]
dice coefficient: [0.9414964261709712, 0.02203348647209017]
hausdorff distance: [3.148606609054548, 2.8843733729791903]

sensitivity: [0.9717861760610378, 0.0420836384456746]
specificity: [0.9852165772325759, 0.007349719556200733]
dice coefficient: [0.9340821667475182, 0.04095130145617463]
hausdorff distance: [5.860445689646071, 7.5025668708810676]

sensitivity: [0.9193055554807106, 0.07631555551466826]
specificity: [0.9984338163383587, 0.0011696350848662954]
dice coefficient: [0.9371555882779181, 0.03187219616247374]
hausdorff distance: [2.718175764738666, 0.9371164168095849]

sensitivity: [0.9554980981152964, 0.05587258878902306]
specificity: [0.9973315099555702, 0.0023815394827481715]
dice coefficient: [0.9650262927349798, 0.02316753890462664]
hausdorff distance: [1.946471252746889, 1.6766781629847614]

sensitivity: [0.9574521147079463, 0.037509911164899976]
specificity: [0.9975489073015158, 0.001815419400105933]
dice coefficient: [0.9687871038788317, 0.01910487679879356]
hausdorff distance: [2.428061477319912, 1.8809175409061343]

sensitivity: [0.9581423011636516, 0.03828543338226256]
specificity: [0.9972107238441936, 0.0021502327556584284]
dice coefficient: [0.9677101076651045, 0.01896195222197886]
hausdorff distance: [2.540807182805664, 2.431247730378336]

sensitivity: [0.9727456691487512, 0.0440679877963528]
specificity: [0.9787788368160569, 0.012214452282236232]
dice coefficient: [0.815838665529019, 0.09912622004057384]
hausdorff distance: [64.84892891587214, 38.44497910604404]

sensitivity: [0.994281274176825, 0.008804467519678325]
specificity: [0.9898134618928563, 0.01095756035495709]
dice coefficient: [0.9347947762957287, 0.06044410136834362]
hausdorff distance: [10.40816022048842, 16.404375457723944]

sensitivity: [0.9908381528175348, 0.010256396070922852]
specificity: [0.9845629562708368, 0.0071790208138461965]
dice coefficient: [0.9121221473181433, 0.03985970648718186]
hausdorff distance: [9.275158037467305, 6.3904702523892825]

sensitivity: [0.8931814287089247, 0.12761356496941348]
specificity: [0.9892072559236957, 0.006673127647804664]
dice coefficient: [0.878287354168691, 0.09453377570867655]
hausdorff distance: [30.652634191259082, 37.90491635399716]

sensitivity: [0.9286935744794153, 0.07865968135446384]
specificity: [0.9929274956418989, 0.0010752600646479196]
dice coefficient: [0.9334947773926813, 0.04446379814950151]
hausdorff distance: [7.947364185362168, 11.05016149981028]

sensitivity: [0.9934012556867379, 0.014445637784131932]
specificity: [0.9891385263546384, 0.004063442523714354]
dice coefficient: [0.9373899209668789, 0.024924823839908156]
hausdorff distance: [4.496317950653372, 12.303784982135872]

sensitivity: [0.9445318278277648, 0.05345994432285099]
specificity: [0.9884140586777266, 0.003921857931362773]
dice coefficient: [0.9327692582456509, 0.03326297496039857]
hausdorff distance: [15.372731993982018, 20.191065128942594]

sensitivity: [0.9500849814670749, 0.1083119546323367]
