sensitivity: [0.9399337564893401, 0.06312713118665488]
specificity: [0.9847228115539932, 0.009120675434292527]
dice coefficient: [0.908058530173228, 0.05177846588144207]
hausdorff distance: [11.514175468528634, 15.78048678843379]

sensitivity: [0.9833798934719588, 0.04101052029090305]
specificity: [0.9878091907019916, 0.00603178956744683]
dice coefficient: [0.939251325673349, 0.03255888512894535]
hausdorff distance: [2.450144386456691, 1.548157771519028]

sensitivity: [0.9892032144666288, 0.01662622027124268]
specificity: [0.9893684216762524, 0.00412190683575968]
dice coefficient: [0.9493656559519036, 0.012078978201672662]
hausdorff distance: [5.189228090706686, 12.596503952391739]

sensitivity: [0.9720452024370473, 0.02991398598022193]
specificity: [0.9918433740708238, 0.006224372408203421]
dice coefficient: [0.9621335626289824, 0.009113941427756648]
hausdorff distance: [2.60459190722457, 1.6480597673689739]

sensitivity: [0.9946964551786123, 0.014295529105086174]
specificity: [0.9902498799612952, 0.004944368994031331]
dice coefficient: [0.9363302618124834, 0.03231533910988451]
hausdorff distance: [26.165425243849644, 24.22059430474782]

sensitivity: [0.9613962432358008, 0.02139491048490192]
specificity: [0.9882357610339553, 0.0038506639050373925]
dice coefficient: [0.9361632137718497, 0.01280804911798317]
hausdorff distance: [5.902749001585333, 2.0552909504374375]

sensitivity: [0.9996145239295638, 0.0011355164937110658]
specificity: [0.9851753680401946, 0.006104445450839061]
dice coefficient: [0.9187875177102739, 0.03075807631020905]
hausdorff distance: [5.311502379397558, 10.62487376271615]

sensitivity: [0.9891307265475823, 0.016582389576755216]
specificity: [0.9873401936305325, 0.0030760720288261064]
dice coefficient: [0.9285241794895984, 0.021164674968662513]
hausdorff distance: [3.346307011682921, 1.924117819563479]

sensitivity: [0.9949365496715364, 0.010152331407439858]
specificity: [0.9651293299610056, 0.019692286860678632]
dice coefficient: [0.8858527823150695, 0.06195831963616231]
hausdorff distance: [40.535354064297046, 31.515367746789988]

sensitivity: [0.9437536329046581, 0.07678658172508643]
specificity: [0.9897230288332828, 0.011609704293010883]
dice coefficient: [0.9127688651665526, 0.08093280224862102]
hausdorff distance: [29.770321785858492, 37.1648750941859]

sensitivity: [0.973651106950513, 0.046505256109129]
specificity: [0.9809166899433781, 0.00680001381536309]
dice coefficient: [0.931398616829462, 0.033382451667673736]
hausdorff distance: [6.491306036559804, 9.971439846200195]

sensitivity: [0.9810336023612086, 0.02950730159364554]
specificity: [0.9843643856039354, 0.00452872094836355]
