sensitivity: [0.933966720193275, 0.08092707998780198]
specificity: [0.9852891426674996, 0.008923202880985576]
dice coefficient: [0.906241917085697, 0.06460279991824955]
hausdorff distance: [9.83152465996683, 14.77749830633715]

sensitivity: [0.9813422024872207, 0.04315881936031284]
specificity: [0.9872794832164845, 0.006102267293806471]
dice coefficient: [0.9358427155001185, 0.03572037822898388]
hausdorff distance: [2.7845780133954867, 2.2463582277353815]

sensitivity: [0.9831393612652624, 0.02808931604940827]
specificity: [0.990982899100353, 0.005188219323085893]
dice coefficient: [0.9533759767731974, 0.010253665684246495]
hausdorff distance: [2.3895358076773263, 0.8505597904681359]

sensitivity: [0.9641886142597975, 0.03644267811387374]
specificity: [0.9922785613344031, 0.006181479354124725]
dice coefficient: [0.9591885503510446, 0.010089187641600546]
hausdorff distance: [8.843603012390302, 15.940222261914704]

sensitivity: [0.9967376970378112, 0.006481921435588204]
specificity: [0.9876953351425646, 0.008600634280948753]
dice coefficient: [0.9224023228609497, 0.05240922238407465]
hausdorff distance: [28.342395861041663, 25.93598395131126]

sensitivity: [0.9658798579564217, 0.02446412366477676]
specificity: [0.9884476130065798, 0.0024992445546380532]
dice coefficient: [0.9391999179606826, 0.00867837117878379]
hausdorff distance: [4.897603378749439, 1.5100158314165908]

sensitivity: [0.9977320709430504, 0.00567820190597777]
specificity: [0.9868408398210581, 0.004406517341447038]
dice coefficient: [0.9257379400374608, 0.022245536078585617]
hausdorff distance: [3.0999466658202617, 1.1211589252806708]

sensitivity: [0.9909563427223956, 0.011318150701318449]
specificity: [0.9893728124667045, 0.005063877620379181]
dice coefficient: [0.9398271506643883, 0.026086517706998616]
hausdorff distance: [3.660485568136745, 2.8461984128768343]

sensitivity: [0.994651688407643, 0.014730494073933164]
specificity: [0.9612244833034883, 0.017742674614055317]
dice coefficient: [0.8713279961203738, 0.059263343153276846]
hausdorff distance: [47.32484709182501, 27.678972423159948]

sensitivity: [0.8996258393992407, 0.1826452561416947]
specificity: [0.9891415072709201, 0.01097193245659403]
dice coefficient: [0.8802485425387095, 0.16564180759155175]
hausdorff distance: [48.96385985888744, 38.65023192322694]

sensitivity: [0.9567806176325439, 0.08359291779245259]
specificity: [0.9845252074210634, 0.005323625375724406]
dice coefficient: [0.9308855058405789, 0.05196283273171398]
hausdorff distance: [12.252668820957927, 19.84873060837709]

sensitivity: [0.9771284566118073, 0.03490190818769791]
specificity: [0.9876205402531417, 0.003988365402154088]
dice coefficient: [0.9520641033548588, 0.01932033296755414]
hausdorff distance: [6.5954564057162735, 7.268651053230545]

sensitivity: [0.9341612169547288, 0.09382791267663408]
specificity: [0.9947617262583468, 0.004120608869343401]
dice coefficient: [0.9427759991704854, 0.045924717228402634]
hausdorff distance: [6.2489078536820175, 11.32480245462106]

sensitivity: [0.9420818290500156, 0.019937099429864942]
specificity: [0.9985496663057439, 0.0008668663356267785]
dice coefficient: [0.9666566955460891, 0.00869000153743683]
hausdorff distance: [2.738989454640939, 1.1096261085154133]

sensitivity: [0.9257511312396384, 0.10458741120833645]
specificity: [0.9878264373860722, 0.004386396987091741]
dice coefficient: [0.9152297533910997, 0.06577259187828692]
hausdorff distance: [4.43034556343308, 3.68854599021107]

sensitivity: [0.9865666154053081, 0.011269103010800467]
specificity: [0.990872027426759, 0.005153659703578319]
dice coefficient: [0.9573081340963364, 0.018821782876906036]
hausdorff distance: [5.111914872972297, 3.449878210142782]

sensitivity: [0.9394649361947309, 0.03150162802104338]
specificity: [0.9989727465211785, 0.0009303295056691329]
dice coefficient: [0.9641089023115409, 0.016956824793713163]
hausdorff distance: [2.423847428231493, 1.3753655191701741]

sensitivity: [0.9405849131351918, 0.03379620504149207]
specificity: [0.9963702498550864, 0.004264181993996722]
dice coefficient: [0.9421308992538356, 0.02744026180348815]
hausdorff distance: [28.423854872605713, 26.24660881296951]

sensitivity: [0.9135262251234056, 0.06325023696082627]
specificity: [0.9993824931394514, 0.0007760028386313285]
dice coefficient: [0.9478490772572405, 0.029061841766768567]
hausdorff distance: [1.7143915862287789, 0.5723007563638524]

sensitivity: [0.9924423832355225, 0.010495376875479428]
specificity: [0.9857833865715337, 0.0033214830933591833]
dice coefficient: [0.9559014132568038, 0.00970809659696901]
hausdorff distance: [2.95881823871381, 1.8290419979471517]

sensitivity: [0.9835740575554802, 0.016271816268911395]
