sensitivity: [0.9539873257632643, 0.061762496631801354]
specificity: [0.9870957431198359, 0.0050803305567901445]
dice coefficient: [0.9233231381581314, 0.04668528900334428]
hausdorff distance: [4.632767344682387, 3.9796314816882865]

sensitivity: [0.9795224132283756, 0.04347267174810311]
specificity: [0.987145948307019, 0.003970891032145516]
dice coefficient: [0.934512528826216, 0.03180635813031399]
hausdorff distance: [2.9746506811612914, 2.141211493150547]

sensitivity: [0.9810131189531585, 0.02755482980037403]
specificity: [0.9927083715858686, 0.004206060072365344]
dice coefficient: [0.9589718072145523, 0.012032166572350981]
hausdorff distance: [2.3773768196627416, 1.5323444316896466]

sensitivity: [0.9549516407013748, 0.03846174099222536]
specificity: [0.9943679298519366, 0.004128703415454066]
dice coefficient: [0.9599472180496491, 0.014919524617681498]
hausdorff distance: [14.05156228502188, 19.595584469045164]

sensitivity: [0.9950408513474672, 0.012745769765017562]
specificity: [0.9864740828594581, 0.01089570802955546]
dice coefficient: [0.9153568601902646, 0.06404632489881816]
hausdorff distance: [30.579141429653784, 25.07288261765218]

sensitivity: [0.9315045748838536, 0.02479164679168061]
specificity: [0.9921846402430237, 0.00155011782669279]
dice coefficient: [0.9349938165320336, 0.013942349753068189]
hausdorff distance: [5.91322890676171, 2.456363958422635]

sensitivity: [1.0, 0.0]
specificity: [0.9843694801067556, 0.006059742047755652]
dice coefficient: [0.9148449259812534, 0.030975421942195852]
hausdorff distance: [3.58930357822358, 1.5969449447882464]

sensitivity: [0.991133047066335, 0.013221584082288044]
specificity: [0.9909359117898132, 0.0034725271877694107]
dice coefficient: [0.9477829981108056, 0.020723836964980657]
hausdorff distance: [2.8607093160386508, 2.0123805660120566]

sensitivity: [0.9860799895213275, 0.03242209980595526]
specificity: [0.9565596467068929, 0.01381677832384722]
dice coefficient: [0.8520314914014506, 0.05420575293937839]
hausdorff distance: [57.99526912492467, 19.033709372082267]

sensitivity: [0.9661080700696218, 0.054918772596810495]
specificity: [0.9895806739602786, 0.008119418180443913]
dice coefficient: [0.9283678650916504, 0.0532249682258717]
hausdorff distance: [44.147453410055306, 42.20587270440371]

sensitivity: [0.9679582332090375, 0.0738544796871478]
specificity: [0.9828487573858897, 0.004293061482486669]
dice coefficient: [0.9324997220232611, 0.04062249793084218]
hausdorff distance: [8.551882124794703, 15.172298621400456]

sensitivity: [0.9804156864951121, 0.03438313636540876]
specificity: [0.9849843390677964, 0.005303046914699449]
dice coefficient: [0.9463197857422266, 0.009906002839146109]
hausdorff distance: [5.964515922339993, 5.3408379316501176]

sensitivity: [0.9030596613090982, 0.12234534028334967]
specificity: [0.9953898332874785, 0.0032910221243258615]
dice coefficient: [0.9263933690848546, 0.06098144839817924]
hausdorff distance: [6.251133266786635, 6.699999966234338]

sensitivity: [0.964250281520739, 0.015352476230305178]
specificity: [0.9976460376279068, 0.0007639780888234461]
dice coefficient: [0.9764739341032261, 0.006450348940237505]
hausdorff distance: [1.6863943648135369, 0.5379659651488007]

sensitivity: [0.9504528320568839, 0.060341030257634855]
specificity: [0.9841946297553779, 0.008271501083619884]
dice coefficient: [0.9189636964393106, 0.05265252517467925]
hausdorff distance: [4.121821104973124, 3.527594663780331]

sensitivity: [0.9805499380720335, 0.017557866923535333]
specificity: [0.9901093982195271, 0.005816979233201333]
dice coefficient: [0.9510276504467615, 0.02281800675754038]
hausdorff distance: [5.60207893966855, 4.496299762440456]

sensitivity: [0.9325473609334656, 0.05568807654980637]
specificity: [0.9980377615700259, 0.0008351863756175362]
dice coefficient: [0.9557464354079533, 0.030108299320626645]
hausdorff distance: [3.848763507146375, 3.274194984937773]

sensitivity: [0.9379779543083583, 0.03953663433167975]
specificity: [0.9983417299554234, 0.002128911099931671]
dice coefficient: [0.9555130587077101, 0.028069577009738906]
hausdorff distance: [21.16760892016658, 25.544059960576963]

sensitivity: [0.9232011471457909, 0.05471659638205412]
specificity: [0.9994072913979097, 0.0007473555369301757]
dice coefficient: [0.9537960513579339, 0.02398810516742716]
hausdorff distance: [1.6593822015663495, 0.5886006363612044]

sensitivity: [0.9922687587289881, 0.012421849956710815]
specificity: [0.9853958853726955, 0.0027641159238180678]
dice coefficient: [0.9541890296457283, 0.00901031691312068]
hausdorff distance: [2.6434746055349545, 1.3336823746898974]

sensitivity: [0.9878960395250436, 0.013093011931340787]
specificity: [0.9924914428116138, 0.0014277310956329434]
dice coefficient: [0.9556608709014202, 0.007361020310641961]
hausdorff distance: [1.8476909230634646, 0.672833500574657]

sensitivity: [0.9845616854481298, 0.0167299383667499]
specificity: [0.9925911392640233, 0.0017464475320071518]
dice coefficient: [0.9545331260370536, 0.005789852256963879]
hausdorff distance: [1.9916611497613992, 0.7070732148778985]

sensitivity: [0.9881388499323186, 0.021783941840223985]
specificity: [0.9838921338980903, 0.008526154129994055]
dice coefficient: [0.9391757135117138, 0.03261801338537289]
hausdorff distance: [5.030967490710787, 8.46301952264938]

sensitivity: [0.9236376646300539, 0.0763613586281366]
specificity: [0.997741771198131, 0.002042424953814369]
dice coefficient: [0.9328720810366439, 0.027854524138283872]
hausdorff distance: [2.999354115441831, 0.6859603172551741]

sensitivity: [0.9522087229017022, 0.0443712708596498]
specificity: [0.9979706450819266, 0.0018260736000510866]
dice coefficient: [0.9661435834376232, 0.018148979524714854]
hausdorff distance: [2.2393603582516235, 1.5336009430610775]

sensitivity: [0.9523459300758318, 0.03227420039769058]
specificity: [0.9986530066501583, 0.0016691401113274888]
dice coefficient: [0.9700372358805187, 0.012219339192863419]
hausdorff distance: [2.0828427124746187, 1.4815868413375926]

sensitivity: [0.9492560857663349, 0.03437056656097708]
specificity: [0.9987430069641076, 0.001548620589150356]
dice coefficient: [0.9687833548137592, 0.013608832209590308]
hausdorff distance: [2.088854042057917, 1.5609896831748442]

sensitivity: [0.9564064871192589, 0.0866258497450674]
specificity: [0.9844755513546529, 0.011595116186353923]
dice coefficient: [0.8441089860954699, 0.11142865368129565]
hausdorff distance: [44.18165014963701, 39.22730923801783]

sensitivity: [0.990223382096578, 0.010858692046845995]
specificity: [0.9950352663693508, 0.0025239050037308883]
dice coefficient: [0.9615194184636048, 0.018425092266972174]
hausdorff distance: [6.511423213519104, 11.387187291035096]

sensitivity: [0.9848448218474589, 0.02115729841455951]
specificity: [0.9920284956496848, 0.002137388895459786]
dice coefficient: [0.9466911683054501, 0.017582635025734282]
hausdorff distance: [3.846397761865119, 2.3177340063488012]

sensitivity: [0.8455916739884581, 0.12685375426196926]
specificity: [0.9919948387662316, 0.008206146418933875]
dice coefficient: [0.8670143581170574, 0.07603769130489078]
hausdorff distance: [14.144464667103485, 21.864753660043696]

sensitivity: [0.9616299496874041, 0.030588095923827986]
specificity: [0.9929085700874528, 0.002163343440848159]
dice coefficient: [0.952554473490298, 0.017705802438581813]
hausdorff distance: [3.557922868876985, 2.4781414122527723]

sensitivity: [0.9977056501620037, 0.004227280485908804]
specificity: [0.9881084495651803, 0.006429010949789045]
dice coefficient: [0.9348471493678369, 0.031477029991715505]
hausdorff distance: [2.406328405443178, 1.069072934130607]

sensitivity: [0.9743448462186673, 0.024093978001762054]
specificity: [0.9864881137575491, 0.0025681856558187246]
dice coefficient: [0.9432862179188317, 0.014154440126219787]
hausdorff distance: [15.592960508444312, 21.839404355020676]

sensitivity: [0.90399450015371, 0.19718034360610695]
specificity: [0.9705556968038865, 0.020203549988760512]
dice coefficient: [0.7689647758948257, 0.17324804475559136]
hausdorff distance: [37.37497949896838, 25.9103114760326]

sensitivity: [0.9507419568664606, 0.06261408106907404]
specificity: [0.9910019534286147, 0.0029442879169385354]
dice coefficient: [0.9236046647927455, 0.030754089231286027]
hausdorff distance: [3.312313592699661, 2.064439874869306]

sensitivity: [0.9941987625590356, 0.0098838150679393]
specificity: [0.9934798802021111, 0.0023585405878134616]
dice coefficient: [0.9660276397020369, 0.0065731394780120965]
hausdorff distance: [1.9373231663135508, 0.4967685067159927]

sensitivity: [0.9890720594746423, 0.024697362639004076]
specificity: [0.983988196602586, 0.003088150954624175]
dice coefficient: [0.9324591887627383, 0.019826747819897]
hausdorff distance: [7.417226819492925, 9.64458810118546]

sensitivity: [0.9311899102638974, 0.14434972148443448]
specificity: [0.9941134394300891, 0.001407303149714783]
dice coefficient: [0.9166690193088681, 0.08742107222302498]
hausdorff distance: [4.074737933322563, 6.580008417528215]

sensitivity: [0.9628138121747399, 0.0403973742217397]
specificity: [0.9961609189880734, 0.0028541064190916636]
dice coefficient: [0.9613241750587787, 0.012161649167521002]
hausdorff distance: [2.0907847884788, 0.7270618737532997]

sensitivity: [0.9738016177863297, 0.01568774516796283]
specificity: [0.9981894549065871, 0.0012122045657251917]
dice coefficient: [0.9810864570370655, 0.0053855878370238]
hausdorff distance: [1.296649831220389, 0.38991351416624487]

sensitivity: [0.9679488080391991, 0.04978872776484911]
specificity: [0.985210575005714, 0.005457771412570588]
dice coefficient: [0.9062415218609715, 0.04898543049959604]
hausdorff distance: [4.104917889628865, 2.7355040582565837]

sensitivity: [0.9577877123687913, 0.050718619414873656]
specificity: [0.9899969449813082, 0.0032986130532366956]
dice coefficient: [0.9269002153886987, 0.02934103522713412]
hausdorff distance: [3.3314489815218526, 1.693550811219928]

sensitivity: [0.979271229327687, 0.03002644440013095]
specificity: [0.9915381909509564, 0.004146675648387104]
dice coefficient: [0.9539920680491911, 0.011100887010489481]
hausdorff distance: [2.4835460182548927, 0.9993326982926828]

sensitivity: [0.9661160015318195, 0.02204878136453903]
specificity: [0.997132960713542, 0.0012010156591522139]
dice coefficient: [0.9619746139309868, 0.014737767014497416]
hausdorff distance: [2.384452602071929, 0.8837717211695972]

sensitivity: [0.9887513546371618, 0.014609850273318079]
specificity: [0.9869435834733977, 0.005609010129289695]
dice coefficient: [0.9467971269340262, 0.020375598280855344]
hausdorff distance: [3.194399967034293, 1.6007734122223465]

sensitivity: [0.9540608117230902, 0.07706537765555298]
specificity: [0.9911336881920715, 0.0029933500576783682]
dice coefficient: [0.944606950926287, 0.03496267084560922]
hausdorff distance: [3.4234226825419793, 3.1906389856354918]

sensitivity: [0.9309524047125215, 0.12163617031528108]
specificity: [0.9856952748052767, 0.01436186973892869]
dice coefficient: [0.9023636135003786, 0.09130477084475537]
hausdorff distance: [19.630304131647318, 22.14989450010309]

sensitivity: [0.974861923670968, 0.041574200931688544]
specificity: [0.9952731592975216, 0.0023125550825013864]
dice coefficient: [0.9300736455572323, 0.03107649896737492]
hausdorff distance: [2.3288153830398333, 1.9087392641174696]

sensitivity: [0.9549461299855099, 0.048425457201333504]
specificity: [0.9919408354569573, 0.0041417203449900745]
dice coefficient: [0.9420299069532694, 0.02481306821519094]
hausdorff distance: [17.07211111292314, 20.658566152599736]

sensitivity: [0.9490877075876722, 0.050485740966269094]
specificity: [0.9961878254483881, 0.0020153136045928475]
dice coefficient: [0.9579116661911821, 0.022179548772229912]
hausdorff distance: [6.555308768477091, 5.006122280094715]

sensitivity: [0.9774889250264057, 0.0184645976519972]
specificity: [0.9831090829404698, 0.017730067309710357]
dice coefficient: [0.9324641547810466, 0.056631581357332504]
hausdorff distance: [7.300429462049714, 7.204424312159614]

sensitivity: [0.9705690717573937, 0.05575696338149056]
specificity: [0.9899929258135243, 0.0016839497985702727]
dice coefficient: [0.9492902973759796, 0.029570142228780245]
hausdorff distance: [2.699231420161581, 2.2017000417281705]

sensitivity: [0.9056188050217864, 0.07423517110453695]
specificity: [0.9917163710631903, 0.002903987746546514]
dice coefficient: [0.9221172246773316, 0.035400623228974804]
hausdorff distance: [6.357132625332981, 4.177742386815356]

sensitivity: [0.9865960491425224, 0.035826982288643006]
specificity: [0.9959513086706303, 0.0020724232825378784]
dice coefficient: [0.9373695163955548, 0.034395678246795465]
hausdorff distance: [3.338030341527184, 8.997641548708412]

sensitivity: [0.9928687501458789, 0.011666965413982364]
specificity: [0.989901918967067, 0.0031531308858641937]
